unitid,institutionname,fein,newfein
222178,Abilene Christian University,750851900,750851900
188429,Adelphi University,111630741,111630741
168528,Adrian College,381357980,381357980
133872,Adventist University of Health Sciences,593069793,593069793
138600,Agnes Scott College,110566116,110566116
152822,AIB College of Business,420681067,420681067
102580,Alaska Bible College,943255546,943255546
102669,Alaska Pacific University,920023588,920023588
188526,Albany College of Pharmacy and Health Sciences,141423161,141423161
128498,Albertus Magnus College,60646520,60646520
168546,Albion College,381359081,381359081
210571,Albright College,231352615,231352615
237118,Alderson Broaddus University,550357072,550357072
188641,Alfred University,160743900,160743900
156189,Alice Lloyd College,610492351,610492351
210669,Allegheny College,250965212,250965212
200873,Allegheny Wesleyan College,341142457,341142457
152798,Allen College,421351526,421351526
217624,Allen University,570341191,570341191
168591,Alma College,381359083,381359083
210775,Alvernia University,231522643,231522643
238193,Alverno College,390806263,390806263
222628,Amberton University,751786007,751786007
142887,American Academy of Art,363778690,363778690
219505,American Baptist College,620485724,620485724
103787,American Indian College Inc,860200899,860200899
164447,American International College,42103701,42103701
116846,American Jewish University,951684064,951684064
188854,American Musical and Dramatic Academy,132501829,132501829
131159,American University,530196549,530196549
164465,Amherst College,42103542,42103542
100690,Amridge University,237034324,237034324
217633,Anderson University,570324906,570324906
150066,Anderson University,350867954,350867954
168740,Andrews University,381627600,381627600
164492,Anna Maria College,42002060,42002060
483018,Antioch College,261672457,261672457
245838,Antioch University-Los Angeles,310536640,310536640
245892,Antioch University-Midwest,310536640,310536640
245847,Antioch University-Santa Barbara,310536640,310536640
245883,Antioch University-Seattle,310536640,310536640
441511,Apex School of Theology,562031568,562031568
237136,Appalachian Bible College,550370901,550370901
168786,Aquinas College,381367080,381367080
219578,Aquinas College,620812782,620812782
211088,Arcadia University,231352620,231352620
105899,Arizona Christian University,860186050,860186050
106306,Arkansas Baptist College,710298658,710298658
222877,Arlington Baptist College,750983821,750983821
201061,Art Academy of Cincinnati,311601569,311601569
109651,Art Center College of Design,951921340,951921340
156213,Asbury University,610458355,610458355
201104,Ashland University,340714626,340714626
164562,Assumption College,42105776,42105776
439446,Atlantic Institute of Oriental Medicine,650512087,650512087
173045,Augsburg College,410694721,410694721
143084,Augustana College,362166962,362166962
219000,Augustana University,460224588,460224588
201177,Aultman College of Nursing and Health Sciences,340714538,340714538
143118,Aurora University,362166964,362166964
222983,Austin College,750827409,750827409
247825,Austin Graduate School of Theology,510174094,510174094
446048,Ave Maria University,30482006,30482006
231420,Averett University,540129860,540129860
449931,Averett University-Non-Traditional Programs,540129860,540129860
176628,Avila University,440617326,440617326
109785,Azusa Pacific University,951744369,951744369
474863,Azusa Pacific University College,364682140,364682140
164580,Babson College,42103544,42103544
206817,Bacone College,730590036,730590036
476601,Bais HaMedrash and Mesivta of Baltimore,521980774,521980774
245777,Bais Medrash Elyon,133728890,133728890
449658,Bais Medrash Toras Chesed,226830873,226830873
168847,Baker College,380321740,380321740
414708,Baker College Center for Graduate Studies,383177823,383177823
444167,Baker College of Allen Park,743075712,743075712
404073,Baker College of Auburn Hills,383477279,383477279
404648,Baker College of Cadillac,381895805,381895805
404082,Baker College of Clinton Township,383474281,383474281
414160,Baker College of Jackson,383148566,383148566
171298,Baker College of Muskegon,381895805,381895805
168838,Baker College of Owosso,382805044,382805044
381617,Baker College of Port Huron,382901703,382901703
154688,Baker University,480543766,480543766
201195,Baldwin Wallace University,340714629,340714629
176664,Baptist Bible College,440567840,440567840
219639,Baptist Memorial College of Health Sciences,621599670,621599670
223117,Baptist Missionary Association Theological Seminary,750959996,750959996
444398,Baptist University of the Americas,742599785,742599785
155070,Barclay College,480554341,480554341
189088,Bard College,141713034,141713034
167792,Bard College at Simon's Rock,141713034,141713034
189097,Barnard College,131628149,131628149
177719,Barnes-Jewish College Goldfarb School of Nursing,430652644,430652644
132471,Barry University,590624364,590624364
197911,Barton College,560529933,560529933
235547,Bastyr University,911036794,911036794
160977,Bates College,10211781,10211781
164632,Bay Path University,42103865,42103865
223232,Baylor University,741159753,741159753
476717,Be'er Yaakov Talmudic Seminary,131338360,131338360
384254,Beacon College,592961536,592961536
164720,Becker College,42108346,42108346
444413,Beis Medrash Heichal Dovid,113599905,113599905
175421,Belhaven University,640303069,640303069
156286,Bellarmine University,610482955,610482955
180814,Bellevue University,470491571,470491571
238324,Bellin College,391620530,391620530
197984,Belmont Abbey College,560547498,560547498
219709,Belmont University,620465076,620465076
238333,Beloit College,390808497,390808497
217721,Benedict College,570314365,570314365
154712,Benedictine College,480777079,480777079
145619,Benedictine University,362722198,362722198
165884,Benjamin Franklin Institute of Technology,42103576,42103576
197993,Bennett College,560532296,560532296
230816,Bennington College,30179414,30179414
164739,Bentley University,41081650,41081650
156295,Berea College,610444650,610444650
461643,Bergin University of Canine Studies,680259118,680259118
164748,Berklee College of Music,42300472,42300472
139144,Berry College,580566133,580566133
189273,Beth Hamedrash Shaarei Yosher Institute,116030154,116030154
189264,Beth Hatalmud Rabbinical College,111811853,111811853
183804,Beth Medrash Govoha,210634542,210634542
154721,Bethany College,480543734,480543734
237181,Bethany College,550356985,550356985
173142,Bethany Lutheran College,410747165,410747165
458113,Bethel College,541851377,541851377
150145,Bethel College-Indiana,350935587,350935587
154749,Bethel College-North Newton,480543782,480543782
219718,Bethel University,620548913,620548913
173160,Bethel University,410708577,410708577
110060,Bethesda University,953104298,953104298
132602,Bethune-Cookman University,590704726,590704726
139153,Beulah Heights University,586050244,586050244
110097,Biola University,950549600,950549600
100937,Birmingham Southern College,630708730,630708730
442949,Birthingway College of Midwifery,931226663,931226663
143288,Blackburn College,370661491,370661491
143297,Blessing Rieman College of Nursing,370661183,370661183
183822,Bloomfield College,221494428,221494428
175430,Blue Mountain College,640325640,640325640
231554,Bluefield College,540568200,540568200
