line1,line2,line3,key,fein,unitid,institutionname
Rob Hoskins 7 00,X X 0 0 0,Chair (Vice Chair — Part Year),rob,730739626,207582,Oral Roberts University
Mart Green 16 00,X X 0 0 0,Vice Chair (Chair — Part Year),mart,730739626,207582,Oral Roberts University
Dale Wilkerson 5 00,X X 0 0 0,Treasurer,dale,730739626,207582,Oral Roberts University
Glenda Payas 2 00,X X 0 0 0,Secretary 1 00,glenda,730739626,207582,Oral Roberts University
Don Argue 4 00,X 0 0 0,Trustee,don,730739626,207582,Oral Roberts University
Mary Banks 4 00,X 0 0 0,Trustee,mary,730739626,207582,Oral Roberts University
Bill Bartlett 6 00,X 0 0 0,Trustee,bill,730739626,207582,Oral Roberts University
Freddy Boswell 3 00,X 0 0 0,Trustee,freddy,730739626,207582,Oral Roberts University
Michael Cardone III 0 00,X 0 0 0,Trustee,michael,730739626,207582,Oral Roberts University
Daniel DeLeon 4 00,X 0 0 0,Trustee,daniel,730739626,207582,Oral Roberts University
TeSSIe DeVore 6 00,X 0 0 0,Trustee,tessie,730739626,207582,Oral Roberts University
Hal Donaldson 4 00,X 0 0 0,Trustee,hal,730739626,207582,Oral Roberts University
Angela Evans 0 00,X 0 0 0,Trustee,angela,730739626,207582,Oral Roberts University
Douglas Fears 3 00,X 0 0 0,Trustee,douglas,730739626,207582,Oral Roberts University
Rick Fenimore 4 00,X 0 0 0,Trustee 2 00,rick,730739626,207582,Oral Roberts University
Anthony GUIda 2 00,X 0 0 0,Trustee,anthony,730739626,207582,Oral Roberts University
Gordon Helm 3 00,X 0 0 0,Trustee,gordon,730739626,207582,Oral Roberts University
Kay Hiramine 4 00,X 0 0 0,Trustee,kay,730739626,207582,Oral Roberts University
Al Hollingsworth 2 00,X 0 0 0,Trustee,al,730739626,207582,Oral Roberts University
Scott Howard 3 00,X 0 0 0,Trustee,scott,730739626,207582,Oral Roberts University
Peter Kuzmic 2 00,X 0 0 0,Trustee,peter,730739626,207582,Oral Roberts University
Lynette LeWIs 2 00,X 0 0 0,Trustee,lynette,730739626,207582,Oral Roberts University
Ron Luce 4 00,X 0 0 0,Trustee,ron,730739626,207582,Oral Roberts University
Charles McKinney 6 00,X 0 0 0,Trustee,charles,730739626,207582,Oral Roberts University
Holly Moore 2 00,X 0 0 0,Trustee,holly,730739626,207582,Oral Roberts University
Mike Rakes 6 00,X 0 0 0,Trustee,mike,730739626,207582,Oral Roberts University
DaVId Ramirez 1 00,X 0 0 0,Trustee,david,730739626,207582,Oral Roberts University
Matt Reardon 2 00,X 0 0 0,Trustee,matt,730739626,207582,Oral Roberts University
Russ SpIttler 5 00,X 0 0 0,Trustee,russ,730739626,207582,Oral Roberts University
Mark Sterns 6 00,X 0 0 0,Trustee,mark,730739626,207582,Oral Roberts University
Vinson Synan 4 00,X 0 0 0,Trustee,vinson,730739626,207582,Oral Roberts University
Gilberto Velez 2 00,X 0 0 0,Trustee,gilberto,730739626,207582,Oral Roberts University
Jacqueline Cardone 1 00,X 0 0 0,Trustee (Part Year),jacqueline,730739626,207582,Oral Roberts University
Kelli Hansbauer 0 00,X 0 0 0,Trustee (Part Year),kelli,730739626,207582,Oral Roberts University
Neal Stenzel 40 00,"x x 78,901 0 4,078",Ass Treas/EVP/CFO (Trustee — Part Year) 0 00,neal,730739626,207582,Oral Roberts University
Michelle Finley 40 00,"X 128,857 0 19,090",As5Istant Treas /EVP/CFO (Part Year) 3 00,michelle,730739626,207582,Oral Roberts University
William M Wilson 40 00,"X 179,946 0 45,823",PreSIdent 0 00,william,730739626,207582,Oral Roberts University
Mark Rutland 40 00,"X 196,137 0 41,497",PreSIdent (Part Year) 0 00,mark,730739626,207582,Oral Roberts University
Marian Baumgardner 40 00,"x 78,290 0 6,357",As5Istant Secretary 0 00,marian,730739626,207582,Oral Roberts University
R Michael Carter 40 00,"X 289,140 0 14,190",Athletic Director,michael,730739626,207582,Oral Roberts University
Hugh OSSIe Mills 38 00,"X 279,174 0 23,151",Exec VP of Univ Advancemen 2 00,hugh,730739626,207582,Oral Roberts University
Timothy Philley 40 00,"x 203,031 0 9,907",Exec VP of Operations,timothy,730739626,207582,Oral Roberts University
Scott Sutton 40 00,"X 442,391 0 16,546",Men's Head Basketball Coach,scott,730739626,207582,Oral Roberts University
Nancy Brainard 40 00,"X 131,402 0 12,887",VP of Enrollment Managemen,nancy,730739626,207582,Oral Roberts University
Scott Higgins 40 00,"x 123,545 0 7,564",Sr Assoc Athletic Director,scott,730739626,207582,Oral Roberts University
(1) STEPHEN C REYNOLDS 20,"x 0 1,898,392 88,125",DIRECTOR 39 80,stephen,621599670,219639,Baptist Memorial College of Health Sciences
(2) JASON M LITTLE 20,"X 0 881,834 83,275",DIRECTOR 39 80,jason,621599670,219639,Baptist Memorial College of Health Sciences
(3) DANA DYE 10,"X 0 327,887 40,159",DIRECTOR 39 90,dana,621599670,219639,Baptist Memorial College of Health Sciences
(4) CHANCELLOR KENNY ARMSTRONG 20,X 0 0 0,DIRECTOR 0 00,kenny,621599670,219639,Baptist Memorial College of Health Sciences
(5) MILTON E MAGEE 20,X 0 0 0,DIRECTOR 0 00,milton,621599670,219639,Baptist Memorial College of Health Sciences
(6) DEIDRE MALONE 20,X 0 0 0,DIRECTOR 0 00,deidre,621599670,219639,Baptist Memorial College of Health Sciences
(7) MICHAEL CARTER MD 20,X 0 0 0,DIRECTOR 0 00,michael,621599670,219639,Baptist Memorial College of Health Sciences
(8) ZACH CHANDLER 20,"X 0 612,136 41,092",DIRECTOR 39 80,zach,621599670,219639,Baptist Memorial College of Health Sciences
(9) JOYCE ROBINSON 20,X 0 0 0,DIRECTOR 0 00,joyce,621599670,219639,Baptist Memorial College of Health Sciences
(10) ORAL EDWARDS 20,X 0 0 0,DIRECTOR 0 00,edwards,621599670,219639,Baptist Memorial College of Health Sciences
(11) THOMAS CHESNEY MD 20,X 0 0 0,DIRECTOR 0 00,thomas,621599670,219639,Baptist Memorial College of Health Sciences
(12) DERICK B ZIEGLER 10,"X 0 378,294 51,984",DIRECTOR 39 90,derick,621599670,219639,Baptist Memorial College of Health Sciences
(13) JAMES GLASGOW 20,X 0 0 0,DIRECTOR 0 00,james,621599670,219639,Baptist Memorial College of Health Sciences
(14) RANDY KING 10,"X 0 489,106 67,188",DIRECTOR 39 90,randy,621599670,219639,Baptist Memorial College of Health Sciences
(15) BETTY SUE MCGARVEY 40 00,"X 0 349,747 57,166",PRESIDENT 0 00,betty,621599670,219639,Baptist Memorial College of Health Sciences
(16) GREGORY M DUCKETT 20,"X 0 582,127 65,914",SECRETARY 39 80,gregory,621599670,219639,Baptist Memorial College of Health Sciences
(17) GENA L SMITH 40 00,"X 116,708 0 39,139",V P BUSINESS SERVICES 0 00,gena,621599670,219639,Baptist Memorial College of Health Sciences
(18) QUEEN ESTHER N WELCH 5 40,"x 17,902 115,165 23,883",NURSE MGR 34 60,queen,621599670,219639,Baptist Memorial College of Health Sciences
NURSE MGR 34 60,(19) LINDA K STUTTS 50,"x 1,459 127,768 37,413",nurse,621599670,219639,Baptist Memorial College of Health Sciences
(19) LINDA K STUTTS 50,"x 1,459 127,768 37,413",DIR INFO SYSTEMS 39 50,linda,621599670,219639,Baptist Memorial College of Health Sciences
(20) WILLIAM J MYERS 80,"x 2,473 117,025 24,665",PHYSICIST 39 20,william,621599670,219639,Baptist Memorial College of Health Sciences
(21) ANNE M PLUMB 40 00,"X 128,508 0 25,693",DEAN 0 00,anne,621599670,219639,Baptist Memorial College of Health Sciences
(22) LINDA D REED 40 00,"X 112,230 0 30,963",DEAN 0 00,linda,621599670,219639,Baptist Memorial College of Health Sciences
Robert Wei 1,X 0 0 0,Board Member 0,robert,420698196,154101,Northwestern College
Dr Jeff VanDerWerff 40,"X 54,706 0 0",Board Member 0,jeff,420698196,154101,Northwestern College
Rev Steven Vander Molen 1,X 0 0 0,Board Member 0,steven,420698196,154101,Northwestern College
Linda Van Peursem 1,X 0 0 0,Board Member 0,linda,420698196,154101,Northwestern College
Wayne Van Heuvelen 1,X 0 0 0,Board Member 0,wayne,420698196,154101,Northwestern College
Kurt Dykstra 1,X 0 0 0,Board Member 0,kurt,420698196,154101,Northwestern College
Brad De Jong 2,X 0 0 0,Legal Counsel 0,brad,420698196,154101,Northwestern College
Anita Bomgaars 3,X 0 0 0,"Board Member, Secretary 0",anita,420698196,154101,Northwestern College
Linda Van Roekel 1,X 0 0 0,Board Member 0,linda,420698196,154101,Northwestern College
Merlyn De Vries 1,X 0 0 0,Board Member 0,merlyn,420698196,154101,Northwestern College
Dr Bryan Den Hartog 3,X 0 0 0,Board Member/Vice Chairman 0,bryan,420698196,154101,Northwestern College
Dale Den Herder 1,X 0 0 0,Board Member 0,dale,420698196,154101,Northwestern College
Martin Guthmiller 3,X 0 0 0,Board Member/Chairman 0,martin,420698196,154101,Northwestern College
Lori Scott 1,X 0 0 0,Board Member 0,lori,420698196,154101,Northwestern College
Rev Stephen Breen 1,X 0 0 0,Board Member 0,stephen,420698196,154101,Northwestern College
Rev Timothy Breen 1,X 0 0 0,Board Member 0,timothy,420698196,154101,Northwestern College
Adrie Groeneweg 1,X 0 0 0,Board Member 0,groeneweg,420698196,154101,Northwestern College
Julie Hulstein 2,X 0 0 0,Board Member 0,julie,420698196,154101,Northwestern College
Albert Okine 1,X 0 0 0,Board Member 0,albert,420698196,154101,Northwestern College
Rev Mike Pitsenberger 1,X 0 0 0,Board Member 0,mike,420698196,154101,Northwestern College
Carl WynJa 2,X 0 0 0,Board Member 0,carl,420698196,154101,Northwestern College
Rev Dr Gerald Sittser 1,X 0 0 0,Board Member 0,gerald,420698196,154101,Northwestern College
Dr Steve Locker 1,X 0 0 0,Board Member 0,steve,420698196,154101,Northwestern College
James Plagge 1,X 0 0 0,Board Member 0,james,420698196,154101,Northwestern College
TrlCla Vermeer 1,X 0 0 0,Board Member 0,vermeer,420698196,154101,Northwestern College
Douglas Beukelman 40,"X 131,535",Vice PreSIdent of Financial Affairs 0,douglas,420698196,154101,Northwestern College
Gregory Christy 40,"X 226,807",PreSIdent 0,gregory,420698196,154101,Northwestern College
Jasper Lesage 40,"X 115,052",Provost 0,jasper,420698196,154101,Northwestern College
Darla Arends 1,X,Board Member 0,darla,420698196,154101,Northwestern College
Dr Rick Melmer 1,X,Board Member 0,rick,420698196,154101,Northwestern College
Randy Oostra 1,X,Board Member 0,randy,420698196,154101,Northwestern College
Rev Jon Opgenorth 1,X,Board Member 0,jon,420698196,154101,Northwestern College
Rev Van Rathbun 1,X,Board Member 0,van,420698196,154101,Northwestern College
Drew Vogel 1,X,Board Member 0,drew,420698196,154101,Northwestern College
Doug Zylstra 1,X,Board Member 0,doug,420698196,154101,Northwestern College
Jay Wielenga 40,"X 100,222",Vice PreSIdent for Advancement 0 00,jay,420698196,154101,Northwestern College
Kenton Pauls 40,"X 100,199",Dean of Enrollment Management 0,kenton,420698196,154101,Northwestern College
(1) MAREDA BABCOCK 1 0,X 0 0 0,BOARD MEMBER,babcock,381358399,170842,Marygrove College
(2) MARYFRANCES BARBER 1 0,X 0 0 0,BOARD MEMBER,maryfrances,381358399,170842,Marygrove College
(3) DIANE DEFRANCIS MUNN 1 0,X 0 0 0,BOARD MEMBER,diane,381358399,170842,Marygrove College
(4) KAY BENESH 1 o,X 0 0 0,BOARD CHAIR,kay,381358399,170842,Marygrove College
(5) ALFRED BINFORD 1 0,X 0 0 0,BOARD MEMBER,alfred,381358399,170842,Marygrove College
