line1,line2,line3,key,fein,unitid,institutionname
DEBORAH JENSEN BARKER 8 0,X X 0 0 0,CHAIR 0 0,deborah,010215213,161004,Bowdoin College
DAVID P WHEELER 8 0,X X 0 0 0,VICE CHAIR 0 0,david,010215213,161004,Bowdoin College
STEWART BAINUM JR 4 0,X 0 0 0,TRUSTEE 0 0,stewart,010215213,161004,Bowdoin College
PETER J BERNARD 4 0,X 0 0 0,TRUSTEE 0 0,peter,010215213,161004,Bowdoin College
ARTHUR E BLACK 4 0,X 0 0 0,TRUSTEE 0 0,arthur,010215213,161004,Bowdoin College
GREGORY B BOWES 4 0,X 0 0 0,TRUSTEE 0 0,gregory,010215213,161004,Bowdoin College
RONALD C BRADY 4 0,X 0 0 0,TRUSTEE 0 0,ronald,010215213,161004,Bowdoin College
DAVID G BROWN 4 0,X 0 0 0,TRUSTEE 0 0,david,010215213,161004,Bowdoin College
LEONARD W COTTON 4 0,X 0 0 0,TRUSTEE 0 0,leonard,010215213,161004,Bowdoin College
MICHELE G CYR 4 0,X 0 0 0,TRUSTEE 0 0,michele,010215213,161004,Bowdoin College
JEFF D EMERSON 4 0,X 0 0 0,TRUSTEE 0 0,jeff,010215213,161004,Bowdoin College
JOHN AGIBBONSJR 4 0,X 0 0 0,TRUSTEE 0 0,john,010215213,161004,Bowdoin College
DONALD A GOLDSMITH 4 0,X 0 0 0,TRUSTEE 0 0,donald,010215213,161004,Bowdoin College
STEPHEN F GORMLEY 4 0,X 0 0 0,TRUSTEE 0 0,stephen,010215213,161004,Bowdoin College
BRADFORD A HUNTER 4 0,X 0 0 0,TRUSTEE 0 0,bradford,010215213,161004,Bowdoin College
TASHA VANDERLINDE IRVING 4 0,X 0 0 0,TRUSTEE 0 0,tasha,010215213,161004,Bowdoin College
ANN HEMBELTON KENYON 4 0,X 0 0 0,TRUSTEE 0 0,ann,010215213,161004,Bowdoin College
GREGORY E KERR 4 0,X 0 0 0,TRUSTEE 0 0,gregory,010215213,161004,Bowdoin College
GEORGE A KHALDUN 4 0,X 0 0 0,TRUSTEE 0 0,george,010215213,161004,Bowdoin College
JAMES W MACALLEN 4 0,X 0 0 0,TRUSTEE 0 0,james,010215213,161004,Bowdoin College
JOHN F MCQUILLAN JR 4 0,X 0 0 0,TRUSTEE 0 0,john,010215213,161004,Bowdoin College
DAVID A MORALES 4 0,X 0 0 0,TRUSTEE 0 0,david,010215213,161004,Bowdoin College
TAMARA A NIKURADSE 4 0,X 0 0 0,TRUSTEE 0 0,tamara,010215213,161004,Bowdoin College
SCOTT B PERPER 4 0,X 0 0 0,TRUSTEE 0 0,scott,010215213,161004,Bowdoin College
KATHLEEN KIMIKO PHILLIPS 4 0,X 0 0 0,TRUSTEE 0 0,kathleen,010215213,161004,Bowdoin College
JANE L PINCHIN 4 0,X 0 0 0,TRUSTEE 0 0,jane,010215213,161004,Bowdoin College
MARY HOGAN PREUSSE 4 0,X 0 0 0,TRUSTEE 0 0,mary,010215213,161004,Bowdoin College
LINDA HORVITZ ROTH 4 0,X 0 0 0,TRUSTEE 0 0,linda,010215213,161004,Bowdoin College
DAVID J ROUX 4 0,X 0 0 0,TRUSTEE 0 0,david,010215213,161004,Bowdoin College
GEOFFREY CLAFLIN RUSACK 4 0,X 0 0 0,TRUSTEE 0 0,geoffrey,010215213,161004,Bowdoin College
H ALLEN RYAN 4 0,X 0 0 0,TRUSTEE 0 0,allen,010215213,161004,Bowdoin College
JOAN BENOlT SAMUELSON 4 0,X 0 0 0,TRUSTEE 0 0,joan,010215213,161004,Bowdoin College
ANDREW E SERWER 4 0,X 0 0 0,TRUSTEE 0 0,andrew,010215213,161004,Bowdoin College
PETER M SMALL 4 0,X 0 0 0,TRUSTEE 0 0,peter,010215213,161004,Bowdoin College
MARY TYDINGS SMITH 4 0,X 0 0 0,TRUSTEE 0 0,mary,010215213,161004,Bowdoin College
JAMES E STALEY 4 0,X 0 0 0,TRUSTEE 0 0,james,010215213,161004,Bowdoin College
SHELDON M STONE 4 0,X 0 0 0,TRUSTEE 0 0,sheldon,010215213,161004,Bowdoin College
JOHN J STUDZINSKI 4 0,X 0 0 0,TRUSTEE 0 0,john,010215213,161004,Bowdoin College
JOHN K LTHORNDIKE 4 0,X 0 0 0,TRUSTEE 0 0,john,010215213,161004,Bowdoin College
KAREN N WALKER 4 0,X 0 0 0,TRUSTEE 0 0,karen,010215213,161004,Bowdoin College
PAULA M WARDYNSKI 4 0,X 0 0 0,TRUSTEE 0 0,paula,010215213,161004,Bowdoin College
ROBERT F WHITE 4 0,X 0 0 0,TRUSTEE 0 0,robert,010215213,161004,Bowdoin College
BARRY MILLS 40 0,"X X 428,069 0 89,228",PRESIDENT 0 0,barry,010215213,161004,Bowdoin College
SCATHERINE LONGLEY 40 0,"X 284,615 0 62,213",SVP FINANCE & ADMIN/TREASURER 0 0,longley,010215213,161004,Bowdoin College
PAULA VOLENT 40 0,"x 1,230,565 0 58,170",SVP FOR INVESTMENTS 0 0,paula,010215213,161004,Bowdoin College
KELLY KERNER 40 0,"X 296,987 0 54,580",SVP FOR DVT & ALUMNI RELATIONS 0 0,kelly,010215213,161004,Bowdoin College
CRISTLE COLLINS JUDD 40 0,"X 235,143 0 62,275",DEAN FOR ACADEMIC AFFAIRS 0 0,collins,010215213,161004,Bowdoin College
SCOTT MEIKLEJOHN 40 0,"X 205,060 0 39,702",DEAN OF ADMISSIONS & STDT AID 0 0,scott,010215213,161004,Bowdoin College
MITCHEL DAVIS 40 0,"X 184,420 0 46,715",CHIEF INFORMATION OFFICER 0 0,mitchel,010215213,161004,Bowdoin College
TIMOTHY FOSTER 40 0,"X 182,644 0 46,595",DEAN OF STUDENT AFFAIRS 0 0,timothy,010215213,161004,Bowdoin College
JANE DIETZE 40 0,"X 288,369 0 49,514",DIRECTOR OF PRIVATE EQUITY 0 0,jane,010215213,161004,Bowdoin College
PATSY DICKINSON 40 0,"X 205,104 0 63,303",FACULTY 0 0,patsy,010215213,161004,Bowdoin College
MARK WETHLI 40 0,"X 192,752 0 48,321",FACULTY 0 0,mark,010215213,161004,Bowdoin College
EDYTA RILEY 40 0,"X 188,916 0 28,017",ASSOC DIRECTOR OF INVESTMENTS 0 0,edyta,010215213,161004,Bowdoin College
RAYMOND MILLER 40 0,"X 178,892 0 19,367",FACULTY 0 0,raymond,010215213,161004,Bowdoin College
WILLIAM TORREY 0 0,"x 122,500 0 2,589",FORMER SECRETARY OF COLLEGE 0 0,william,010215213,161004,Bowdoin College
