line1,line2,line3,key,fein,unitid,institutionname
DaVId B Payne 2 00,X 0 0 0,Trustee,david,020222120,182634,Colby-Sawyer College
ErIk Edward Joh 2 00,X 0 0 0,Trustee,erik,020222120,182634,Colby-Sawyer College
Joan C ElIot 2 00,X 0 0 0,Trustee,joan,020222120,182634,Colby-Sawyer College
Karen C Eldred 2 00,X X 0 0 0,ExecutIve Secretary,karen,020222120,182634,Colby-Sawyer College
RIchard Dulude 2 00,X 0 0 0,Past Trustee,richard,020222120,182634,Colby-Sawyer College
Thomas C CsatarI 2 00,X X 0 0 0,ChaIrman,thomas,020222120,182634,Colby-Sawyer College
WIllIam E Gundy 2 00,X 0 0 0,Trustee,william,020222120,182634,Colby-Sawyer College
WIllIam P Clough III 2 00,X 0 0 0,Trustee,william,020222120,182634,Colby-Sawyer College
ChrIstIne B Ferraro 2 00,X 0 0 0,Trustee,christine,020222120,182634,Colby-Sawyer College
George JamIeson 2 00,X 0 0 0,Trustee,george,020222120,182634,Colby-Sawyer College
RobIn L Mead 2 00,X 0 0 0,Trustee,robin,020222120,182634,Colby-Sawyer College
WIllIam 5 Reed 2 00,X X 0 0 0,VIce ChaIrman,william,020222120,182634,Colby-Sawyer College
Susan C Hassett 2 00,X 0 0 0,Trustee,susan,020222120,182634,Colby-Sawyer College
Susan DeBev0Ise WrIght 2 00,X 0 0 0,Trustee,susan,020222120,182634,Colby-Sawyer College
Andrew S PIllsbury 2 00,X 0 0 0,Past Trustee,andrew,020222120,182634,Colby-Sawyer College
Aubrey K Thomas 2 00,X 0 0 0,Trustee,aubrey,020222120,182634,Colby-Sawyer College
Sally S VeItch 2 00,X 0 0 0,Trustee,sally,020222120,182634,Colby-Sawyer College
Peter F VolanakIs 2 00,X 0 0 0,Trustee,peter,020222120,182634,Colby-Sawyer College
WIllIam J WIlson 2 00,X 0 0 0,Trustee,william,020222120,182634,Colby-Sawyer College
Pamela S BrIght 2 00,X 0 0 0,Trustee,pamela,020222120,182634,Colby-Sawyer College
Deborah L CoffIn 2 00,X 0 0 0,Trustee,deborah,020222120,182634,Colby-Sawyer College
John S MalanowskI 2 00,X 0 0 0,Trustee,john,020222120,182634,Colby-Sawyer College
Gretchen R Massey 2 00,X 0 0 0,Trustee,gretchen,020222120,182634,Colby-Sawyer College
Margaret V Mulley 2 00,X 0 0 0,Trustee,margaret,020222120,182634,Colby-Sawyer College
Jonathan J Pappalardo 2 00,X 0 0 0,Trustee,jonathan,020222120,182634,Colby-Sawyer College
Todd Emmons 40 00,"X 132,796 0 15,421",VP FInance/Treasurer,todd,020222120,182634,Colby-Sawyer College
Thomas C GallIgan Jr 40 00,"X 290,513 0 61,366",PreSIdent,thomas,020222120,182634,Colby-Sawyer College
Douglas AtkIns 40 00,"X 138,092 0 19,841",VP AdmInIstratIon,douglas,020222120,182634,Colby-Sawyer College
Deborah Taylor 40 00,"X 142,318 0 16,529",VP AcademIcs/Dean of Facul,deborah,020222120,182634,Colby-Sawyer College
DaVId SauenNeIn 40 00,"x 116,136 0 5,074",VP Dean of Students,david,020222120,182634,Colby-Sawyer College
Kenneth KochIen 40 00,"x 102,552 0 5,438",DIrector of InformatIon Resources,kenneth,020222120,182634,Colby-Sawyer College
