line1,line2,line3,key,fein,unitid,institutionname
PRISCILLA ALEXANDER 1 0,X 0 0 0,TRUSTEE 0 0,priscilla,030179414,230816,Bennington College
SUSAN PARIS BORDEN 1 0,X 0 0 0,TRUSTEE 0 0,susan,030179414,230816,Bennington College
JOHN BOYD 1 0,X 0 0 0,TRUSTEE (ROTATED OFF 9/2013) 0 0,john,030179414,230816,Bennington College
TRUSTEE (ROTATED OFF 9/2013) 0 0,KAREN JOHNSON BOYD 1 0,X 0 0 0,off,030179414,230816,Bennington College
KAREN JOHNSON BOYD 1 0,X 0 0 0,LIFE TRUSTEE (NON—VOTING) 0 0,karen,030179414,230816,Bennington College
SUZANNE BRUNDAGE 1 0,X 0 0 0,TRUSTEE 0 0,suzanne,030179414,230816,Bennington College
MATTHEW CLARKE 1 0,X 0 0 0,TRUSTEE (STARTED 8/2013) 0 0,matthew,030179414,230816,Bennington College
BARBARA USHKOW DEANE 1 0,X 0 0 0,VICE CHAIRMAN 0 0,barbara,030179414,230816,Bennington College
WILLIAM DERROUOGH 1 0,X 0 0 0,TRUSTEE 0 0,william,030179414,230816,Bennington College
OUSSEYNOU DIOME 1 0,X 0 0 0,TRUSTEE (STARTED 5/2014) 0 0,ousseynou,030179414,230816,Bennington College
MARY HAMMOND STORER 1 0,X 0 0 0,TRUSTEE 0 0,mary,030179414,230816,Bennington College
MICHAEL HECHT 1 0,X 0 0 0,TRUSTEE 0 0,michael,030179414,230816,Bennington College
JOHN J KENNEY 1 0,X 0 0 0,TRUSTEE 0 0,john,030179414,230816,Bennington College
BOBBIE KNABLE 1 0,X 0 0 0,TRUSTEE 0 0,bobbie,030179414,230816,Bennington College
ALAN KORNBERG 1 0,X 0 0 0,CHAIRMAN 0 0,alan,030179414,230816,Bennington College
INSIYAH MOHAMMAD 1 0,X 0 0 0,TRUSTEE (ROTATED OFF 6/2014) 0 0,mohammad,030179414,230816,Bennington College
TRUSTEE (ROTATED OFF 6/2014) 0 0,JASON MOON 1 0,X 0 0 0,off,030179414,230816,Bennington College
JASON MOON 1 0,X 0 0 0,TRUSTEE 0 0,jason,030179414,230816,Bennington College
AARTI RANA 1 0,X 0 0 0,TRUSTEE 0 0,aarti,030179414,230816,Bennington College
DANIEL B ROWLAND 1 0,X 0 0 0,TRUSTEE 0 0,daniel,030179414,230816,Bennington College
CHARLENE SOLOW SCHWARTZ 1 0,X 0 0 0,TRUSTEE 0 0,charlene,030179414,230816,Bennington College
JAMES SIMON 1 0,X 0 0 0,TRUSTEE 0 0,james,030179414,230816,Bennington College
SARA STEINES 1 0,X 0 0 0,TRUSTEE 0 0,sara,030179414,230816,Bennington College
CATHERINE STIMPSON 1 0,X 0 0 0,TRUSTEE (STARTED 5/2014) 0 0,catherine,030179414,230816,Bennington College
DEBORAH WADSWORTH 1 0,X 0 0 0,TRUSTEE (DECEASED 12/2013) 0 0,deborah,030179414,230816,Bennington College
PENELOPE PERKINS WILSON 1 0,X 0 0 0,TRUSTEE 0 0,penelope,030179414,230816,Bennington College
MARIKO SILVER 40 0,"X 192,441 0 80,906",PRESIDENT (EXOFFICIO) 0 0,mariko,030179414,230816,Bennington College
DAVID REES 40 0,"X 177,316 0 18,754",SENIOR VP FOR PLANNING & ADMIN 0 0,david,030179414,230816,Bennington College
LAURA KRAUSE 40 0,"X 176,001 0 16,666",TREASURER/VP/CEO THRU 12/31/13 0 0,laura,030179414,230816,Bennington College
BRIAN MURPHY 40 0,X 0 0 0,VP/CFO (STARTED 6/30/14) 0 0,brian,030179414,230816,Bennington College
JANET MARSDEN 40 0,"X 161,875 0 12,776",SECRETARY/VP 0 0,janet,030179414,230816,Bennington College
PAIGE BARTELS 40 0,"X 179,766 0 15,170",VP FOR EXTERNAL RELATIONS 0 0,paige,030179414,230816,Bennington College
ISABEL ROCHE 40 0,"X 173,688 0 14,373",DEAN OF THE COLLEGE 0 0,isabel,030179414,230816,Bennington College
DUNCAN DOBBELMAN 40 0,"X 111,788 0 18,301",ASSOCIATE DEAN OF THE COLLEGE 0 0,duncan,030179414,230816,Bennington College
ELIZABETH COLEMAN 40 0,"X 377,114 0 46,175",DIR OF CTR FOR ADV OF PUB ACT 0 0,elizabeth,030179414,230816,Bennington College
JONATHAN PITCHER 40 0,"x 93,583 0 16,360",PROFESSOR 0 0,jonathan,030179414,230816,Bennington College
HEATHER FALEY 40 0,"x 96,985 0 6,658",DIRECTOR OF HUMAN RESOURCES 0 0,heather,030179414,230816,Bennington College
KERRY WOODS 40 0,"x 93,805 0 12,681",PROFESSOR 0 0,kerry,030179414,230816,Bennington College
MARK WUNDERLICH 40 0,"x 95,925 0 11,638",PROFESSOR 0 0,mark,030179414,230816,Bennington College
