line1,line2,line3,key,fein,unitid,institutionname
(1) JOHN ELDER PHD 2 00,X 0 0 0,TRUSTEE,john,030197728,231095,Sterling College
(2) PETE CHEHAYL 2 00,X X 0 0 0,TREASURER,pete,030197728,231095,Sterling College
(3) CATHERINE DONNELLY 2 00,X X 0 0 0,VICE CHAIR,catherine,030197728,231095,Sterling College
(4) MELISSA FISHER 2 00,X 0 0 0,TRUSTEE,melissa,030197728,231095,Sterling College
(5) STEPHANIE GEORGE 2 00,X 0 0 0,TRUSTEE,stephanie,030197728,231095,Sterling College
(6) THADDEUS GULDBRANDSEN 2 00,X 0 0 0,TRUSTEE,thaddeus,030197728,231095,Sterling College
(7) MARION BURROS 2 00,X 0 0 0,TRUSTEE,marion,030197728,231095,Sterling College
(8) ANN GUYER 2 00,X 0 0 0,TRUSTEE,ann,030197728,231095,Sterling College
(9) WENDY KOENIG 2 00,X X 0 0 0,SECRETARY,wendy,030197728,231095,Sterling College
(10) ROBERT SHELTON JD 2 00,X 0 0 0,TRUSTEE,robert,030197728,231095,Sterling College
(11) DAVID STONER 2 00,X 0 0 0,TRUSTEE,david,030197728,231095,Sterling College
(12) JON LARSEN 2 00,X X 0 0 0,CHAIR,jon,030197728,231095,Sterling College
(13) KENNETH GIBBONS 2 00,X 0 0 0,TRUSTEE,kenneth,030197728,231095,Sterling College
(14) RICHARD DETWEILDER 2 00,X 0 0 0,TRUSTEE,richard,030197728,231095,Sterling College
(15) TOM STEARNS 2 00,X 0 0 0,TRUSTEE,tom,030197728,231095,Sterling College
(16) ERIC BECKER 2 00,X 0 0 0,TRUSTEE,eric,030197728,231095,Sterling College
(17) BOB DURAND 2 00,X 0 0 0,TRUSTEE,bob,030197728,231095,Sterling College
(18) JUDY GEER 2 00,X 0 0 0,TRUSTEE,judy,030197728,231095,Sterling College
(19) ALLISON HOOPER 2 00,X 0 0 0,TRUSTEE,allison,030197728,231095,Sterling College
(20) JAKE OUDHEUSDEN 2 00,X 0 0 0,TRUSTEE,jake,030197728,231095,Sterling College
(21) JULIE WORMSER 2 00,X 0 0 0,TRUSTEE,julie,030197728,231095,Sterling College
(22) MATTHEW DERR 40 00,"X 100,000 0 16,645",PRESIDENT,matthew,030197728,231095,Sterling College
