line1,line2,line3,key,fein,unitid,institutionname
Philip L Boroughs SJ 45 00,X X 0 0 0,PreSIdent,philip,042103558,166124,College of the Holy Cross
KeVIn T FitzGerald SJ 3 00,X 0 0 0,Trustee,kevin,042103558,166124,College of the Holy Cross
Ronald Amiot SJ 3 00,X 0 0 0,Trustee,ronald,042103558,166124,College of the Holy Cross
Michael G Barrett 3 00,X 0 0 0,Trustee,michael,042103558,166124,College of the Holy Cross
Susan F Feitelberg 3 00,X 0 0 0,Trustee,susan,042103558,166124,College of the Holy Cross
Anne M Fink 3 00,X 0 0 0,Trustee,anne,042103558,166124,College of the Holy Cross
Thomas H Carey 3 00,X 0 0 0,Trustee,thomas,042103558,166124,College of the Holy Cross
Mark s Massa SJ 3 00,X 0 0 0,Trustee,mark,042103558,166124,College of the Holy Cross
Michael E Daniels 3 00,X 0 0 0,Trustee,michael,042103558,166124,College of the Holy Cross
William M Doran Jr 3 00,X 0 0 0,Trustee,william,042103558,166124,College of the Holy Cross
Robert s Morrison 3 00,X 0 0 0,Trustee,robert,042103558,166124,College of the Holy Cross
Brian P Kelley 3 00,X 0 0 0,Trustee,brian,042103558,166124,College of the Holy Cross
John B Fisher 3 00,X 0 0 0,Trustee,john,042103558,166124,College of the Holy Cross
Maria Eugenia Ferre Rangel 3 00,X 0 0 0,Trustee,maria,042103558,166124,College of the Holy Cross
Ann McElaney—Johnson 3 00,X 0 0 0,Trustee,ann,042103558,166124,College of the Holy Cross
DaVId J Grain 3 00,X 0 0 0,Trustee,david,042103558,166124,College of the Holy Cross
Susan Power Curtin 3 00,X 0 0 0,Trustee,susan,042103558,166124,College of the Holy Cross
Andrew J O'Brien 3 00,X 0 0 0,Trustee,andrew,042103558,166124,College of the Holy Cross
Kathleen McLaughlin LaCr0ix 3 00,X 0 0 0,Trustee,kathleen,042103558,166124,College of the Holy Cross
P KeVIn Condron 3 00,X X 0 0 0,Trustee/Chair,kevin,042103558,166124,College of the Holy Cross
Brian F Linnane SJ 3 00,X 0 0 0,Trustee,brian,042103558,166124,College of the Holy Cross
Nicholas J Pelletier 3 00,X 0 0 0,Trustee,nicholas,042103558,166124,College of the Holy Cross
Cornelius B Prior Jr 3 00,X 0 0 0,Trustee,cornelius,042103558,166124,College of the Holy Cross
John J Mahoney Jr 3 00,X 0 0 0,Trustee,john,042103558,166124,College of the Holy Cross
William J Teuber Jr 3 00,X 0 0 0,Trustee,william,042103558,166124,College of the Holy Cross
Bernadette M Semple 3 00,X 0 0 0,Trustee,bernadette,042103558,166124,College of the Holy Cross
RIchard H Patterson 3 00,X 0 0 0,Trustee,richard,042103558,166124,College of the Holy Cross
Park B Smlth 3 00,X 0 0 0,Trustee,park,042103558,166124,College of the Holy Cross
Nancy M Taylor 3 00,X 0 0 0,Trustee,nancy,042103558,166124,College of the Holy Cross
Donna M WInn 3 00,X 0 0 0,Trustee,donna,042103558,166124,College of the Holy Cross
Mary Murphy Westover 3 00,X 0 0 0,Trustee,mary,042103558,166124,College of the Holy Cross
John Baldovm SJ 3 00,X 0 0 0,Trustee,john,042103558,166124,College of the Holy Cross
MIchaeI Greene 3 00,X 0 0 0,Trustee,greene,042103558,166124,College of the Holy Cross
PrIscIIIa Lam 3 00,X X 0 0 0,Trustee,lam,042103558,166124,College of the Holy Cross
James F Mooney 3 00,X 0 0 0,Trustee,james,042103558,166124,College of the Holy Cross
Robert F Morlarty 3 00,X 0 0 0,Trustee,robert,042103558,166124,College of the Holy Cross
James G Gartland SJ 3 00,X 0 0 0,Trustee,james,042103558,166124,College of the Holy Cross
Michael Lochhead 45 00,"X 309,126 0 58,614",VP Treasurer,michael,042103558,166124,College of the Holy Cross
Jacquellne Peterson 45 00,"X 196,638 0 44,499",Dean of Students,peterson,042103558,166124,College of the Holy Cross
Frank Vellacclo 45 00,"X 395,993 0 104,344",Sr VP,frank,042103558,166124,College of the Holy Cross
Jane E Corr 45 00,"x 111,917 0 4,744",Secretary,jane,042103558,166124,College of the Holy Cross
Lon A Blackwell 45 00,"x 28,859 0 43,299",Asst Secretary,lon,042103558,166124,College of the Holy Cross
TImothy Jarry 45 00,"X 289,772 0 52,797",Chlef Invest Offlcer,timothy,042103558,166124,College of the Holy Cross
Dorothy Hauver 45 00,"X 171,802 0 44,511",ASSIstant Treasurer,dorothy,042103558,166124,College of the Holy Cross
Paul Harman SJ 45 00,X 0 0 0,VP of MlSSlon,paul,042103558,166124,College of the Holy Cross
Margaret FreIJe 45 00,VIce PreSIdent for Academlc Affalrs and Dean of the X 201’668 0 65’863,College,margaret,042103558,166124,College of the Holy Cross
Tracy Barlok 45 00,"X 280,369 0 50,831",VIce PreSIdent for Advancement,tracy,042103558,166124,College of the Holy Cross
RIchard Regan Jr 45 00,"X 203,872 0 46,518",Athletlc DIrector,richard,042103558,166124,College of the Holy Cross
John Carter 40 00,"X 260,445 0 25,749",Professor,john,042103558,166124,College of the Holy Cross
Thomas Gilmore 40 00,"x 191,520 0 50,774",FootbaH Coach,thomas,042103558,166124,College of the Holy Cross
Edward Thompson Jr 40 00,"X 204,554 0 15,653",Professor,edward,042103558,166124,College of the Holy Cross
