line1,line2,line3,key,fein,unitid,institutionname
HON JOYCE LONDON ALEXANDER 1 00,X 0 0 0,TRUSTEE,hon,042103589,166452,Lesley University
MS JEAN AXLINE 1 00,X 0 0 0,TRUSTEE,jean,042103589,166452,Lesley University
MR HAL BELODOFF 1 00,X 0 0 0,TRUSTEE,hal,042103589,166452,Lesley University
MRS KAREN COTTON CHAPLIN 1 00,X 0 0 0,TRUSTEE,karen,042103589,166452,Lesley University
MS WHITNEY LUMAN BROWN 1 00,X 0 0 0,TRUSTEE,whitney,042103589,166452,Lesley University
MR RICHARD A JALKUT 1 00,X 0 0 0,TRUSTEE,richard,042103589,166452,Lesley University
MS JUANITA JAMES 1 00,X 0 0 0,TRUSTEE,juanita,042103589,166452,Lesley University
MS JANA KARP 1 00,X 0 0 0,TRUSTEE,jana,042103589,166452,Lesley University
MS JACQUELINE LEACH 1 00,X 0 0 0,TRUSTEE,jacqueline,042103589,166452,Lesley University
MS LAUREN MANAFORT 1 00,X 0 0 0,TRUSTEE,lauren,042103589,166452,Lesley University
MR MICHAEL E MOONEY 1 00,X 0 0 0,TRUSTEE,michael,042103589,166452,Lesley University
MRS CAROL C MORIARTY 1 00,X 0 0 0,TRUSTEE,carol,042103589,166452,Lesley University
MS KAREN V MORTON 1 00,X 0 0 0,TRUSTEE,karen,042103589,166452,Lesley University
MS MICHELLE O'BRIEN 1 00,X X 0 0 0,"TRUSTEE, CLERK",michelle,042103589,166452,Lesley University
MR DONALD M PERRIN 1 00,X 0 0 0,TRUSTEE,donald,042103589,166452,Lesley University
MS ALLENE RUSSELL PIERSON 1 00,X 0 0 0,TRUSTEE,allene,042103589,166452,Lesley University
MRS DEBORAH SCHWARTZ RAIZES 1 00,X X 0 0 0,"TRUSTEE, CHAIR",deborah,042103589,166452,Lesley University
MR THOMAS N RILEY 1 00,X 0 0 0,TRUSTEE,thomas,042103589,166452,Lesley University
DR JOTHY ROSENBERG 1 00,X 0 0 0,TRUSTEE,rosenberg,042103589,166452,Lesley University
MS BARBARA WEINSTEIN RUSSELL 1 00,X X 0 0 0,"TRUSTEE, TREASURER",barbara,042103589,166452,Lesley University
MR ROBERT SAGE 1 00,X 0 0 0,TRUSTEE,robert,042103589,166452,Lesley University
MRS NAOMI NASON SKOLER 1 00,X 0 0 0,TRUSTEE,naomi,042103589,166452,Lesley University
MR KENNETH Z SLATER 1 00,X 0 0 0,TRUSTEE,kenneth,042103589,166452,Lesley University
MR GARY SMITH 1 00,X 0 0 0,TRUSTEE,gary,042103589,166452,Lesley University
MS JANET STEINMAYER 1 00,X 0 0 0,TRUSTEE,janet,042103589,166452,Lesley University
MS LORING LOW STEVENS 1 00,X 0 0 0,TRUSTEE,loring,042103589,166452,Lesley University
MR HANS D STRAUCH 1 00,X X 0 0 0,"TRUSTEE, VICE CHAIR",hans,042103589,166452,Lesley University
MR DAVID A SWOPE 1 00,X 0 0 0,TRUSTEE,david,042103589,166452,Lesley University
JOSEPH B MOORE 40 00,"X X 636,949 0 90,731",PRESIDENT,joseph,042103589,166452,Lesley University
WAYNE SELASE WILLIAMS 40 00,"X 282,466 0 14,007",PROVOST,wayne,042103589,166452,Lesley University
MARY LOU BATT 40 00,"X 208,642 0 22,095",VP OF ADMINISTRATION,mary,042103589,166452,Lesley University
BERNICE BRADIN 40 00,"X 206,613 0 26,421",VP OF FINANCE/CFO,bernice,042103589,166452,Lesley University
KATHERINE MCWEY 40 00,"x 68,044 0 20,499",ASSISTANT TO THE PRESIDENT,katherine,042103589,166452,Lesley University
MARY D COLEMAN 40 00,"X 167,853 0 11,805",DEAN OF CLAS,mary,042103589,166452,Lesley University
DEAN OF CLAS,MARY LOU DYMSKI 40 00,"X 193,177 0 16,118",clas,042103589,166452,Lesley University
MARY LOU DYMSKI 40 00,"X 193,177 0 16,118",VP OF BUDGETING & FIN PLANNING,mary,042103589,166452,Lesley University
JONATHON GILLETTE 40 00,"X 184,867 0 28,376",DEAN OF GRAD SCHOOL OF EDUCATION,jonathon,042103589,166452,Lesley University
ANNA KOVEROLA 40 00,"X 161,124 0 33,354",DEAN OF GSASS,anna,042103589,166452,Lesley University
SHIRIN PHILIPP 40 00,"X 194,497 0 14,329",GENERAL COUNSEL,shirin,042103589,166452,Lesley University
TIMOTHY ROBISON 40 00,"X 155,388 0 25,862",VP OF ENROLLMENT MANAGEMENT,timothy,042103589,166452,Lesley University
RANDY STABILE 40 00,"X 189,555 0 24,694",VP OF ADVANCEMENT,randy,042103589,166452,Lesley University
STANLEY TRECKER 40 00,"X 177,008 0 15,373",DEAN OF LUCAD,stanley,042103589,166452,Lesley University
JOSEPH CAMBONE 40 00,"X 165,562 0 25,435",SENIOR ASSOCIATE DEAN,joseph,042103589,166452,Lesley University
IRENE FOUNTAS 40 00,"X 162,050 0 21,942",DIRECTOR OF READING RECOVERY,irene,042103589,166452,Lesley University
DIRECTOR OF READING RECOVERY,LISA IJIRI 40 00,"X 163,562 0 14,277",reading,042103589,166452,Lesley University
LISA IJIRI 40 00,"X 163,562 0 14,277",ASSOCIATE PROVOST,lisa,042103589,166452,Lesley University
MARY PATRICIA LOHSE 40 00,"X 161,575 0 26,803",CHIEF OF STAFF,mary,042103589,166452,Lesley University
GEORGE SMITH 40 00,"X 143,233 0 29,478",DIRECTOR OF OPERATIONS,george,042103589,166452,Lesley University
