line1,line2,line3,key,fein,unitid,institutionname
(1) DAVID BEGELFER 1 00,X 0 0 0,TRUSTEE,david,042104300,166045,Hebrew College
(2) JACK A EIFERMAN 1 00,X X 0 0 0,SECRETARY,jack,042104300,166045,Hebrew College
(3) RONALD FEINSTEIN 1 00,X 0 0 0,TRUSTEE,ronald,042104300,166045,Hebrew College
(4) GEORGE KRUPP 1 00,X 0 0 0,TRUSTEE,george,042104300,166045,Hebrew College
(5) JAMES SOKOLOVE 1 00,X 0 0 0,TRUSTEE,james,042104300,166045,Hebrew College
(6) SUSAN AIN 1 00,X X 0 0 0,CHAIR,susan,042104300,166045,Hebrew College
(7) HAROLD KOTLER 1 00,X X 0 0 0,VICE CHAIR,harold,042104300,166045,Hebrew College
(8) SUZANNE OFFIT 1 00,X 0 0 0,TRUSTEE,suzanne,042104300,166045,Hebrew College
(9) STEVEN G SEGAL 1 00,X 0 0 0,TRUSTEE,steven,042104300,166045,Hebrew College
(10) BETTY BRUDNICK 1 00,X 0 0 0,TRUSTEE EMERITUS,betty,042104300,166045,Hebrew College
(11) MICKEY CAIL 1 00,X 0 0 0,TRUSTEE EMERITUS,mickey,042104300,166045,Hebrew College
(12) TEDDY CUTLER 1 00,X 0 0 0,TRUSTEE EMERITUS,teddy,042104300,166045,Hebrew College
(13) THEODORE TEPLOW 1 00,X 0 0 0,TRUSTEE EMERITUS,theodore,042104300,166045,Hebrew College
(14) JOHN T ALLEN 1 00,X 0 0 0,TRUSTEE,john,042104300,166045,Hebrew College
(15) LOUIS GROSSMAN 1 00,X 0 0 0,TRUSTEE,louis,042104300,166045,Hebrew College
(16) LEO KARAS 1 00,X 0 0 0,TRUSTEE,leo,042104300,166045,Hebrew College
(17) JIM MILLER 1 00,X 0 0 0,TRUSTEE,jim,042104300,166045,Hebrew College
(18) DANIEL LEHMANN 40 00,"X X 382,323 0 126,060",PRESIDENT,daniel,042104300,166045,Hebrew College
(19) GEOFFREY KURINSKY 1 00,X X 0 0,TREASURER,geoffrey,042104300,166045,Hebrew College
(20) BERNARD KORMAN 1 00,X 0 0,TRUSTEE,bernard,042104300,166045,Hebrew College
(21) SARA LEE 1 00,X 0 0,TRUSTEE,sara,042104300,166045,Hebrew College
(22) DANIEL MILLER 1 00,X 0 0,TRUSTEE,daniel,042104300,166045,Hebrew College
(23) GREG STOLLER 1 00,X 0 0,TRUSTEE,greg,042104300,166045,Hebrew College
(24) MYRA SNYDER 1 00,X 0 0,TRUSTEE,myra,042104300,166045,Hebrew College
(25) STEVEN COHEN 1 00,X 0 0,TRUSTEE,steven,042104300,166045,Hebrew College
(26) CARL CHUDNOFSKY 1 00,X 0 0,TRUSTEE,carl,042104300,166045,Hebrew College
(27) MARK ATKINS 1 00,X 0 0,TRUSTEE,mark,042104300,166045,Hebrew College
(28) LEON D ZAIMES 40 00,"x 165,264 0 3,576",VICE PRESIDENT FOR FINANCE,leon,042104300,166045,Hebrew College
(29) PAUL ROSENSTEIN 40 00,"x 169,454 0 8,090",VICE PRESIDENT OF INSTITUT,paul,042104300,166045,Hebrew College
(30) HILLA KOBLINER 40 00,"x 123,999 0 2,007",DIRECTOR OF NETA,hilla,042104300,166045,Hebrew College
