line1,line2,line3,key,fein,unitid,institutionname
SISTER MARY ANNE DOYLE CS] 1 00,X 0 0 0,BOARD OF TRUSTEES,mary,042104451,167598,Regis College
PETER LANGENUS 1 00,X 0 0 0,BOARD OF TRUSTEES,peter,042104451,167598,Regis College
KATHLEEN DAWLEY 1 00,X 0 0 0,BOARD OF TRUSTEES,kathleen,042104451,167598,Regis College
ELLEN C KEARNS 1 00,X 0 0 0,BOARD OF TRUSTEES,ellen,042104451,167598,Regis College
DR RICHARD W YOUNG 1 00,X 0 0 0,TRUSTEE EMERITUS,richard,042104451,167598,Regis College
CLYDE H EVANS 1 00,X 0 0 0,BOARD OF TRUSTEES,clyde,042104451,167598,Regis College
CAROLE F BARRETT 1 00,X 0 0 0,BOARD OF TRUSTEES,carole,042104451,167598,Regis College
SISTER ROSEMARY BRENNAN CS] 1 00,X 0 0 0,BOARD OF TRUSTEES,rosemary,042104451,167598,Regis College
SISTER MAUREEN DOHERTY CS] 1 00,X X 0 0 0,SECRETARY,maureen,042104451,167598,Regis College
BEVERLY BOORSTEIN 1 00,X 0 0 0,BOARD OF TRUSTEES,beverly,042104451,167598,Regis College
RUTH SANDERSON KINGSBURY 1 00,X 0 0 0,BOARD OF TRUSTEES,ruth,042104451,167598,Regis College
PETER J MINIHANE CPA 1 00,X 0 0 0,BOARD OF TRUSTEES,peter,042104451,167598,Regis College
PAUL V GARRITY VF 1 00,X 0 0 0,BOARD OF TRUSTEES,paul,042104451,167598,Regis College
MARY T ROCHE 1 00,X 0 0 0,BOARD OF TRUSTEES,mary,042104451,167598,Regis College
SISTER MARIAN BATHO CS] 1 00,X 0 0 0,BOARD OF TRUSTEES,marian,042104451,167598,Regis College
KATHLEEN O'HARE 1 00,X 0 0 0,BOARD OF TRUSTEES,kathleen,042104451,167598,Regis College
SISTER KATHLEEN MCCLUSKEY CS] 1 00,X 0 0 0,BOARD OF TRUSTEES,kathleen,042104451,167598,Regis College
JUDY M LAUCH 1 00,X 0 0 0,BOARD OF TRUSTEES,judy,042104451,167598,Regis College
JOAN SHEA 1 00,X X 0 0 0,CHAIR,joan,042104451,167598,Regis College
JANE TEDDER 1 00,X 0 0 0,BOARD OF TRUSTEES,jane,042104451,167598,Regis College
GLENN MORRIS 1 00,X 0 0 0,BOARD OF TRUSTEES,glenn,042104451,167598,Regis College
ERNEST BARTELL CSC 1 00,X 0 0 0,TRUSTEE EMERITUS,ernest,042104451,167598,Regis College
TERESA M MCGONAGLE 1 00,X 0 0 0,BOARD OF TRUSTEES,teresa,042104451,167598,Regis College
DONNA M NORRIS MD 1 00,X 0 0 0,BOARD OF TRUSTEES,donna,042104451,167598,Regis College
SISTER LEILA HOGAN CS] 1 00,X X 0 0 0,VICE CHAIR,leila,042104451,167598,Regis College
ANTOINETTE HAYS 40 00,"X X 289,913 0 16,905",PRESIDENT,antoinette,042104451,167598,Regis College
CHRISTINA M MCCANN 1 00,X X 0 0 0,TREASURER,christina,042104451,167598,Regis College
MEYER CHAMBERS 1 00,X 0 0 0,BOARD OF TRUSTEES,meyer,042104451,167598,Regis College
MICHAELJ HALLORAN 1 00,X 0 0 0,BOARD OF TRUSTEES,halloran,042104451,167598,Regis College
JOHN TEGAN JR 1 00,X 0 0 0,BOARD OF TRUSTEES,john,042104451,167598,Regis College
ANITA BRENNAN 1 00,X 0 0 0,BOARD OF TRUSTEES,anita,042104451,167598,Regis College
HANS CHRISTENSEN 1 00,X 0 0 0,BOARD OF TRUSTEES,hans,042104451,167598,Regis College
MIRIAM SHERMAN 40 00,"x 138,373 0 2,257",CHIEF DEVELOPMENT OFFICER,miriam,042104451,167598,Regis College
PAUL VACCARO 40 00,"X 137,529 0 13,804",VP ENROLLMENT & MARKETING,paul,042104451,167598,Regis College
THOMAS PISTORINO 40 00,"X 175,650 0 14,539",VP OF FINANCE & BUSINESS,thomas,042104451,167598,Regis College
MALCOLM ASADOORIAN 40 00,"x 121,072 0 6,255",VP ACADEMIC AFFAIRS,malcolm,042104451,167598,Regis College
KARA KOLOMITZ 40 00,"x 104,704 0 2,546",VP STUDENT AFFAIRS,kara,042104451,167598,Regis College
MARLA BOTELHO 40 00,"X 104,390 0 13,301",CHIEF INFORMATION OFFICER,marla,042104451,167598,Regis College
MARY LOMBARD 40 00,"x 134,127 0 6,202",PROFESSOR,mary,042104451,167598,Regis College
STEVEN SAVAS 40 00,"x 115,784 0 6,156",DIRECTOR FOR FINANCE AND B,steven,042104451,167598,Regis College
DIANE WELSH 40 00,"ASSOCIATE DEAN, SCHOOL OF NURSING, SCIENCE & X 120’682 0 2’357",HEALT,diane,042104451,167598,Regis College
ANNA M POWERS 40 00,"x 117,929 0 2,833",PROFESSOR,anna,042104451,167598,Regis College
DIANNA JONES 40 00,"X 115,989 0 14,774",DIRECTOR OF HEALTH SERVICES/ ADJUNCT PROFESSOR,dianna,042104451,167598,Regis College
