line1,line2,line3,key,fein,unitid,institutionname
MICHAELT BURNS CPA 1 00,X X 0 0 0,CHAIR,burns,042104736,166948,Mount Ida College
JUDITH ALLEN 1 00,X X 0 0 0,VICE CHAIR,judith,042104736,166948,Mount Ida College
KEVIN D CROWLEY CHFC 1 00,X X 0 0 0,TREASURER,kevin,042104736,166948,Mount Ida College
CORRADO ADDONISIO 1 00,X 0 0 0,TRUSTEE,corrado,042104736,166948,Mount Ida College
JAN WOOD BEAVEN 1 00,X 0 0 0,TRUSTEE,jan,042104736,166948,Mount Ida College
DAVID BREZNIAK 1 00,X 0 0 0,TRUSTEE,david,042104736,166948,Mount Ida College
KATHRYN CORBIN 1 00,X 0 0 0,TRUSTEE,kathryn,042104736,166948,Mount Ida College
ROBERT DANNIN PHD 1 00,X 0 0 0,TRUSTEE,robert,042104736,166948,Mount Ida College
RALPH FUCCILLO 1 00,X 0 0 0,TRUSTEE,ralph,042104736,166948,Mount Ida College
ROBERT GIANNINO—RACINE 1 00,X 0 0 0,TRUSTEE,robert,042104736,166948,Mount Ida College
KATHARINE H HANSON 1 00,X 0 0 0,TRUSTEE,katharine,042104736,166948,Mount Ida College
MICHAEL KERRIGAN 1 00,X 0 0 0,TRUSTEE,michael,042104736,166948,Mount Ida College
MARC MARGULIES 1 00,X 0 0 0,TRUSTEE,marc,042104736,166948,Mount Ida College
AMELIA B NYCHIS 1 00,X 0 0 0,TRUSTEE,amelia,042104736,166948,Mount Ida College
CARMIN REISS 1 00,X 0 0 0,TRUSTEE,carmin,042104736,166948,Mount Ida College
JOHN ROSS 1 00,X 0 0 0,TRUSTEE,john,042104736,166948,Mount Ida College
KARIM SAHYOUN 1 00,X 0 0 0,TRUSTEE,karim,042104736,166948,Mount Ida College
SYLVIA Q SIMMONS PHD 1 00,X 0 0 0,TRUSTEE,sylvia,042104736,166948,Mount Ida College
THOMAS WAITE 1 00,X 0 0 0,TRUSTEE,thomas,042104736,166948,Mount Ida College
BARRY WANGER 1 00,X 0 0 0,TRUSTEE,barry,042104736,166948,Mount Ida College
BURTON WINNICK LLB 1 00,X 0 0 0,TRUSTEE,burton,042104736,166948,Mount Ida College
BARRY BROWN 55 00,"X 355,434 0 50,189",PRESIDENT,barry,042104736,166948,Mount Ida College
CHERYL ST PIERRE—SLEBODA 55 00,"X 164,463 0 28,901",VP FOR FINANCE & ADMINISTRATION,cheryl,042104736,166948,Mount Ida College
RONALD AKIE 40 00,"X 224,987 0 23,863",VP FOR ACADEMIC AFFAIRS,ronald,042104736,166948,Mount Ida College
GRACE BELTRAME 40 00,"x 54,287 0 5,958",CLERK/SECRETARY,grace,042104736,166948,Mount Ida College
LAURA A DEVEAU 40 00,"x 81,601 0 23,373",VP FOR STUDENT AFFAIRS,laura,042104736,166948,Mount Ida College
SUZANNE GALLAGHER 40 00,"x 80,002 0 8,479",VP AND GENERAL COUNSEL,suzanne,042104736,166948,Mount Ida College
DEBORAH HIRSCH EDD 40 00,"X 142,137 0 37,888",VP FOR DEVELOPMENT,deborah,042104736,166948,Mount Ida College
EDWARD N MOLLER CPA 40 00,"x 94,284 0 12,230",FORMER ASST VP FOR FINANCE AND CONTROLLER,edward,042104736,166948,Mount Ida College
MAUREEN MORIARTY 40 00,"x 61,377 0 4,564",FORMER VP FOR ENROLLMENT MGMT & MARKETING,maureen,042104736,166948,Mount Ida College
ELIZABETH A TRUE EDD 40 00,"x 76,062 0 10,678",FORMER VP FOR STUDENT AFFAIRS,elizabeth,042104736,166948,Mount Ida College
MARYELLEN BEAULIEU EDD 40 00,"X 107,692 0 0",FACULTY,maryellen,042104736,166948,Mount Ida College
IRENE GOOD 40 00,"X 100,178 0 21,641",DEAN OF ACADEMIC TECHNOLOGY/LIBRARY SVCS,irene,042104736,166948,Mount Ida College
PEARL I STEINBUCH 40 00,"x 104,382 0 7,884",FACULTY,pearl,042104736,166948,Mount Ida College
DAVID VALENTINE 40 00,"X 101,189 0 23,720",DIRECTOR OF TECHNOLOGY SERVICES,david,042104736,166948,Mount Ida College
DANIEL P YOUNG 40 00,"X 110,490 0 18,175",FACULTY,daniel,042104736,166948,Mount Ida College
