line1,line2,line3,key,fein,unitid,institutionname
STEPHAN A DAVIS 2 00,X 0 0 0,TRUSTEE,stephan,042104778,167260,Nichols College
CONSTANTINE ALEXANDER 2 00,X 0 0 0,SECRETARY,constantine,042104778,167260,Nichols College
ROBERT B KUPPENHEIMER 2 00,X 0 0 0,TRUSTEE,robert,042104778,167260,Nichols College
ROBERT E MILLER PHD 2 00,X 0 0 0,TRUSTEE,robert,042104778,167260,Nichols College
JAMES W COGHLIN SR 2 00,X 0 0 0,TRUSTEE,james,042104778,167260,Nichols College
JOHN H DAVIS 2 00,X 0 0 0,TRUSTEE,john,042104778,167260,Nichols College
SAMUEL R HAINES 2 00,X 0 0 0,TRUSTEE,samuel,042104778,167260,Nichols College
ALAN S PEPPEL 2 00,X 0 0 0,TRUSTEE,alan,042104778,167260,Nichols College
RICHARD T MOORE 2 00,X 0 0 0,TRUSTEE,richard,042104778,167260,Nichols College
RANDALLV BECKER 2 00,X 0 0 0,TRUSTEE,becker,042104778,167260,Nichols College
KURT R HARRINGTON 2 00,X 0 0 0,TREASURER,kurt,042104778,167260,Nichols College
JOHN H MCCLUTCHY 2 00,X 0 0 0,CHAIRMAN OF THE BOARD,john,042104778,167260,Nichols College
MARTIN J POWER 2 00,X 0 0 0,TRUSTEE,martin,042104778,167260,Nichols College
JANE T BIRCKHEAD 2 00,X 0 0 0,TRUSTEE,jane,042104778,167260,Nichols College
EDWIN B DONAHUE 2 00,X 0 0 0,TRUSTEE,edwin,042104778,167260,Nichols College
THOMASJ HALL 2 00,X 0 0 0,VICE CHAIRMAN OF THE BOARD,hall,042104778,167260,Nichols College
THOMAS H NILES 2 00,X 0 0 0,TRUSTEE,thomas,042104778,167260,Nichols College
DAVID HALE 2 00,X 0 0 0,TRUSTEE,david,042104778,167260,Nichols College
PETER L LYNCH 2 00,X 0 0 0,TRUSTEE,peter,042104778,167260,Nichols College
DAVID BEDARD 2 00,X 0 0 0,TRUSTEE,david,042104778,167260,Nichols College
JOSEPH BARTULIS 2 00,X 0 0 0,TRUSTEE,joseph,042104778,167260,Nichols College
TAMMY A WOLF 2 00,X 0 0 0,TRUSTEE,tammy,042104778,167260,Nichols College
SUSAN ENGELKEMEYER 37 50,"X 301,103 0 31,960",PRESIDENT,susan,042104778,167260,Nichols College
MICHAEL STANTON 37 50,"X 170,992 0 26,363",VICE PRESIDENT OF ADMINIST,michael,042104778,167260,Nichols College
ALAN J REINHARDT 37 50,"X 194,967 0 27,782",PROVOST & SVP,alan,042104778,167260,Nichols College
THOMAS R CAFARO 37 50,"X 145,827 0 24,535",VP OF ENROLLMENT & MARKETI,thomas,042104778,167260,Nichols College
KEVIN F BRASSARD 37 50,"X 128,920 0 23,416",VPINFORMATION SERVICE,kevin,042104778,167260,Nichols College
VPINFORMATION SERVICE,WILLIAM PIECZYNSKI 37 50,"X 136,068 0 23,902",service,042104778,167260,Nichols College
WILLIAM PIECZYNSKI 37 50,"X 136,068 0 23,902","VP, ADVANCEMENT",william,042104778,167260,Nichols College
WILLIAM BOFFI 37 50,"X 101,359 0 21,393",VP ENROLLMENT,william,042104778,167260,Nichols College
ROBERT LAVIGNE 37 50,"X 128,484 0 23,043","ASSOC VP, FACILITIES MANA",robert,042104778,167260,Nichols College
"ASSOC VP, FACILITIES MANA",PATRICIA HERTZFELD 37 50,"x 121,285 0 8,400",mana,042104778,167260,Nichols College
PATRICIA HERTZFELD 37 50,"x 121,285 0 8,400","ASSOC VP, FINANCE/CONTROL",patricia,042104778,167260,Nichols College
DAWN SHERMAN 37 50,"X 123,072 0 10,228",ASSOCIATE DEAN,dawn,042104778,167260,Nichols College
EDWARD WARREN 37 50,"X 105,709 0 12,645",PROFESSOR,edward,042104778,167260,Nichols College
JARED HAMILTON 37 50,"X 100,941 0 19,446",ASSOCIATE VP,jared,042104778,167260,Nichols College
BRIAN T MCCOY 37 50,"X 139,822 0 22,790",VP FOR STUDENT AFFAIRS,brian,042104778,167260,Nichols College
