line1,line2,line3,key,fein,unitid,institutionname
Jennifer Abrams 2,X 0 0,Trustee 0,jennifer,042111203,165334,Clark University
Dimitry Anselme 2,X 0 0,Trustee 0,dimitry,042111203,165334,Clark University
Jay Ash 2,X 0 0,Trustee 0,jay,042111203,165334,Clark University
Andrew Brandman 2,X 0 0,Trustee 0,andrew,042111203,165334,Clark University
Marla Byrnes 2,X 0 0,Trustee 0,marla,042111203,165334,Clark University
DaVId Chaifetz 2,X 0 0,Trustee 0,david,042111203,165334,Clark University
KeVIn Cherry 2,X 0 0,Trustee 0,kevin,042111203,165334,Clark University
Elyse Darefsky 2,X 0 0,Trustee 0,elyse,042111203,165334,Clark University
Gregory Degennajian 2,X 0 0,Trustee 0,gregory,042111203,165334,Clark University
Dennis Dimitri 2,X 0 0,Trustee 0,dennis,042111203,165334,Clark University
Catherine Dunham 2,X 0 0,Trustee 0,catherine,042111203,165334,Clark University
Barbara Dyer 2,X 0 0,Trustee 0,barbara,042111203,165334,Clark University
Eric Epstein 2,X 0 0,Trustee 0,eric,042111203,165334,Clark University
Mark Fishman 2,X 0 0,Trustee 0,mark,042111203,165334,Clark University
Richard Freeland 2,X 0 0,Trustee 0,richard,042111203,165334,Clark University
Ross Gillman 2,X 0 0,Trustee 0,ross,042111203,165334,Clark University
Wolfgang Hammes 2,X 0 0,Trustee 0,wolfgang,042111203,165334,Clark University
Lawrence Hershoff 2,X 0 0,Trustee 0,lawrence,042111203,165334,Clark University
Daniel Hirsch 2,X 0 0,Trustee 0,daniel,042111203,165334,Clark University
Peter Klein 15,X 0 0,Trustee 0,peter,042111203,165334,Clark University
Lawrence Landry 2,X 0 0,Trustee 0,lawrence,042111203,165334,Clark University
Lowell Potiker 2,X 0 0,Trustee 0,lowell,042111203,165334,Clark University
Jodi Reiskind 2,X 0 0,Trustee 0,jodi,042111203,165334,Clark University
Steven Roberts 2,X 0 0,Trustee 0,steven,042111203,165334,Clark University
Paul Saltzman 2,X 0 0,Trustee 0,paul,042111203,165334,Clark University
Linda SaVItsky 2,X 0 0 0,Trustee 0,linda,042111203,165334,Clark University
Jeffrey Siegal 2,X 0 0 0,Trustee 0,jeffrey,042111203,165334,Clark University
Robert Stevenish 2,X 0 0 0,Trustee 0,robert,042111203,165334,Clark University
Robert Stevenish II 2,X 0 0 0,Trustee 0,robert,042111203,165334,Clark University
Theresa Strempek 2,X 0 0 0,Trustee 0,theresa,042111203,165334,Clark University
Steven Swain 2,X 0 0 0,Trustee 0,steven,042111203,165334,Clark University
Sumner Tilton 2,X 0 0 0,Trustee 0,sumner,042111203,165334,Clark University
Ronald Walter 2,X 0 0 0,Trustee 0,ronald,042111203,165334,Clark University
DaVId Angel 40,"X 310,478 0 68,762",Officer 0,david,042111203,165334,Clark University
Katherine Cannon 40,"X 122,027 0 16,667",Officer 0,katherine,042111203,165334,Clark University
Julie Dolan 40,"X 102,663 0 17,083",Officer 0,julie,042111203,165334,Clark University
John Foley 40,"X 146,030 0 37,606",Officer 0,john,042111203,165334,Clark University
DaVIs Baird 40,"X 225,467 0 22,343",Key Employee 0,davis,042111203,165334,Clark University
Nancy BudWIg 40,"X 165,288 0 32,154",Key Employee 0,nancy,042111203,165334,Clark University
James Collins 30,"X 165,415 0 70,459",Key Employee 0,james,042111203,165334,Clark University
Paula DaVId 40,"X 227,994 0 32,344",Key Employee 0,paula,042111203,165334,Clark University
William Fisher 40,"X 192,620 0 19,881",Key Employee 0,william,042111203,165334,Clark University
Donald Honeman 40,"X 171,890 0 17,739",Key Employee 0,donald,042111203,165334,Clark University
Andrew McGad ney 40,"X 290,617 0 27,423",Key Employee 0,andrew,042111203,165334,Clark University
Andrea Michaels 40,"X 155,014 0 34,418",Key Employee 0,andrea,042111203,165334,Clark University
Pennie Turgeon 40,"X 169,491 0 56,631",Key Employee 0,pennie,042111203,165334,Clark University
Deborah Dwork 40,"X 188,137 0 18,719",Faculty 0,deborah,042111203,165334,Clark University
Ronald Eastman 40,"X 173,155 0 38,020",Faculty 0,ronald,042111203,165334,Clark University
James Gomes 40,"X 160,309 0 58,568",Director of Mosakowski Institute 0,james,042111203,165334,Clark University
Director of Mosakowski Institute 0,Robert Johnston 40,"X 179,212 0 35,682",mosakowski,042111203,165334,Clark University
Robert Johnston 40,"X 179,212 0 35,682",Faculty 0,robert,042111203,165334,Clark University
