line1,line2,line3,key,fein,unitid,institutionname
(1) DANA C ROWAN 1 00,X X 0 0 0,VICE CHAIR,dana,042271070,164872,Boston Architectural College
(2) ROBERT ABROWN AIA IIDA 1 00,X 0 0 0,ELECTED TRUSTEE,robert,042271070,164872,Boston Architectural College
(3) CATHY EDGERLY 1 00,X 0 0 0,ELECTED TRUSTEE,cathy,042271070,164872,Boston Architectural College
(4) STEPHEN BELL AIA 1 00,X 0 0 0,ELECTED TRUSTEE,stephen,042271070,164872,Boston Architectural College
(5) CHRISTINE ARAUJO 1 00,X 0 0 0,ELECTED TRUSTEE,christine,042271070,164872,Boston Architectural College
(6) JAY PHILOMENA IIDA 1 00,X 0 0 0,ELECTED TRUSTEE,jay,042271070,164872,Boston Architectural College
(7) CAROLE C WEDGE FAIA LEED AP 1 00,X 0 0 0,ELECTED TRUSTEE,carole,042271070,164872,Boston Architectural College
(8) RICHARD FITZGERALD 1 00,X 0 0 0,ELECTED TRUSTEE,richard,042271070,164872,Boston Architectural College
(9) ARTHUR HURLEY III 1 00,X 0 0 0,ELECTED TRUSTEE,arthur,042271070,164872,Boston Architectural College
(10) PETER GAINES CLU CHFC CRPC 1 00,X 0 0 0,ELECTED TRUSTEE,peter,042271070,164872,Boston Architectural College
(11) NEAL B GLICK ESQ 1 00,X 0 0 0,ELECTED TRUSTEE,neal,042271070,164872,Boston Architectural College
(12) STEVEN F MCDONALD 1 00,X 0 0 0,ELECTED TRUSTEE,steven,042271070,164872,Boston Architectural College
(13) MICHAEL G MORRIS ESQ 1 00,X 0 0 0,ELECTED TRUSTEE,michael,042271070,164872,Boston Architectural College
(14) CYNTHIA W SMITH FASLA CLARB 1 00,X 0 0 0,ELECTED TRUSTEE,smith,042271070,164872,Boston Architectural College
(15) BARBARA SMITH—BACON 1 00,X 0 0 0,ELECTED TRUSTEE,barbara,042271070,164872,Boston Architectural College
(16) RICHARD] SNYDER 1 00,X 0 0 0,ELECTED TRUSTEE,snyder,042271070,164872,Boston Architectural College
(17) RICHARD LMARTINI AIA 1 00,X 0 0 0,ELECTED TRUSTEE,richard,042271070,164872,Boston Architectural College
(18) CHADJ DAGRACA CPA 1 00,X X 0 0 0,BOARD TREASURER,dagraca,042271070,164872,Boston Architectural College
(19) WILLIAM L PARKER ESQ 1 00,X X 0 0 0,BOARD SECRETARY,william,042271070,164872,Boston Architectural College
(20) MARC W PELLETIER 1 00,X X 0 0 0,BOARD CHAIR,marc,042271070,164872,Boston Architectural College
(21) KATHLEEN C ROOD 40 00,"X 123,684 0 18,879",VP FINANCE & ADMININISTRATION,kathleen,042271070,164872,Boston Architectural College
(22) DR THEODORE C LANDSMARK ME 40 00,"X 227,541 0 10,443",PRESIDENT,theodore,042271070,164872,Boston Architectural College
(24) KAREN MUNCASTER 40 00,"X 151,091 0 598",VP OF PROFESSIONAL & CONTINUING EDU,karen,042271070,164872,Boston Architectural College
VP OF PROFESSIONAL & CONTINUING EDU,(25) CRANDON GUSTAFSON 40 00,"X 116,408 0 18,757",edu,042271070,164872,Boston Architectural College
(25) CRANDON GUSTAFSON 40 00,"X 116,408 0 18,757","HEAD, SCHOOL OF DESIGN STUDIES",gustafson,042271070,164872,Boston Architectural College
(26) LEN CHARNEY 40 00,"X 102,752 0 27,766","HEAD, PRACTICE DEPARTMENT",len,042271070,164872,Boston Architectural College
(27) STEVEN OGAWA 40 00,"x 104,592 0 1,248","HEAD, 1T OPERATIONS",steven,042271070,164872,Boston Architectural College
(28) DIANA RAMIREZ—JASSO 40 00,"X 118,282 0 498","DEAN, GRADUATE STUDIES",diana,042271070,164872,Boston Architectural College
(29) JAMES T DUNN 40 00,"X 170,364 0 17,860",FORMER EXECUTIVE VP,james,042271070,164872,Boston Architectural College
"VALLEYCREST LANDSCAPE DEVELOPERS 17 ELECTRIC AVE BRIGHTON MA 02135 CONSTRUCTION 747,306","COMMODORE BUILDERS 8O BRIDGE ST NEWTON MA 02458 CONSTRUCTION 548,054","LONGWOOD SECURITY NEWBURY ST BOSTON MA 02115 SECURITY 248,102",ave,042271070,164872,Boston Architectural College
"COMMODORE BUILDERS 8O BRIDGE ST NEWTON MA 02458 CONSTRUCTION 548,054","LONGWOOD SECURITY NEWBURY ST BOSTON MA 02115 SECURITY 248,102","CLEARY ELEVATOR 47 INTERVALE STREET QUINCY MA 02169 CONSTRUCTION 199,236",commodore,042271070,164872,Boston Architectural College
"LONGWOOD SECURITY NEWBURY ST BOSTON MA 02115 SECURITY 248,102","CLEARY ELEVATOR 47 INTERVALE STREET QUINCY MA 02169 CONSTRUCTION 199,236","SELBERT PERKINS DESIGN 5 WATER STREET ARLINGTON MA 02476 DESIGN 172,139",newbury,042271070,164872,Boston Architectural College
