line1,line2,line3,key,fein,unitid,institutionname
(1) JOAN BARRY—HYDE 1 00,X 0 0 0,TRUSTEE,joan,042452884,167251,Newbury College
(2) JAMES DAVIS 1 00,X 0 0 0,TRUSTEE,james,042452884,167251,Newbury College
(3) DANIEL DONAHUE 1 00,X 0 0 0,TRUSTEE,daniel,042452884,167251,Newbury College
(4) ROGER E GORDON ESQ 1 00,X 0 0 0,TRUSTEE,roger,042452884,167251,Newbury College
(5) DIANE GORDON 1 00,X 0 0 0,TRUSTEE,diane,042452884,167251,Newbury College
(6) KAY H HODGE ESQ 1 00,X 0 0 0,TRUSTEE,kay,042452884,167251,Newbury College
(7) NORMAN LEVENSON 1 00,X 0 0 0,TRUSTEE,norman,042452884,167251,Newbury College
(8) JANE LUNDQUIST 1 00,X 0 0 0,TRUSTEE,jane,042452884,167251,Newbury College
(9) DR] KEITH MOTLEY 1 00,X 0 0 0,TRUSTEE,keith,042452884,167251,Newbury College
(10) EMILY STAVIS 2 00,X 0 0 0,TRUSTEE,emily,042452884,167251,Newbury College
(11) LAURIEJ WATSON 1 00,X 0 0 0,TRUSTEE,watson,042452884,167251,Newbury College
(12) MARGARET WINSLOW 1 00,X 0 0 0,TRUSTEE,margaret,042452884,167251,Newbury College
(13) LAWRENCE E KAPLAN 1 00,X 0 0 0,CHAIRMAN/TRUSTEE,lawrence,042452884,167251,Newbury College
(14) JOYCE HANLON 37 50,"x 154,270 0 6,283",VICE PRESIDENT OF FINANCE,joyce,042452884,167251,Newbury College
(15) JOSEPH CHILLO 37 50,"x 150,150 0 4,745","VP OF ENROLLMENT, PRESIDENT",joseph,042452884,167251,Newbury College
(16) CLARE MCCULLY 37 50,"X 126,150 0 10,312",VICE PRESIDENT OF DEVELOPMENT,clare,042452884,167251,Newbury College
(17) PAUL MARTIN 37 50,"x 100,450 0 9,579",VICE PRESIDENT OF ADMINISTRATION,paul,042452884,167251,Newbury College
(18) HANNAH M MCCARTHY 37 50,"x 293,308 21,137",PRESIDENT (7/1/13 — 5/31/14),hannah,042452884,167251,Newbury College
"B AND B LODGING HOUSES LLC 48 NORTH BEACON STREET ALLSTON MA 02134 STUDENT HOUSING 1,063,534","LONGWOOD SECURITY SERVICES 429 NEWBURY STREET BOSTON MA 02115 SECURITY 821,234","FIREBIRD BUILDERS LLC 27 STANDISH STREET DUXBURY MA 02332 CONSTRUCTION 310,920",allston,042452884,167251,Newbury College
