line1,line2,line3,key,fein,unitid,institutionname
MICHAEL E FISHER 2 0,X 0 0 0,CHAIR OF THE BOARD 0 0,michael,050258810,217165,Bryant University
WILLIAM J CONATY 2 0,X 0 0 0,VICE—CHAIR OF THE BOARD 0 0,william,050258810,217165,Bryant University
NANCY DEVINEY 2 0,X 0 0 0,VICE—CHAIR OF THE BOARD 0 0,nancy,050258810,217165,Bryant University
CHERYLW SNEAD 2 0,X 0 0 0,VICE—CHAIR OF THE BOARD 0 0,snead,050258810,217165,Bryant University
TRICIA M KORDALSKI 2 0,X 0 0 0,SECRETARY TO THE BOARD 0 0,tricia,050258810,217165,Bryant University
CRISTIAN BALESTRIERI 2 0,X 0 0 0,TRUSTEE 0 0,cristian,050258810,217165,Bryant University
DAVID M BEIRNE 2 0,X 0 0 0,TRUSTEE 0 0,david,050258810,217165,Bryant University
GEORGE E BELLO 2 0,X 0 0 0,TRUSTEE 0 0,george,050258810,217165,Bryant University
CHRISTOPHER W BODINE 2 0,X 0 0 0,TRUSTEE 0 0,christopher,050258810,217165,Bryant University
ROBERT P BROWN 2 0,X 0 0 0,TRUSTEE 0 0,robert,050258810,217165,Bryant University
ROBERT J CALABRO 2 0,X 0 0 0,TRUSTEE 0 0,robert,050258810,217165,Bryant University
RICHARD A CAPOBIANCO 2 0,X 0 0 0,TRUSTEE 0 0,richard,050258810,217165,Bryant University
TODD G CAREY 2 0,X 0 0 0,TRUSTEE 0 0,todd,050258810,217165,Bryant University
LISA G CHURCHVILLE 2 0,X 0 0 0,TRUSTEE 0 0,lisa,050258810,217165,Bryant University
KATIE COLTON 2 0,X 0 0 0,TRUSTEE 0 0,katie,050258810,217165,Bryant University
RAQUEL CORDEIRO 2 0,X 0 0 0,TRUSTEE 0 0,raquel,050258810,217165,Bryant University
C CORRELL DURLING 2 0,X 0 0 0,TRUSTEE 0 0,correll,050258810,217165,Bryant University
SAMEER KANODIA 2 0,X 0 0 0,TRUSTEE 0 0,sameer,050258810,217165,Bryant University
DOUGLAS 5 KRUPP 2 0,X 0 0 0,TRUSTEE 0 0,douglas,050258810,217165,Bryant University
F KURT LAST 2 0,X 0 0 0,TRUSTEE 0 0,kurt,050258810,217165,Bryant University
JOANNA T LAU 2 0,X 0 0 0,TRUSTEE 0 0,joanna,050258810,217165,Bryant University
DEBORAH MAY 2 0,X 0 0 0,TRUSTEE 0 0,deborah,050258810,217165,Bryant University
CHARLES MCDONALD MD 2 0,X 0 0 0,TRUSTEE 0 0,charles,050258810,217165,Bryant University
ROBERT P MEAD 2 0,X 0 0 0,TRUSTEE 0 0,robert,050258810,217165,Bryant University
CHERYL MERCHANT 2 0,X 0 0 0,TRUSTEE 0 0,cheryl,050258810,217165,Bryant University
KRISTIAN P MOOR 2 0,X 0 0 0,TRUSTEE 0 0,kristian,050258810,217165,Bryant University
PATRICIA O'BRIEN 2 0,X 0 0 0,TRUSTEE 0 0,patricia,050258810,217165,Bryant University
DONALD R QUATI'RUCCI 2 0,X 0 0 0,TRUSTEE 0 0,donald,050258810,217165,Bryant University
DANIEL F SCHMITT 2 0,X 0 0 0,TRUSTEE 0 0,daniel,050258810,217165,Bryant University
JAMES] SKEFFINGTON 2 0,X 0 0 0,TRUSTEE 0 0,skeffington,050258810,217165,Bryant University
M ANNE SZOSTAK 2 0,X 0 0 0,TRUSTEE 0 0,anne,050258810,217165,Bryant University
GEORGE A VECCHIONE 2 0,X 0 0 0,TRUSTEE 0 0,george,050258810,217165,Bryant University
DAVID C WEINSTEIN 2 0,X 0 0 0,TRUSTEE 0 0,david,050258810,217165,Bryant University
RONALD K MACHTLEY 50 0,"X X 703,444 0 120,926",PRESIDENT 0 0,ronald,050258810,217165,Bryant University
BARRY F MORRISON 50 0,"X 347,868 0 67,775",VP—BUSINESS AFFAIRS/TREASURER 0 0,barry,050258810,217165,Bryant University
JOSE—MARIE GRIFFITHS 50 0,"X 296,773 0 95,196",VP—ACADEMIC AFFAIRS 0 0,griffiths,050258810,217165,Bryant University
CHARLES F LOCURTO 50 0,"X 294,187 0 21,026",VP—INFORMATION SERVICES/C10 0 0,charles,050258810,217165,Bryant University
JAMES L DAMRON 50 0,"X 262,194 0 58,774",VP — UNIVERSITY ADVANCEMENT 0 0,james,050258810,217165,Bryant University
