line1,line2,line3,key,fein,unitid,institutionname
LILY BENTAS 1 00,X 0 0 0,TRUSTEE,lily,050259080,217536,Salve Regina University
NORMAN BERETI'A 1 00,X 0 0 0,TRUSTEE,norman,050259080,217536,Salve Regina University
FREDERICK BUTLER 1 00,X 0 0 0,TRUSTEE,frederick,050259080,217536,Salve Regina University
LINDORA CABRAL RSM 1 00,X 0 0 0,TRUSTEE,cabral,050259080,217536,Salve Regina University
PETER CROWLEY 1 00,X 0 0 0,TRUSTEE,peter,050259080,217536,Salve Regina University
MARY ANN DILLON RSM 1 00,X 0 0 0,TRUSTEE,mary,050259080,217536,Salve Regina University
JOSEPH DISTEFANO 1 00,X 0 0 0,TRUSTEE,joseph,050259080,217536,Salve Regina University
CHRISTOPHER CARNEY 1 00,X 0 0 0,TRUSTEE,christopher,050259080,217536,Salve Regina University
CHRISTINE KAVANAGH RSM 1 00,X 0 0 0,TRUSTEE,christine,050259080,217536,Salve Regina University
VICTORIA ALM EIDA 1 00,X 0 0 0,TRUSTEE,victoria,050259080,217536,Salve Regina University
MARIE LANGLOIS 1 00,X X 0 0 0,"TRUSTEE, VICE CHAIR",marie,050259080,217536,Salve Regina University
GLORIA LINCOURT 1 00,X 0 0 0,TRUSTEE,gloria,050259080,217536,Salve Regina University
MICHAEL MCMAHON 1 00,X 0 0 0,TRUSTEE,michael,050259080,217536,Salve Regina University
CHERYL MROZOWSKI 1 00,X 0 0 0,TRUSTEE,cheryl,050259080,217536,Salve Regina University
MARYPATRICIA MURPHY RSM 1 00,X X 0 0 0,"TRUSTEE, SECRETARY/TREASURER",marypatricia,050259080,217536,Salve Regina University
DAVID NELSON 1 00,X 0 0 0,TRUSTEE,david,050259080,217536,Salve Regina University
J TIMOTHY O'REILLY 1 00,X 0 0 0,TRUSTEE,timothy,050259080,217536,Salve Regina University
NUALA PELL 1 00,X 0 0 0,TRUSTEE,nuala,050259080,217536,Salve Regina University
JOHN CONEYS 1 00,X 0 0 0,TRUSTEE,john,050259080,217536,Salve Regina University
ELLIOT MAXWELL 1 00,X 0 0 0,TRUSTEE,elliot,050259080,217536,Salve Regina University
JAMES SALOME 1 00,X 0 0 0,TRUSTEE,james,050259080,217536,Salve Regina University
DEBORAH SMITH 1 00,X 0 0 0,TRUSTEE,deborah,050259080,217536,Salve Regina University
DAVID BAZARSKY 1 00,X 0 0 0,TRUSTEE,david,050259080,217536,Salve Regina University
HOWARD SUTTON 1 00,X 0 0 0,TRUSTEE,howard,050259080,217536,Salve Regina University
KENNETH WALKER 1 00,X 0 0 0,TRUSTEE,kenneth,050259080,217536,Salve Regina University
DAVID WALLACE 1 00,X 0 0 0,TRUSTEE,david,050259080,217536,Salve Regina University
TESA VAN MUNCHING 1 00,X 0 0 0,TRUSTEE,van,050259080,217536,Salve Regina University
GEORGE CARNEY 1 00,X 0 0 0,TRUSTEE,george,050259080,217536,Salve Regina University
ROBERT MORAN JR 1 00,X 0 0 0,TRUSTEE,robert,050259080,217536,Salve Regina University
MICHAEL STAFF 1 00,X 0 0 0,TRUSTEE,michael,050259080,217536,Salve Regina University
JANET ROBINSON 1 00,X X 0 0 0,"TRUSTEE, CHAIRPERSON",janet,050259080,217536,Salve Regina University
THOMAS RODGERS 1 00,X 0 0 0,TRUSTEE,thomas,050259080,217536,Salve Regina University
BISHOP THOMAS TOBIN 1 00,X 0 0 0,TRUSTEE,bishop,050259080,217536,Salve Regina University
JANE GERETY RSM 40 00,"X X 0 0 234,983",PRESIDENT,jane,050259080,217536,Salve Regina University
CONFERENCE FOR MERCY HIGHER EDUCATI 1 00,X 0 0 0,TRUSTEE,mercy,050259080,217536,Salve Regina University
WILLIAM HALL 40 00,"X 243,877 0 55,313",VP ADMINISTRATION/CFO,william,050259080,217536,Salve Regina University
M THERESE ANTONE RSM 40 00,"X 0 0 49,545",CHANCELLOR,therese,050259080,217536,Salve Regina University
DEAN DE LA MOTI'E 40 00,"X 199,860 0 35,618",PROVOST,la,050259080,217536,Salve Regina University
MICHAEL SEMENZA 40 00,"X 183,003 0 34,265",VP UNIVERSITY RELATIONS/ADVANCEMENT,michael,050259080,217536,Salve Regina University
LAURA MCPHIE OLIVEIRA 40 00,"X 275,550 0 14,878",VP ENROLLMENT SERVICES,laura,050259080,217536,Salve Regina University
MICHAEL N GRANDCHAMP 40 00,"X 139,160 0 63,330",AVP FINANCE/CONTROLLER,michael,050259080,217536,Salve Regina University
THOMAS BRENNAN 40 00,"X 135,807 0 24,992",AVP TECHNOLOGY/C10,thomas,050259080,217536,Salve Regina University
MARGARET HIGGINS 40 00,"X 150,835 0 18,630",VP OF STUDENT DEVELOPMENT,margaret,050259080,217536,Salve Regina University
