line1,line2,line3,key,fein,unitid,institutionname
Nancy A Altobello 2 00,X 0 0,Trustee,nancy,060646623,129242,Fairfield University
Ceasar N AanIllare 1 00,X 0 0,Trustee,ceasar,060646623,129242,Fairfield University
William LAtwell 2 00,X 0 0,Trustee,william,060646623,129242,Fairfield University
Rev John F Baldovm SJ 1 00,X 0 0,Trustee,john,060646623,129242,Fairfield University
Rev Terrence A Baum SJ 2 00,X 0 0,Trustee,terrence,060646623,129242,Fairfield University
Joseph R Bronson 1 00,X 0 0,Trustee,joseph,060646623,129242,Fairfield University
KeVIn P Cannon 1 00,X 0 0,Trustee,kevin,060646623,129242,Fairfield University
Carlos M Cardoso 1 00,X 0 0,Trustee,carlos,060646623,129242,Fairfield University
Frank] Carroll III 2 00,X 0 0,Trustee,carroll,060646623,129242,Fairfield University
KeVIn M Conlisk 1 00,X 0 0,Trustee,kevin,060646623,129242,Fairfield University
Timothy J Conway 1 00,X 0 0,Trustee,timothy,060646623,129242,Fairfield University
William C Crager 1 00,X 0 0,Trustee,william,060646623,129242,Fairfield University
Sheila Kearney DaVIdson 2 00,X 0 0,Trustee,sheila,060646623,129242,Fairfield University
Thomas A Franko 1 00,X 0 0,Trustee,thomas,060646623,129242,Fairfield University
PeterJ Gillen 1 00,X 0 0,Trustee,gillen,060646623,129242,Fairfield University
PatrICIa E Glassford 2 00,X 0 0,Trustee,patricia,060646623,129242,Fairfield University
Kelly Simon Hondru 1 00,X 0 0,Trustee,kelly,060646623,129242,Fairfield University
Brian P Hull 2 00,X 0 0,Trustee,brian,060646623,129242,Fairfield University
Paul] Huston 1 00,X 0 0,Trustee,huston,060646623,129242,Fairfield University
Robin Kanarek 1 00,X 0 0,Trustee,robin,060646623,129242,Fairfield University
Susan Robinson King 1 00,X 0 0,Trustee,susan,060646623,129242,Fairfield University
Katherine N Lapp 2 00,X 0 0,Trustee,katherine,060646623,129242,Fairfield University
Stephen M Lessmg 1 00,X 0 0,Trustee,stephen,060646623,129242,Fairfield University
Bill McIntosh 1 00,X 0 0,Trustee,bill,060646623,129242,Fairfield University
Andrew J McMahon 1 00,X 0 0,Trustee,andrew,060646623,129242,Fairfield University
John C Meditz 1 00,X 0 0 0,Trustee,john,060646623,129242,Fairfield University
Elner L Morrell 1 00,X 0 0 0,Trustee,morrell,060646623,129242,Fairfield University
Most Rev George V Murry SJ 1 00,X 0 0 0,Trustee,most,060646623,129242,Fairfield University
GaVIn G O'Connor 1 00,X 0 0 0,Trustee,gavin,060646623,129242,Fairfield University
BiffJ O'Reilly 2 00,X 0 0 0,Trustee,o'reilly,060646623,129242,Fairfield University
Rev Stephen A Privett SJ 2 00,X 0 0 0,Trustee,stephen,060646623,129242,Fairfield University
Christopher C chk 1 00,X 0 0 0,Trustee,christopher,060646623,129242,Fairfield University
Rosellen W Schnurr 1 00,X 0 0 0,Trustee,schnurr,060646623,129242,Fairfield University
Marianne Dolan Weber 1 00,X 0 0 0,Trustee,marianne,060646623,129242,Fairfield University
James D Wehr 1 00,X 0 0 0,Trustee,james,060646623,129242,Fairfield University
Rev Jeffrey P von Arx SJ 45 00,"X 300,000 0 79,400",Pre5ident and Trustee,jeffrey,060646623,129242,Fairfield University
Mark C Reed 45 00,"X 261,176 0 53,978",Secretary,mark,060646623,129242,Fairfield University
Julie Dolan 45 00,"X 162,298 0 39,600",Former Treasurer,julie,060646623,129242,Fairfield University
Michael Trafecante 45 00,X 0 0 0,Treasurer (Effective May 2014),michael,060646623,129242,Fairfield University
Rev PauIJ Fitzgerald SJ 45 00,"X 224,922 0 46,054",Senior Vice Pre5ident,fitzgerald,060646623,129242,Fairfield University
Dr Robbin D Crabtree 45 00,"X 194,961 0 36,086","Dean, College of Arts & SCIences",robbin,060646623,129242,Fairfield University
Dr Donald E Gibson 45 00,"X 170,712 0 43,275","Dean, School of Busmess",donald,060646623,129242,Fairfield University
Dr Thomas C Pelleg rino 45 00,"X 174,389 0 50,606",Vice Pre5ident,thomas,060646623,129242,Fairfield University
Dr Lynn M Babington 45 00,"X 180,752 0 43,100","Dean, School of Nursmg",lynn,060646623,129242,Fairfield University
Evelyn P FranCIs 45 00,"X 185,187 0 46,935",Chief Information Officer,evelyn,060646623,129242,Fairfield University
Sydney A Johnson 45 00,"X 482,073 0 20,400",Head Coach—Men's Basketball,sydney,060646623,129242,Fairfield University
Dr Gregory P Koutmos 45 00,"X 185,832 0 51,032",Professor of Finance,gregory,060646623,129242,Fairfield University
Joseph P Frager 45 00,"X 184,212 0 50,379",Head Coach—Womens Basketball,joseph,060646623,129242,Fairfield University
Stephanie B Frost 45 00,"X 181,131 0 41,357",Former Vice Pre5ident,stephanie,060646623,129242,Fairfield University
