line1,line2,line3,key,fein,unitid,institutionname
Richard P Howard 5,X 0 0 0,Chairman 0,richard,060646701,130226,Quinnipiac University
Barbara M Beever 2,X 0 0 0,Secretary 0,barbara,060646701,130226,Quinnipiac University
Carlton L Highsmith 2,X 0 0 0,Vice Chairman 0,carlton,060646701,130226,Quinnipiac University
DaVId R Nelson 2,X 0 0 0,Vice Chairman 0,david,060646701,130226,Quinnipiac University
William C Weldon 2,X 0 0 0,Vice Chairman 0,william,060646701,130226,Quinnipiac University
John C Abella 2,X 0 0 0,Board Member 0,john,060646701,130226,Quinnipiac University
Alexander AleXIades 2,X 0 0 0,Board Member 0,alexander,060646701,130226,Quinnipiac University
John R Antonino 2,X 0 0 0,Board Member 0,john,060646701,130226,Quinnipiac University
William LAyers Jr 2,X 0 0 0,Board Member 0,william,060646701,130226,Quinnipiac University
Patrick Baumgarten 2,X 0 0 0,Board Member 0,patrick,060646701,130226,Quinnipiac University
Donald P Calcagnini 2,X 0 0 0,Board Member 0,donald,060646701,130226,Quinnipiac University
Albert A Canosa 2,X 0 0 0,Board Member 0,albert,060646701,130226,Quinnipiac University
Debbie Casanova 2,X 0 0 0,Board Member 0,debbie,060646701,130226,Quinnipiac University
William EUIlle 2,X 0 0 0,Board Member 0,william,060646701,130226,Quinnipiac University
Tariq Farid 2,X 0 0 0,Board Member 0,tariq,060646701,130226,Quinnipiac University
Patricia Farrell 2,X 0 0 0,Board Member 0,patricia,060646701,130226,Quinnipiac University
Gabriel Ferrucci 2,X 0 0 0,Board Member 0,gabriel,060646701,130226,Quinnipiac University
Dennis P Flanagan 2,X 0 0 0,Board Member 0,dennis,060646701,130226,Quinnipiac University
Terry W Goodwm 2,X 0 0 0,Board Member 0,terry,060646701,130226,Quinnipiac University
Hugh F Keefe Esq 2,X 0 0 0,Board Member 0,hugh,060646701,130226,Quinnipiac University
MS Koly 2,X 0 0 0,Board Member 0,koly,060646701,130226,Quinnipiac University
Marcus R McCraven 2,X 0 0 0,Board Member 0,marcus,060646701,130226,Quinnipiac University
Paula A Moynahan MD 2,X 0 0 0,Board Member 0,paula,060646701,130226,Quinnipiac University
Kenneth Neilson 2,X 0 0 0,Board Member 0,kenneth,060646701,130226,Quinnipiac University
Marybeth Noonan 2,X 0 0 0,Board Member 0,marybeth,060646701,130226,Quinnipiac University
William T Platt Jr 2,X 0 0 0,Board Member 0,william,060646701,130226,Quinnipiac University
Arthur Rice Esq 2,X 0 0 0,Board Member 0,arthur,060646701,130226,Quinnipiac University
Christian Sauska Sr 2,X 0 0 0,Board Member 0,christian,060646701,130226,Quinnipiac University
Richard Silver Esq 2,X 0 0 0,Board Member 0,richard,060646701,130226,Quinnipiac University
Eugene R Singer 2,X 0 0 0,Board Member 0,eugene,060646701,130226,Quinnipiac University
Brian E Spears 2,X 0 0 0,Board Member 0,brian,060646701,130226,Quinnipiac University
Mark Standish 2,X 0 0 0,Board Member 0,mark,060646701,130226,Quinnipiac University
Jennifer Torey 2,X 0 0 0,Board Member 0,jennifer,060646701,130226,Quinnipiac University
John Lahey 32,"X X 984,399 246,100 43,780",PreSIdent 8,john,060646701,130226,Quinnipiac University
Patrick Healy 32,"x 455,354 113,839 43,798",Senior Vice PreSIdent for Finance 8,patrick,060646701,130226,Quinnipiac University
Mark Thompson 32,"x 469,180 117,295 44,652",Executive Vice PreSIdent & Provost 8,mark,060646701,130226,Quinnipiac University
Bruce Koepen 40,"X 452,542 0 21,171",Dean of the School of Medicine 0,bruce,060646701,130226,Quinnipiac University
Thomas Moore 40,"X 447,757 0 51,127",Men's Basketball Coach 0,thomas,060646701,130226,Quinnipiac University
Donald Weinbach 40,"x 440,247 0 44,652",Vice PreSIdent for Development & Alumni Affairs 0,donald,060646701,130226,Quinnipiac University
Joan Isaac Mohr 40,"X 388,420 0 43,800",Vice PreSIdent for Admi55ions and Financial Aid 0,joan,060646701,130226,Quinnipiac University
