line1,line2,line3,key,fein,unitid,institutionname
ARTHUR E LANDI 1 00,X 0 0 0,TRUSTEE,arthur,060646936,128744,University of Bridgeport
GORDON LANDERSON PHD 1 00,X X 0 0 0,SECRETARY,gordon,060646936,128744,University of Bridgeport
ROBERT L BERCHEM ESQ 1 00,X 0 0 0,TRUSTEE,robert,060646936,128744,University of Bridgeport
ABRAHAM IGORDON ESQ 1 00,X 0 0 0,TRUSTEE,abraham,060646936,128744,University of Bridgeport
ROBERTJ MATRISCIANO 1 00,X 0 0 0,TRUSTEE DATE OF DEATH 10/5/13,matrisciano,060646936,128744,University of Bridgeport
PHILLIP V SANCHEZ 1 00,X 0 0 0,TRUSTEE,phillip,060646936,128744,University of Bridgeport
S GEORGE SANTA 1 00,X 0 0 0,TRUSTEE,george,060646936,128744,University of Bridgeport
MARK A FRIES 1 00,X X 0 0 0,CO—VICE CHAIR,mark,060646936,128744,University of Bridgeport
ERNEST C TREFZ 1 00,X 0 0 0,TRUSTEE,ernest,060646936,128744,University of Bridgeport
MARTIN F WOLF ESQ 1 00,X 0 0 0,TRUSTEE,martin,060646936,128744,University of Bridgeport
FRANK N ZULLO ESQ 1 00,X X 0 0 0,CO—CHAIR,frank,060646936,128744,University of Bridgeport
CHANG SHIK YANG DM 1 00,X 0 0 0,TRUSTEE,chang,060646936,128744,University of Bridgeport
NICHOLAS A PANUZIO 1 00,X 0 0 0,TRUSTEE,nicholas,060646936,128744,University of Bridgeport
JOSEPH VI ORIA 1 00,X 0 0 0,TRUSTEE,joseph,060646936,128744,University of Bridgeport
DOUGLAS DM JOO 1 00,X X 0 0 0,CO—CHAIR,douglas,060646936,128744,University of Bridgeport
FRANK IGROW III 1 00,X 0 0 0,TRUSTEE,frank,060646936,128744,University of Bridgeport
PHILLIP G SOAIVAN 1 00,X 0 0 0,TRUSTEE,phillip,060646936,128744,University of Bridgeport
PIERRE TARDY 1 00,X 0 0 0,TRUSTEE,pierre,060646936,128744,University of Bridgeport
MRS HENRY B DUPONT III 1 00,X 0 0 0,TRUSTEE,henry,060646936,128744,University of Bridgeport
NICHOLAS N KI'ITRIE SJD 1 00,X 0 0 0,TRUSTEE,nicholas,060646936,128744,University of Bridgeport
NORGE W JEROME PHD 1 00,X X 0 0 0,CO—VICE CHAIR,jerome,060646936,128744,University of Bridgeport
PAUL ANTINOZZI 1 00,X 0 0 0,TRUSTEE,paul,060646936,128744,University of Bridgeport
THE HONORABLE MARJORIE BUESSING 1 00,X 0 0 0,TRUSTEE,marjorie,060646936,128744,University of Bridgeport
DAVID D'ADDARIO 1 00,X 0 0 0,TRUSTEE,david,060646936,128744,University of Bridgeport
THOMAS O'HARA 1 00,X 0 0 0,TRUSTEE,thomas,060646936,128744,University of Bridgeport
SARA TOWE HORSFALL 1 00,X 0 0 0,TRUSTEE,sara,060646936,128744,University of Bridgeport
BARBARA A JAMES 1 00,X 0 0 0,TRUSTEE,barbara,060646936,128744,University of Bridgeport
ARNOLD H LENA 1 00,X 0 0 0,TRUSTEE,arnold,060646936,128744,University of Bridgeport
CAROL RITTNER 1 00,X 0 0 0,TRUSTEE,carol,060646936,128744,University of Bridgeport
LOUISE SANDBERG 1 00,X 0 0 0,TRUSTEE,louise,060646936,128744,University of Bridgeport
LAMBERT C SHELL SR 1 00,X 0 0 0,TRUSTEE,lambert,060646936,128744,University of Bridgeport
KATHERINE J WOJCIK 1 00,X 0 0 0,TRUSTEE,katherine,060646936,128744,University of Bridgeport
NEIL A SALONEN 35 00,"x 1,038,915 0 27,032",PRESIDENT,neil,060646936,128744,University of Bridgeport
MICHAEL D BROMLEYESQ GENERAL 35 00,"X 219,801 0 10,820",COUNSEL DATE OF DEATH 10/10/13,michael,060646936,128744,University of Bridgeport
SUSAN D WILLIAMS PHD 35 00,"X 210,787 0 14,667",VP ADMIN/FIN,susan,060646936,128744,University of Bridgeport
HANS VAN DER GIESSEN 35 00,"X 175,196 0 17,134",PROVOST,hans,060646936,128744,University of Bridgeport
CAROLYN R LINSEY 35 00,X 0 0 0,ASSISTANT SECRETARY,carolyn,060646936,128744,University of Bridgeport
TAREK M SOBH 35 00,"X 345,936 0 59,072",VP GRAD STUDIES & RESEARCH,tarek,060646936,128744,University of Bridgeport
MARY JANE FOSTER 35 00,"X 156,806 0 11,016",VP UNIVERSITY RELATIONS,mary,060646936,128744,University of Bridgeport
ALLEN COOK 35 00,"X 150,189 0 14,980",DEAN EDUC & HR,allen,060646936,128744,University of Bridgeport
LLOYD GIBSON 35 00,"X 170,032 0 23,856",DEAN SCHOOL OF BUSINESS,lloyd,060646936,128744,University of Bridgeport
DANIEL CERVONKA 35 00,"X 146,107 0 18,136","PROG DIR, PA PROGRAM",daniel,060646936,128744,University of Bridgeport
DAVID BRADY 35 00,"X 143,394 0 26,031",VP HLTH SCI & DIR,david,060646936,128744,University of Bridgeport
STEPHEN HEALEY 35 00,"x 142,535 0 9,822",ASSOCIATE PROVOST,stephen,060646936,128744,University of Bridgeport
SANDEEP MANNAVA 35 00,"X 145,340 0 25,347",SENIOR DATATEL ANALYST,sandeep,060646936,128744,University of Bridgeport
THOMAS WARD 35 00,"X 142,419 0 22,635",VP INT'L & DEAN INT'L COLL,thomas,060646936,128744,University of Bridgeport
