line1,line2,line3,key,fein,unitid,institutionname
PATRICIA ANTON 1 15,X 0 0 0,TRUSTEE,patricia,060653264,190503,Culinary Institute of America
RAYMOND BICKSON TERM BEGINS 10—2013 1 15,X 0 0 0,TRUSTEE,raymond,060653264,190503,Culinary Institute of America
ELIZABETH BLAU 1 15,X 0 0 0,TRUSTEE,elizabeth,060653264,190503,Culinary Institute of America
RALPH BRENNAN 1 15,X 0 0 0,TRUSTEE,ralph,060653264,190503,Culinary Institute of America
FRED CARLJR 1 15,X 0 0 0,TRUSTEE,fred,060653264,190503,Culinary Institute of America
CARLA COOPER 1 15,X 0 0 0,TRUSTEE,carla,060653264,190503,Culinary Institute of America
TIM CURCI 1 15,X 0 0 0,TRUSTEE,tim,060653264,190503,Culinary Institute of America
PATRICIA DAILEY 1 15,X 0 0 0,TRUSTEE,patricia,060653264,190503,Culinary Institute of America
LORI DANIEL 1 15,X 0 0 0,TRUSTEE,lori,060653264,190503,Culinary Institute of America
LORNA DONATONE 1 15,X 0 0 0,TRUSTEE,lorna,060653264,190503,Culinary Institute of America
FRANK J FAHRENKOPF JR 1 15,X 0 0 0,TRUSTEE,frank,060653264,190503,Culinary Institute of America
THOMAS KELLER 1 15,X 0 0 0,TRUSTEE,thomas,060653264,190503,Culinary Institute of America
RICHARD KESSLER TERM BEGINS 10—2013 1 15,X 0 0 0,TRUSTEE,richard,060653264,190503,Culinary Institute of America
TAKESHI KOHJIMA 1 15,X 0 0 0,TRUSTEE,takeshi,060653264,190503,Culinary Institute of America
JON LUTHER 1 15,X 0 0 0,VICE CHAIRMAN,jon,060653264,190503,Culinary Institute of America
ARTHUR MAXWELL 1 15,X 0 0 0,TRUSTEE,arthur,060653264,190503,Culinary Institute of America
RICHARD MAZER 1 15,X 0 0 0,TREASURER,richard,060653264,190503,Culinary Institute of America
CHARLES MERINOFF II 1 15,X 0 0 0,TRUSTEE,charles,060653264,190503,Culinary Institute of America
MICHAEL MINA TERM BEGINS 10—2013 1 15,X 0 0 0,TRUSTEE,michael,060653264,190503,Culinary Institute of America
ROBERT MUH 1 15,X 0 0 0,TRUSTEE,robert,060653264,190503,Culinary Institute of America
CHARLES PALMER 1 15,X 0 0 0,CHAIRMAN,charles,060653264,190503,Culinary Institute of America
HAROLD O ROSSER 1 15,X 0 0 0,TRUSTEE,harold,060653264,190503,Culinary Institute of America
RICHARD SANDOVAL 1 15,X 0 0 0,TRUSTEE,richard,060653264,190503,Culinary Institute of America
JOSEPH H WENDER 1 15,X 0 0 0,TRUSTEE,joseph,060653264,190503,Culinary Institute of America
ROY YAMAGUCHI 1 15,X 0 0 0,SECRETARY 0,roy,060653264,190503,Culinary Institute of America
MELINDA R RICH— TERM ENDS 10—2013 1 15,X 0 0 0,SECRETARY 0,melinda,060653264,190503,Culinary Institute of America
MICHAELS KAUFMAN TERM ENDS 10—2013 1 15,X 0 0 0,TRUSTEE 0,michaels,060653264,190503,Culinary Institute of America
MARTIN P SUTI'ER—TERM ENDS 10—2013 1 15,X X 0 0 0,TRUSTEE 0,martin,060653264,190503,Culinary Institute of America
LAWRENCE T RYAN 37 5,"X 819,669 0 184,120",PRESIDENT 0,lawrence,060653264,190503,Culinary Institute of America
MARK ERICKSON 37 5,"X 436,456 0 99,151",PROVOST 0,mark,060653264,190503,Culinary Institute of America
BRUCE HILLENBRAND 37 5,"X 377,252 0 93,329",VICE PRESIDENT—MARKETING AND STRATEGY 0,bruce,060653264,190503,Culinary Institute of America
RICHARD MIGNAULT 37 5,"X 340,974 0 85,411",VICE PRESIDENT—ADMIN & SHARED SERVICES 0,richard,060653264,190503,Culinary Institute of America
CHARLES A OMARA 37 5,"X 336,817 0 66,437",SENIOR VP —FINANCE & ADMIN 0,charles,060653264,190503,Culinary Institute of America
VICTOR GIELISSE 37 5,"X 232,730 0 72,572",VICE PRESIDENT—ADVANCEMENT/ BUS DEVELOPMENT 0,victor,060653264,190503,Culinary Institute of America
GREGORY DRESCHER 37 5,"X 226,729 0 72,472",VICE PRESIDENT—STRATEGIC INITIATIVES 0,gregory,060653264,190503,Culinary Institute of America
MICHAEL SPERLING 37 5,"X 228,058 0 62,653",VICE PRESIDENT—ACADEMIC AFFAIRS 0,michael,060653264,190503,Culinary Institute of America
THOMAS BENSEL 37 5,"X 218,445 0 30,504",MANAGING DIRECTOR OF GREYSTONE 0,thomas,060653264,190503,Culinary Institute of America
SUSAN CUSSEN 37 5,"X X 202,504 0 37,945",ASSOCIATE VP— BRANCH CAMPUSES 0,susan,060653264,190503,Culinary Institute of America
ASSOCIATE VP— BRANCH CAMPUSES 0,GENEVIEVE S FELDER 37 5,"X 336,799 0 47,365",branch,060653264,190503,Culinary Institute of America
GENEVIEVE S FELDER 37 5,"X 336,799 0 47,365",MANAGING DIRECTOR OF SINGAPORE 0,genevieve,060653264,190503,Culinary Institute of America
DAVID KELLAWAY 37 5,"X 200,882 0 45,638",MANAGING DIRECTOR OF SAN ANTONIO 0,david,060653264,190503,Culinary Institute of America
MANAGING DIRECTOR OF SAN ANTONIO 0,BRADLEE BARNES 37 5,"X 182,431 0 42,934",san,060653264,190503,Culinary Institute of America
