line1,line2,line3,key,fein,unitid,institutionname
(1) GAYLE BENTSEN 1 00,X 0 0 0,TRUSTEE,gayle,060662150,129774,Mitchell College
(2) MARK BURKE 1 00,X 0 0 0,TRUSTEE,mark,060662150,129774,Mitchell College
(3) RICHARD CARLSON 1 00,X 0 0 0,TRUSTEE,richard,060662150,129774,Mitchell College
(4) ERIN DUQUES 1 00,X 0 0 0,TRUSTEE,erin,060662150,129774,Mitchell College
(5) SCOTT GIBSON 1 00,X X 0 0 0,TREASURER,scott,060662150,129774,Mitchell College
(6) KEVIN HENNESSY 1 00,X 0 0 0,TRUSTEE,kevin,060662150,129774,Mitchell College
(7) ELIZABETH IVEY 1 00,X X 0 0 0,CHAIR,elizabeth,060662150,129774,Mitchell College
(8) MARK KIRSCHNER 1 00,X 0 0 0,TRUSTEE,mark,060662150,129774,Mitchell College
(9) LUCY LESKE 1 00,X 0 0 0,TRUSTEE,lucy,060662150,129774,Mitchell College
(10) ROBERT MUSIL 1 00,X 0 0 0,TRUSTEE,robert,060662150,129774,Mitchell College
(11) PAUL NUNES 1 00,X X 0 0 0,SECRETARY,paul,060662150,129774,Mitchell College
(12) RADM ROBERT OLSEN USCG RET 1 00,X 0 0 0,TRUSTEE,robert,060662150,129774,Mitchell College
(13) DAVID SANDBERG 1 00,X 0 0 0,TRUSTEE,david,060662150,129774,Mitchell College
(14) DANIEL SPRING 1 00,X X 0 0 0,VICE CHAIR,daniel,060662150,129774,Mitchell College
(15) VINCENT SYRACUSE 1 00,X 0 0 0,TRUSTEE,vincent,060662150,129774,Mitchell College
(16) JOHN TYMITZ 1 00,X 0 0 0,TRUSTEE,john,060662150,129774,Mitchell College
(17) MARY ELLEN JUKOSKI 60 00,"X 290,665 0 207,000",PRESIDENT,mary,060662150,129774,Mitchell College
(18) DYANN BAKER 50 00,"x 114,781 21,720",VP FINANCE & ADMINISTRATION,baker,060662150,129774,Mitchell College
"SODEXO CAMPUS SERVICE 9801 WASHINGTONIAN BLVD GAITHERSBURG MD 10878 FOOD SERVICE 1,418,527","COMPUTER AID INC PO BOX 785526 PHILADELPHIA PA 19178 1T CONSULTING 777,000","PETRA CONSTRUCTION CORPORATION 98 REBESCHI DR NORTH HAVEN CT 06473 CONSTRUCTION/PROJECT MGMT 439,641",service,060662150,129774,Mitchell College
"PETRA CONSTRUCTION CORPORATION 98 REBESCHI DR NORTH HAVEN CT 06473 CONSTRUCTION/PROJECT MGMT 439,641","RUFFALOCODY PO BOX 718 DES MOINES IA 50303 LIST SERVICE 312,128","CONSTRUCTION/PROJECT MGMT 203,281",petra,060662150,129774,Mitchell College
