line1,line2,line3,key,fein,unitid,institutionname
LUCILLE NICKERSON 2 0,X 0 0 0,CHAIR,lucille,060731360,129525,University of Hartford
DOMINIC FULCO III 2 0,X 0 0 0,VICE CHAIR,dominic,060731360,129525,University of Hartford
ARNOLD WEST 2 0,X 0 0 0,VICE CHAIR,arnold,060731360,129525,University of Hartford
ROGER KLENE 2 0,X 0 0 0,VICE CHAIR TERM ENDED 5 18 14,roger,060731360,129525,University of Hartford
KATHLEEN BEHRENS 2 0,X 0 0 0,REGENT,kathleen,060731360,129525,University of Hartford
NANCY BOTCHELLER 2 0,X 0 0 0,REGENT,nancy,060731360,129525,University of Hartford
CECELIA CALHOUN 2 0,X 0 0 0,REGENT,cecelia,060731360,129525,University of Hartford
ELSA CHIN 2 0,X 0 0 0,REGENT ELECTED 5 19 14,elsa,060731360,129525,University of Hartford
KAY KNIGHT CLARKE 2 0,X 0 0 0,REGENT TERM ENDED 5 18 14,kay,060731360,129525,University of Hartford
ALISON COOLBRITH 2 0,X 0 0 0,REGENT,alison,060731360,129525,University of Hartford
JOSEPH COUGHLIN 2 0,X 0 0 0,REGENT,joseph,060731360,129525,University of Hartford
BRIAN CLARKE 2 0,X 0 0 0,REGENT ELECTED 5 19 14,brian,060731360,129525,University of Hartford
TONY FALCEITI 2 0,X 0 0 0,REGENT,tony,060731360,129525,University of Hartford
STANLEY FELLMAN 2 0,X 0 0 0,REGENT,stanley,060731360,129525,University of Hartford
ROBERT FORRESTER 2 0,X 0 0 0,REGENT,robert,060731360,129525,University of Hartford
DONALD FRAHM 2 0,X 0 0 0,REGENT RESIGNED 10/13,donald,060731360,129525,University of Hartford
JAMES FULLER 40 0,"x 82,575 0 6,454",FACULTY REGENT,james,060731360,129525,University of Hartford
CASSANDRA FOWLIE 20 0,"X 3,288 0 0",STUDENT REGENT ELECTED 5 19 14,cassandra,060731360,129525,University of Hartford
DAVID A GORDON 2 0,X 0 0 0,REGENT,david,060731360,129525,University of Hartford
ARNOLD C GREENBERG 2 0,X 0 0 0,REGENT,arnold,060731360,129525,University of Hartford
ALEXANDRA HALL 20 0,"X 1,919 0 0",STU REGENT TM ENDED 5 18 14,alexandra,060731360,129525,University of Hartford
SUSAN DENISE HARRIS 2 0,X 0 0 0,REGENT,susan,060731360,129525,University of Hartford
WALTER HAUCK 2 0,X 0 0 0,REGENT,walter,060731360,129525,University of Hartford
JEFFREY HOFFMAN 2 0,X 0 0 0,REGENT,jeffrey,060731360,129525,University of Hartford
FRANCIS HURSEY 2 0,X 0 0,REGENT,francis,060731360,129525,University of Hartford
MARY INGUANTI 2 0,X 0 0,REGENT ELECTED 5 19 14,mary,060731360,129525,University of Hartford
PETER G KELLY 2 0,X 0 0,REGENT,peter,060731360,129525,University of Hartford
DEBORAH KIDDER 40 0,"x 114,758 0 9,497",FACULTY REGENT,deborah,060731360,129525,University of Hartford
TAI SOO KIM 2 0,X 0 0,REGENT TM ENDED 5 18 14,tai,060731360,129525,University of Hartford
DEBORAH KOLTENUK 2 0,X 0 0,REGENT,deborah,060731360,129525,University of Hartford
ROSY KAPUR 2 0,X 0 0,REGENT ELECTED 5 19 14,rosy,060731360,129525,University of Hartford
PATRICIA A MCKINLEY 2 0,X 0 0,REGENT,patricia,060731360,129525,University of Hartford
BOBBI MCNEIL 2 0,X 0 0,REGENT,bobbi,060731360,129525,University of Hartford
SUSAN MILLER 2 0,X 0 0,Regent,susan,060731360,129525,University of Hartford
MARJORIE MORRISSEY 2 0,X 0 0,REGENT,marjorie,060731360,129525,University of Hartford
GARY MASSE 2 0,X 0 0,REGENT TERM BEGAN 5 19 14,gary,060731360,129525,University of Hartford
ADAM ORESKY 20 0,"X 1,194 0 0",STU REGENT RESIGNED 11/2013,adam,060731360,129525,University of Hartford
ANDRES OLARTE 20 0,"X 1,553 0 0",STUDENT REGENT ELECTED 5 19 14,andres,060731360,129525,University of Hartford
CHARLES E PAGANO JR 2 0,X 0 0,REGENT,charles,060731360,129525,University of Hartford
RITA PARISI 2 0,X 0 0,REGENT,rita,060731360,129525,University of Hartford
JEREMIAH PATTERSON 40 0,"x 57,958 0 5,744",FACULTY REGENT,jeremiah,060731360,129525,University of Hartford
THOMAS REICH 2 0,X 0 0,REGENT RESIGNED 2/2014,thomas,060731360,129525,University of Hartford
DOUGLAS RIAHI 2 0,X 0 0,REGENT,douglas,060731360,129525,University of Hartford
GIRISH RISHI 2 0,X 0 0,REGENT,girish,060731360,129525,University of Hartford
CURTIS D ROBINSON 2 0,X 0 0,REGENT,curtis,060731360,129525,University of Hartford
ROSALIE ROTH 2 0,X 0 0,REGENT,rosalie,060731360,129525,University of Hartford
KEVIN RUIZ 20 0,"X 7,614 0 0",STUDENT REGENT ELECTED 5 19 14,kevin,060731360,129525,University of Hartford
MATTHEW SINGER REGENT 2 0,X 0 0,ELECTD 12 6 13 TM END E5 18 14,matthew,060731360,129525,University of Hartford
RENEE SAMUELS 2 0,X 0 0 0,REGENT,renee,060731360,129525,University of Hartford
PETER SCHAUER 2 0,X 0 0 0,REGENT,peter,060731360,129525,University of Hartford
JOHN C SHAW 2 0,X 0 0 0,REGENT,john,060731360,129525,University of Hartford
LINDA FISHER SILPE 2 0,X 0 0 0,REGENT,linda,060731360,129525,University of Hartford
BRUCE SIMONS 2 0,X 0 0 0,REGENT,bruce,060731360,129525,University of Hartford
PAUL SITTARD 2 0,X 0 0 0,REGENT,paul,060731360,129525,University of Hartford
BRIAN SMITH 7 0,"X 3,375 0 0",REGENT/ADJUNCT FACULTY,brian,060731360,129525,University of Hartford
GREGORY STEINER 2 0,X 0 0 0,REGENT,gregory,060731360,129525,University of Hartford
PHILIP A STREIFER 2 0,X 0 0 0,REGENT,philip,060731360,129525,University of Hartford
JOHN SUNDE 2 0,X 0 0 0,REGENT RESIGNED 7/2013,john,060731360,129525,University of Hartford
JEFFREY SHOHAM 2 0,X 0 0 0,REGENT ELECTED 5 19 14,jeffrey,060731360,129525,University of Hartford
THOMAS TRILLO 2 0,X 0 0 0,REGENT,thomas,060731360,129525,University of Hartford
DAVID THOMPSON 2 0,X 0 0 0,REGENT ELECTED 5 19 14,david,060731360,129525,University of Hartford
JENNIFER SMITH TURNER 2 0,X 0 0 0,REGENT,jennifer,060731360,129525,University of Hartford
GERALD VlTKAUSKAS 2 0,X 0 0 0,REGENT,gerald,060731360,129525,University of Hartford
MONICA VOLDSTAD 2 0,X 0 0 0,REGENT,monica,060731360,129525,University of Hartford
JOHN WHEAT 2 0,X 0 0 0,REGENT TM ENDED 5 18 14,john,060731360,129525,University of Hartford
ELIOT P WILLIAMS 2 0,X 0 0 0,REGENT,eliot,060731360,129525,University of Hartford
WALTER HARRISON 40 0,"X X 497,578 0 206,942",Regent/PRESIDENT,walter,060731360,129525,University of Hartford
JOHN J CARSON 40 0,"X 151,047 0 13,638",VP UNIVERSITY RELATIONS,john,060731360,129525,University of Hartford
THOMAS DORER 40 0,"X 179,855 0 45,146",VP GENERAL COUNSEL & SECRETARY,thomas,060731360,129525,University of Hartford
THOMASJ PERRA 40 0,"X 152,547 0 43,438",ASSOCIATE VP/TREASURER,perra,060731360,129525,University of Hartford
J LEE PETERS 40 0,"X 172,866 0 32,300",VP STUDENT AFFAIRS,lee,060731360,129525,University of Hartford
CHRISTINE PINA 40 0,"X 221,140 0 25,151",VP INSTITUTIONAL ADVANCEMENT,christine,060731360,129525,University of Hartford
SHARON LVASQUEZ 40 0,"X 271,127 0 32,965",PROVOST,sharon,060731360,129525,University of Hartford
AARON FLAGG 40 0,"X 192,608 0 36,089","DEAN, HARTT",aaron,060731360,129525,University of Hartford
"DEAN, HARTT",LOUIS MANZIONE 40 0,"X 230,170 0 47,697",hartt,060731360,129525,University of Hartford
LOUIS MANZIONE 40 0,"X 230,170 0 47,697","DEAN, CETA",louis,060731360,129525,University of Hartford
RALPH MUELLER 40 0,"X 183,109 0 28,824","DEAN, ENHP",ralph,060731360,129525,University of Hartford
JOSEPH VOELKER 40 0,"X 185,100 0 35,308","DEAN, A&S",joseph,060731360,129525,University of Hartford
