line1,line2,line3,key,fein,unitid,institutionname
(1) MOST REV MICHAEL R COTE DD 1 00,X 0 0 0,CHAIRMAN,most,061149131,129534,Holy Apostles College and Seminary
(2) MR JOHN F WOLTER ESQ 1 00,X 0 0 0,DIRECTOR,john,061149131,129534,Holy Apostles College and Seminary
(3) MR ROBERT O'HARA ESQ 1 00,X 0 0 0,DIRECTOR,robert,061149131,129534,Holy Apostles College and Seminary
(4) REV BRADLEY PIERCE MSA 1 00,X 0 0 0,DIRECTOR,bradley,061149131,129534,Holy Apostles College and Seminary
(5) MR PETER KELLY ESQ 1 00,X 0 0 0,DIRECTOR,peter,061149131,129534,Holy Apostles College and Seminary
(6) DR MARIE HILLIARD 1 00,X 0 0 0,DIRECTOR,marie,061149131,129534,Holy Apostles College and Seminary
(7) MR JEAN—PIERRE VAN ROOY 1 00,X 0 0 0,DIRECTOR,van,061149131,129534,Holy Apostles College and Seminary
(8) MR THOMAS GROARK ESQ 1 00,X 0 0 0,DIRECTOR,thomas,061149131,129534,Holy Apostles College and Seminary
(9) VERY REV ISAAC MARTINEZ MSA 1 00,X 0 0 0,CHAIRMAN,isaac,061149131,129534,Holy Apostles College and Seminary
(10) MS LORI A COPPINGER 1 00,X 0 0 0,DIRECTOR,lori,061149131,129534,Holy Apostles College and Seminary
(11) MR ANTHONY CACACE 1 00,X 0 0 0,DIRECTOR,anthony,061149131,129534,Holy Apostles College and Seminary
(12) MR RICHARD COUGHLIN 1 00,X X 0 0 0,SECRETARY,richard,061149131,129534,Holy Apostles College and Seminary
(13) MOST REV LEONARD P BLAIR DD 1 00,X 0 0 0,CHAIRMAN,most,061149131,129534,Holy Apostles College and Seminary
(14) MOST REV FRANK J CAGGIANO DD 1 00,X 0 0 0,CHAIRMAN,most,061149131,129534,Holy Apostles College and Seminary
(15) VERY REV VINCENT SALAMONI MSA 1 00,X 0 0 0,CHAIRMAN,vincent,061149131,129534,Holy Apostles College and Seminary
(16) REV EDWARD PRZYGOCKI MSA 1 00,X 0 0 0,DIRECTOR,edward,061149131,129534,Holy Apostles College and Seminary
(17) REV CHRISTIAN RODEMBOURG MSA 1 00,X 0 0 0,DIRECTOR,christian,061149131,129534,Holy Apostles College and Seminary
