line1,line2,line3,key,fein,unitid,institutionname
THOMAS F SCHUTI'E 35 0,"X X 667,297 0 129,199",PRESIDENT AND TRUSTEE 0 0,thomas,111630822,194578,Pratt Institute-Main
BRUCE J GITLIN 1 0,X X 0 0 0,CHAIR OF THE BOARD 0 0,bruce,111630822,194578,Pratt Institute-Main
MIKE PRATT 1 0,X X 0 0 0,VICE CHAIRMAN OF THE BOARD,mike,111630822,194578,Pratt Institute-Main
ROBERT H SIEGEL 1 0,X X 0 0 0,VICE CHAIR OF THE BOARD,robert,111630822,194578,Pratt Institute-Main
DR JOSHUA L SMITH 1 0,X 0 0 0,SECRETARY,joshua,111630822,194578,Pratt Institute-Main
HOWARD S STEIN 1 0,X 0 0 0,TREASURER,howard,111630822,194578,Pratt Institute-Main
KURT ANDERSEN 1 0,X 0 0 0,TRUSTEE,kurt,111630822,194578,Pratt Institute-Main
DEBORAH J BUCK 1 0,X 0 0 0,TRUSTEE,deborah,111630822,194578,Pratt Institute-Main
AMY CAPPELLAZZO 1 0,X 0 0 0,TRUSTEE,amy,111630822,194578,Pratt Institute-Main
SUSAN HAKKARAINEN 1 0,X 0 0 0,TRUSTEE,susan,111630822,194578,Pratt Institute-Main
GARY S HATTEM 1 0,X 0 0 0,TRUSTEE,gary,111630822,194578,Pratt Institute-Main
CODY HUGHES 20 0,X,TRUSTEE,cody,111630822,194578,Pratt Institute-Main
JUNE KELLY 1 0,X 0 0 0,TRUSTEE,kelly,111630822,194578,Pratt Institute-Main
JAMES D KUHN 1 0,X 0 0 0,TRUSTEE,james,111630822,194578,Pratt Institute-Main
DAVID S MACK 1 0,X 0 0 0,TRUSTEE,david,111630822,194578,Pratt Institute-Main
KATHARINE L MCKENNA 1 0,X 0 0 0,TRUSTEE,katharine,111630822,194578,Pratt Institute-Main
DAVID G MARQUIS 1 0,X 0 0 0,TRUSTEE,david,111630822,194578,Pratt Institute-Main
JOHN MORNING 1 0,X 0 0 0,TRUSTEE,john,111630822,194578,Pratt Institute-Main
DAVID O PRATT 1 0,X 0 0 0,TRUSTEE,david,111630822,194578,Pratt Institute-Main
STAN RICHARDS 1 0,X 0 0 0,TRUSTEE,stan,111630822,194578,Pratt Institute-Main
MARIE TERESA ASARE—BOADI 1 0,X 0 0 0,TRUSTEE FROM 07/01/13,marie,111630822,194578,Pratt Institute-Main
KATHRYN C CHENAULT 1 0,X 0 0 0,TRUSTEE,kathryn,111630822,194578,Pratt Institute-Main
MICHAEL KRISHER 1 0,X 0 0 0,TRUSTEE FROM 07/01/13,michael,111630822,194578,Pratt Institute-Main
RALPH PUCCI 1 0,X 0 0 0,TRUSTEE FROM 10/10/13,ralph,111630822,194578,Pratt Institute-Main
MARK D STUMER 1 0,X 0 0 0,TRUSTEE,mark,111630822,194578,Pratt Institute-Main
JULIANA C TERIAN 1 0,X 0 0 0,TRUSTEE,juliana,111630822,194578,Pratt Institute-Main
DAVID C WALENTAS 1 0,X 0 0 0,TRUSTEE,david,111630822,194578,Pratt Institute-Main
MICHAEL ZETLIN 1 0,X 0 0 0,TRUSTEE,michael,111630822,194578,Pratt Institute-Main
JEFFREY BELLANTONI 1 0,X 0 0 0,TRUSTEE FROM 7/1/13,jeffrey,111630822,194578,Pratt Institute-Main
DARRYL HALICKMAN 1 0,X 0 0 0,TRUSTEE FROM 7/1/13,darryl,111630822,194578,Pratt Institute-Main
HEATHER LEWIS 1 0,X 0 0 0,TRUSTEE FROM 7/1/13,heather,111630822,194578,Pratt Institute-Main
ANNE H VAN INGEN 1 0,X 0 0 0,TRUSTEE,anne,111630822,194578,Pratt Institute-Main
PETER BARNA 35 0,"X 283,099 0 20,346",PROVOST 0 0,peter,111630822,194578,Pratt Institute-Main
JUDY AARON 35 0,"X 217,106 0 10,788",VP ENROLLMENT 0 0,judy,111630822,194578,Pratt Institute-Main
ANDREW BARNES 35 0,"X 173,206 0 29,125",DEAN SCH OF LIB ARTS & SCI 0 0,andrew,111630822,194578,Pratt Institute-Main
TODD M GALITZ 35 0,"X 258,844 0 12,823",VP DEVELOPMENT 0 0,todd,111630822,194578,Pratt Institute-Main
JOE HEMWAY 35 0,"X 211,536 0 17,916",CHIEF INFO AND TECH OFFICER 0 0,joe,111630822,194578,Pratt Institute-Main
HELEN MATUSOW—AYRES 35 0,"x 183,739 0 9,152",VP STUDENT AFFAIRS 0 0,helen,111630822,194578,Pratt Institute-Main
EDMUND RUTKOWSKI 35 0,"X 268,108 0 66,270",VP FINANCE AND ADMIN 0 0,edmund,111630822,194578,Pratt Institute-Main
RUSSELL S ABELL 35 0,"X 121,106 0 26,526","DIRECTOR, SCHOOL OF LIBRARY 0 0",russell,111630822,194578,Pratt Institute-Main
TULA GIANNINI 35 0,"X 178,175 0 31,861",DEAN SCH OF INFO & LIBRARY SCI 0 0,tula,111630822,194578,Pratt Institute-Main
GLEN GORDON 35 0,"x 178,355 0 9,101",EXEC DIR OF FACILITIES MGMT 0 0,glen,111630822,194578,Pratt Institute-Main
THOMAS HANRAHAN 35 0,"X 161,838 0 28,545",DEAN SCHOOL OF ARCHITECTURE 0 0,thomas,111630822,194578,Pratt Institute-Main
JOHN L PIERCE 35 0,"X 190,597 0 29,975",DIRECTOR 0 0,john,111630822,194578,Pratt Institute-Main
