line1,line2,line3,key,fein,unitid,institutionname
RICHARD JOEL 35 0,"x x 2,377,009 0 381,885",PRESIDENT/TRUSTEE 1 0,richard,131624225,197708,Yeshiva University
DR HENRY KRESSEL 10 0,X,CHAIRMAN/TRUSTEE 1 0,henry,131624225,197708,Yeshiva University
DAVID S GOTI'ESMAN 1 0,X,CHAIR EMERITUS/TRUSTEE 0 0,david,131624225,197708,Yeshiva University
ROBERT M BEREN 1 0,X,CHAIR EMERITUS/TRUSTEE 0 0,robert,131624225,197708,Yeshiva University
MORRY J WEISS 1 0,X,CHAIR EMERITUS—TRUSTEE 0 0,weiss,131624225,197708,Yeshiva University
MORDECAI D KATZ 1 0,X,VICE CHAIRMAN/TRUSTEE 0 0,mordecai,131624225,197708,Yeshiva University
LUDWIG BRAVMANN 1 0,X,VICE CHAIRMAN/TRUSTEE 0 0,ludwig,131624225,197708,Yeshiva University
MOSHAELJ STRAUS 1 0,X,VICE CHAIRMAN/TRUSTEE 0 0,straus,131624225,197708,Yeshiva University
PHILIP FRIEDMAN 1 0,X,TREASURER/TRUSTEE 0 0,philip,131624225,197708,Yeshiva University
JOEL M SCHREIBER 1 0,X,TRUSTEE 0 0,joel,131624225,197708,Yeshiva University
JACK A BELZ 1 0,X,TRUSTEE 0 0,jack,131624225,197708,Yeshiva University
JULIUS BERMAN 1 0,X,TRUSTEE 0 0,julius,131624225,197708,Yeshiva University
MARVIN S BIENENFELD 1 0,X,TRUSTEE 0 0,marvin,131624225,197708,Yeshiva University
MARJORIE DIENER BLENDEN 1 0,X,TRUSTEE 0 0,marjorie,131624225,197708,Yeshiva University
SENDER Z COHEN 1 0,X,TRUSTEE 0 0,sender,131624225,197708,Yeshiva University
MICHAEL GAMSON 1 0,X,TRUSTEE 0 0,michael,131624225,197708,Yeshiva University
DR FELIX LGLAUBACH 1 0,X,TRUSTEE 0 0,felix,131624225,197708,Yeshiva University
DR RUTH L GOTI'ESMAN 1 0,X,TRUSTEE—THROUGH JUNE 2014 0 0,ruth,131624225,197708,Yeshiva University
FANYA GOTTESFELD HELLER 1 0,X,TRUSTEE 0 0,fanya,131624225,197708,Yeshiva University
ALAN E GOLDBERG 1 0,X,TRUSTEE 0 0,alan,131624225,197708,Yeshiva University
MARCOS D KATZ 1 0,X,TRUSTEE 0 0,marcos,131624225,197708,Yeshiva University
MATTHEW J MARYLES 1 0,X,TRUSTEE 0 0,matthew,131624225,197708,Yeshiva University
IRA M MITZNER 1 0,X,VICE CHAIRMAN / TRUSTEE 0 0,ira,131624225,197708,Yeshiva University
JOSHUA L MUSS 1 0,X,TRUSTEE 0 0,joshua,131624225,197708,Yeshiva University
JACK M NAGEL 1 0,X,TRUSTEE 0 0,jack,131624225,197708,Yeshiva University
LESLIE E PAYSON 1 0,X,TRUSTEE — THROUGH JUNE 2014 0 0,leslie,131624225,197708,Yeshiva University
VIVIAN GLUECK ROSENBERG 1 0,X,TRUSTEE 0 0,vivian,131624225,197708,Yeshiva University
DAVID I SCHACHNE 1 0,X,TRUSTEE — THROUGH DEC 2013 0 0,david,131624225,197708,Yeshiva University
TRUSTEE — THROUGH DEC 2013 0 0,DANIEL A SCHWARTZ 1 0,X,dec,131624225,197708,Yeshiva University
DANIEL A SCHWARTZ 1 0,X,TRUSTEE 0 0,daniel,131624225,197708,Yeshiva University
