line1,line2,line3,key,fein,unitid,institutionname
(1) PATRICIA SOVERN 20 0,X X 0 0 0,CHAIRMAN,patricia,131662715,194116,New York School of Interior Design
(2) JAMES DRUCKMAN 5 0,X X 0 0 0,TREASURER,james,131662715,194116,New York School of Interior Design
(3) JODIE KING 5 0,X X 0 0 0,SECRETARY,jodie,131662715,194116,New York School of Interior Design
(4) SUSAN NAGLE 5 o,X X 0 0 0,VICE CHAIRMAN,susan,131662715,194116,New York School of Interior Design
(5) ANNE KORMAN 1 0,"X 17,640 0 0",TRUSTEE,anne,131662715,194116,New York School of Interior Design
(6) RENE ESTACIO 1 0,"x 19,677 0 2,526",TRUSTEE,rene,131662715,194116,New York School of Interior Design
(7) JILL DIENST 1 0,X 0 0 0,TRUSTEE,jill,131662715,194116,New York School of Interior Design
(8) R055] FRANCIS 1 0,X 0 0 0,TRUSTEE,francis,131662715,194116,New York School of Interior Design
(9) DAVID SCOTT 1 0,X 0 0 0,TRUSTEE,david,131662715,194116,New York School of Interior Design
(10) ELLIOT GREENE 5 0,X 0 0 0,TRUSTEE,elliot,131662715,194116,New York School of Interior Design
(11) ALEXA HAMPTON 1 0,X 0 0 0,TRUSTEE,alexa,131662715,194116,New York School of Interior Design
(12) ELLEN KRAVET 1 0,X 0 0 0,TRUSTEE,ellen,131662715,194116,New York School of Interior Design
(13) DENNIS MILLER 1 0,X 0 0 0,TRUSTEE,dennis,131662715,194116,New York School of Interior Design
(14) BETSEY RUPRECHT 1 0,X 0 0 0,TRUSTEE,betsey,131662715,194116,New York School of Interior Design
(15) AMORY ARMSTRONG 1 0,X 0 0,TRUSTEE,amory,131662715,194116,New York School of Interior Design
(16) LIBBY CAMERON 1 0,X 0 0 0,TRUSTEE,libby,131662715,194116,New York School of Interior Design
(17) MATTHEW DEMARCO 1 0,"X 0 0 26,996",GENERAL COUNSEL & ASST SEC,matthew,131662715,194116,New York School of Interior Design
(18) DAVID SPROULS 40 0,"x 215,266 66,856",PRESIDENT,david,131662715,194116,New York School of Interior Design
(19) JANE CHEN 40 0,"x 159,368 34,717",VP—FINANCE & ADMINISTRATION,jane,131662715,194116,New York School of Interior Design
(20) ELLEN FISHER 40 0,"x 161,809 57,897",VP— ACADEMIC AFFAIRS & DEAN,ellen,131662715,194116,New York School of Interior Design
(21) TOMASZ SOWINSKI 40 0,"x 103,167 50,631",DIR DATA MANAGEMENT,tomasz,131662715,194116,New York School of Interior Design
(22) RICHARD CLASS 40 0,"x 108,062 49,696",DIRECTOR ACADEMIC COMPUTING,richard,131662715,194116,New York School of Interior Design
(23) SUSAN LOVELL 40 0,"x 109,847 40,569",REGISTRAR &SEN DIR STUDENT,susan,131662715,194116,New York School of Interior Design
(24) ELIZABETH KOGEN 40 0,"x 130,975 8,109",DIRECTOR OF DEVELOP,elizabeth,131662715,194116,New York School of Interior Design
