line1,line2,line3,key,fein,unitid,institutionname
Gwen Adolph 1,X 0 0 0,Trustee 0,gwen,131740447,193645,The College of New Rochelle
Rosa Barksdale 1,X 0 0 0,Trustee 0,rosa,131740447,193645,The College of New Rochelle
Karen Calo 1,X 0 0 0,Trustee 0,karen,131740447,193645,The College of New Rochelle
Lillian Brennan Carney 1,X 0 0 0,Trustee 0,lillian,131740447,193645,The College of New Rochelle
Tyronne DaVIs 1,X 0 0 0,Trustee 0,davis,131740447,193645,The College of New Rochelle
Carla Romita Eccleston 1,X 0 0 0,Trustee 0,carla,131740447,193645,The College of New Rochelle
Kathleen Finnerty 1,X 0 0 0,Trustee 0,kathleen,131740447,193645,The College of New Rochelle
Joan Freilich 1,X 0 0 0,Trustee 0,joan,131740447,193645,The College of New Rochelle
Karen Helfenstein 1,X 0 0 0,Trustee 0,karen,131740447,193645,The College of New Rochelle
Peter JaVIer 1,X 0 0 0,Trustee 0,peter,131740447,193645,The College of New Rochelle
Celeste Johnson 1,X 0 0 0,Trustee 0,celeste,131740447,193645,The College of New Rochelle
Regina Kehoe 1,X 0 0 0,Trustee 0,regina,131740447,193645,The College of New Rochelle
Judy Kenny 1,X 0 0 0,Trustee 0,judy,131740447,193645,The College of New Rochelle
Elizabeth LeVaca 1,X 0 0 0,Trustee 0,elizabeth,131740447,193645,The College of New Rochelle
Margaret Ann Moser 1,X 0 0 0,Trustee 0,margaret,131740447,193645,The College of New Rochelle
Leo O'Donovan 1,X 0 0 0,Trustee 0,leo,131740447,193645,The College of New Rochelle
Ann Peterson 1,X 0 0 0,Trustee 0,ann,131740447,193645,The College of New Rochelle
James Reichbach 1,X 0 0 0,Trustee 0,james,131740447,193645,The College of New Rochelle
Jane Scully Reichle 1,X 0 0 0,Trustee 0,jane,131740447,193645,The College of New Rochelle
Christianne RICChI 1,X 0 0 0,Trustee 0,christianne,131740447,193645,The College of New Rochelle
KeVIn SerVIce 1,X 0 0 0,Trustee 0,kevin,131740447,193645,The College of New Rochelle
Diana Stano 1,X 0 0 0,Trustee 0,diana,131740447,193645,The College of New Rochelle
Joan Woodcome 1,X 0 0 0,Trustee 0,joan,131740447,193645,The College of New Rochelle
Joan Bailey 40,"X X 144,001 0 5,368",SpeCIal ASSIstant to the PreSIdent 0,joan,131740447,193645,The College of New Rochelle
Judith Huntington 40,"X 384,190 0 21,020",PreSIdent 0,judith,131740447,193645,The College of New Rochelle
Keith Borge 40,"X 229,365 0 0",VP Financial Affairs 0,keith,131740447,193645,The College of New Rochelle
Ellen Curry Damato 40,"X 264,503 0 15,246",Executive Vice PreSIdent 0,ellen,131740447,193645,The College of New Rochelle
Dorothy Escribano 40,"x 270,000 0 9,642",Provost & Senior VP Academic Affairs 0,dorothy,131740447,193645,The College of New Rochelle
Colette Geary 40,"X 226,300 0 0",VP Student SerVIces 0,colette,131740447,193645,The College of New Rochelle
Brenna Mayer 40,"X 221,641 0 15,246",VP College Advancement 0,brenna,131740447,193645,The College of New Rochelle
Darryl Jones 40,"X 147,250 0 0",Dean 0,darryl,131740447,193645,The College of New Rochelle
Richard Thompson 40,"X 137,171 0 21,020",Dean 0,richard,131740447,193645,The College of New Rochelle
LOUIS DeSalle 40,"x 139,599 0 9,642",As5Istant Dean 0,louis,131740447,193645,The College of New Rochelle
Marie Ribarich 40,"x 137,171 0 9,642",Dean 0,marie,131740447,193645,The College of New Rochelle
