line1,line2,line3,key,fein,unitid,institutionname
(1) DR MICHAELJ MEESE 50,X 0 0 0,BOARD OF REGENTS,meese,131740448,190248,Concordia College-New York
(2) FREDERICK W BERNTHAL 50,X 0 0 0,BOARD OF REGENTS,frederick,131740448,190248,Concordia College-New York
(3) REV DR JON DIEFENTHALER 50,X 0 0 0,BOARD OF REGENTS,jon,131740448,190248,Concordia College-New York
(4) HEIDIJ FIELDS 50,X 0 0 0,BOARD OF REGENTS,fields,131740448,190248,Concordia College-New York
(5) HOWARD F CRUMB 1 00,X X 0 0 0,SECRETARY,howard,131740448,190248,Concordia College-New York
(7) REV DR DAVID BENKE 50,X 0 0 0,BOARD OF REGENTS,david,131740448,190248,Concordia College-New York
(8) JEAN HANSON 1 00,X X 0 0 0,CHAIR,jean,131740448,190248,Concordia College-New York
(9) DR MARY E HILGENDORF 50,X 0 0 0,BOARD OF REGENTS,mary,131740448,190248,Concordia College-New York
(10) THE REV WILLIAM J MEYER 50,X 0 0 0,BOARD OF REGENTS,william,131740448,190248,Concordia College-New York
(11) GARY E MULLER 50,X 0 0 0,BOARD OF REGENTS,gary,131740448,190248,Concordia College-New York
(12) DR JOHN M PIETRUSKI JR 1 00,X X 0 0 0,VICE CHAIR,john,131740448,190248,Concordia College-New York
(13) THOMAS ROEMKE 50,X 0 0 0,BOARD OF REGENTS,thomas,131740448,190248,Concordia College-New York
(14) DAVID A SCHEFFEL 50,X 0 0 0,BOARD OF REGENTS,david,131740448,190248,Concordia College-New York
(16) HOPE WITTROCK 50,X 0 0 0,BOARD OF REGENTS,hope,131740448,190248,Concordia College-New York
(17) PHILIP LEEGE 50,X 0 0 0,BOARD OF REGENTS,philip,131740448,190248,Concordia College-New York
(18) VIJI GEORGE 40 00,"x 97,521 196,195",PRESIDENT,george,131740448,190248,Concordia College-New York
(19) WILLIAM ZAMBELLI 40 00,"x 109,937 25,637",CFO — LEFT 6/30/14,william,131740448,190248,Concordia College-New York
CFO — LEFT 6/30/14,"1b Sub-Total h""","Total from continuation sheets to Part VII, Section A . . . . h""",left,131740448,190248,Concordia College-New York
"CHARTWELLS COMPASS GROUP 3 INTERNATIONAL DR PORT CHESTER NY 10573 FOODSERVICE 1,982,717","C—CLEAN CORPORATION 69 FENIMORE DR HARRISON NY 10528 CLEANING SERVICES 390,103","CONCORDIA UNIVERSITY SYSTEM 1333 S KIRKWOOD RD SAINT LOUIS MO 63122 COMPUTER SERVICES 268,541",port,131740448,190248,Concordia College-New York
"C—CLEAN CORPORATION 69 FENIMORE DR HARRISON NY 10528 CLEANING SERVICES 390,103","CONCORDIA UNIVERSITY SYSTEM 1333 S KIRKWOOD RD SAINT LOUIS MO 63122 COMPUTER SERVICES 268,541","LUCADAMO & SONS INC 215 SOUTH 13TH AVE MOUNT VERNON NY 10550 BUILDING RENOVATIONS 200,890",fenimore,131740448,190248,Concordia College-New York
"CONCORDIA UNIVERSITY SYSTEM 1333 S KIRKWOOD RD SAINT LOUIS MO 63122 COMPUTER SERVICES 268,541","LUCADAMO & SONS INC 215 SOUTH 13TH AVE MOUNT VERNON NY 10550 BUILDING RENOVATIONS 200,890","HVAC SERVICES 178,521",concordia,131740448,190248,Concordia College-New York
