line1,line2,line3,key,fein,unitid,institutionname
John Banks III 1,X 0 0 0,Trustee,john,131740468,192703,Manhattan College
Renato Berzolla 1,X 0 0 0,Trustee,renato,131740468,192703,Manhattan College
Patrick G Boyle 1,X 0 0 0,Trustee,patrick,131740468,192703,Manhattan College
Brother Frank G Byrne 1,X 0 0 0,Trustee,frank,131740468,192703,Manhattan College
Gerard Caccappolo 1,X 0 0 0,Trustee,gerard,131740468,192703,Manhattan College
Joseph] Carroll Esq 1,X 0 0 0,Trustee,carroll,131740468,192703,Manhattan College
Clare A Cunniffe 1,X 0 0 0,Trustee,clare,131740468,192703,Manhattan College
Neil DeFeo 1,X 0 0 0,Trustee,neil,131740468,192703,Manhattan College
Joseph Dillon 1,X 0 0 0,Trustee,joseph,131740468,192703,Manhattan College
William N Dooley 1,X 0 0 0,Trustee,william,131740468,192703,Manhattan College
Dr Thomas D Farrell 1,X 0 0 0,Trustee,thomas,131740468,192703,Manhattan College
William Hannon 1,X 0 0 0,Trustee,william,131740468,192703,Manhattan College
Dr Cornilius J Higgins 1,X 0 0 0,Trustee,higgins,131740468,192703,Manhattan College
Mona Kilcoyne 1,X 0 0 0,Trustee,mona,131740468,192703,Manhattan College
John V Magliano 1,X 0 0 0,Trustee,john,131740468,192703,Manhattan College
Brother Dennis Malloy 1,X X 0 0 0,Trustee,dennis,131740468,192703,Manhattan College
Brother William Mann 1,X 0 0 0,Trustee,william,131740468,192703,Manhattan College
Dr Marybeth McCall 1,X 0 0 0,Trustee,marybeth,131740468,192703,Manhattan College
Brother Michael J McGinniss 1,X 0 0 0,Trustee,michael,131740468,192703,Manhattan College
John McMaster 1,X 0 0 0,Trustee,john,131740468,192703,Manhattan College
Peter M Mulderry 1,X 0 0 0,Trustee,peter,131740468,192703,Manhattan College
Peter M MusumeCI Jr 1,X 0 0 0,Trustee,peter,131740468,192703,Manhattan College
Kenneth Orce 1,X 0 0 0,Trustee,kenneth,131740468,192703,Manhattan College
MichaelJ Paliotta 1,X 0 0 0,Trustee,paliotta,131740468,192703,Manhattan College
MichaelJ Passarella 1,X X 0 0 0,Trustee,passarella,131740468,192703,Manhattan College
Kenneth Rathgeber 1,X X 0 0 0,"Trustee, Chair",kenneth,131740468,192703,Manhattan College
MichaelJ Regan 1,X 0 0 0,Trustee,regan,131740468,192703,Manhattan College
Joseph A Ripp 1,X 0 0 0,Trustee,joseph,131740468,192703,Manhattan College
Anthony Scala 1,X 0 0 0,Trustee,anthony,131740468,192703,Manhattan College
Brother Robert J Smith 1,X 0 0 0,Trustee,robert,131740468,192703,Manhattan College
Stephen Squeri 1,X 0 0 0,Trustee,stephen,131740468,192703,Manhattan College
Rosanne Thomas Matzat 1,X 0 0 0,Trustee,rosanne,131740468,192703,Manhattan College
C Edward Ward Jr 1,X 0 0 0,Trustee,edward,131740468,192703,Manhattan College
Dr Brennan O'Donnell 35,"X X 446,915 0 59,176",Pre5ident,brennan,131740468,192703,Manhattan College
Barbara Fabe 35,"X 170,898 0 26,883","Vice Pre5ident, Sect",barbara,131740468,192703,Manhattan College
Michael Masch 35,"X 194,823 0 28,331","Vice Pre5ident Finance, Treasurer",michael,131740468,192703,Manhattan College
Dennis Lonergan 35,"X 141,258 0 37,446","AVP Finance and Controller, A55istant Treasurer",dennis,131740468,192703,Manhattan College
Thomas Mauriello 35,"X 262,989 0 20,101","Vice Pre5ident, A55istant Treasurer",thomas,131740468,192703,Manhattan College
William Clyde 35,"X 228,347 0 46,650",Provost/Executive Vice Pre5ident,william,131740468,192703,Manhattan College
Andrew Ryan 35,"X 182,521 0 41,818",Vice Pre5ident FaCIlities,andrew,131740468,192703,Manhattan College
Stephen Ma5iello 35,"X 280,567 0 15,682","Head Coach, Men's Basketball",stephen,131740468,192703,Manhattan College
Timothy Ward 35,"X 216,199 0 15,682",Dean,timothy,131740468,192703,Manhattan College
Salwa Ammar 35,"X 201,792 0 29,654",Dean,salwa,131740468,192703,Manhattan College
William Bisset 35,"X 196,970 0 43,393",VP Enrollment Management,william,131740468,192703,Manhattan College
Robert Byrnes 35,"X 185,139 0 19,788",Athletic Director,robert,131740468,192703,Manhattan College
