line1,line2,line3,key,fein,unitid,institutionname
DAVID VAN ZAN DT 60 00,"X X 653,464 0 581,250",PRESIDENT,david,133297197,193654,The New School
JOSEPH R GROMEK 1 00,X X 0 0 0,CHAIR,joseph,133297197,193654,The New School
GARRY CROWDER 1 00,X X 0 0 0,VICE CHAIR,garry,133297197,193654,The New School
SUSAN L FOOTE 1 00,X X 0 0 0,VICE CHAIR,susan,133297197,193654,The New School
ELLIOT STEIN 1 00,X X 0 0 0,VICE CHAIR,elliot,133297197,193654,The New School
HENRY H ARNHOLD 1 00,X 0 0 0,TRUSTEE,henry,133297197,193654,The New School
ARNOLD H ARONSON 1 00,X 0 0 0,TRUSTEE,arnold,133297197,193654,The New School
STEVEN H BLOOM 1 00,X 0 0 0,TRUSTEE,steven,133297197,193654,The New School
DOMINIQUE BLUHDORN 1 00,X 0 0 0,TRUSTEE,dominique,133297197,193654,The New School
JANE DE FLORIO 1 00,X 0 0 0,TRUSTEE,jane,133297197,193654,The New School
BETH RUDIN DEWOODY 1 00,X 0 0 0,TRUSTEE,beth,133297197,193654,The New School
DOUGLAS D DURST 1 00,X 0 0 0,TRUSTEE,douglas,133297197,193654,The New School
FRED DUST 1 00,X 0 0 0,TRUSTEE,fred,133297197,193654,The New School
RENAUD DUTREIL 1 00,X 0 0 0,TRUSTEE 1 00,renaud,133297197,193654,The New School
DAVID B FORD 1 00,X 0 0 0,TRUSTEE,david,133297197,193654,The New School
MICHAEL E GELLERT 1 00,X 0 0 0,TRUSTEE,michael,133297197,193654,The New School
PAULA GOULD 1 00,X 0 0 0,TRUSTEE,paula,133297197,193654,The New School
JEFFREY GURAL 1 00,X 0 0 0,TRUSTEE,jeffrey,133297197,193654,The New School
SUSAN U HALPERN 1 00,X 0 0 0,TRUSTEE,susan,133297197,193654,The New School
WILLIAM E HAVEMEYER 1 00,X 0 0 0,TRUSTEE,william,133297197,193654,The New School
ROBERT F HOERLE 1 00,X 0 0 0,TRUSTEE,robert,133297197,193654,The New School
MICHAELJ JOHNSTON 1 00,X 0 0 0,TRUSTEE,johnston,133297197,193654,The New School
SHEILA C JOHNSON 1 00,X 0 0 0,TRUSTEE,sheila,133297197,193654,The New School
CHRISTOPHER B KUENNE 1 00,X 0 0 0,TRUSTEE,christopher,133297197,193654,The New School
BEVIS LONGSTRETH 1 00,X 0 0 0,TRUSTEE,bevis,133297197,193654,The New School
NANCY LUBLIN 1 00,X 0 0 0,TRUSTEE,nancy,133297197,193654,The New School
SUSAN M LYNE 1 00,X 0 0 0,TRUSTEE,susan,133297197,193654,The New School
ANTHONY MANNARINO 1 00,X 0 0 0,TRUSTEE,anthony,133297197,193654,The New School
SAVANNAH MAZIYA 1 00,X 0 0 0,TRUSTEE,savannah,133297197,193654,The New School
ROBERT H MUNDHEIM 1 00,X 0 0 0,TRUSTEE,robert,133297197,193654,The New School
JONATHAN NEWCOMB 1 00,X 0 0 0,TRUSTEE,jonathan,133297197,193654,The New School
TIMOTHY L PORTER 1 00,X 0 0 0,TRUSTEE,timothy,133297197,193654,The New School
LINDA E RAPPAPORT 1 00,X 0 0 0,TRUSTEE,linda,133297197,193654,The New School
JOSHUA SAPAN 1 00,X 0 0 0,TRUSTEE,joshua,133297197,193654,The New School
BERNARD L SCHWARTZ 1 00,X 0 0 0,TRUSTEE,bernard,133297197,193654,The New School
LILIAN SHIAO—YEN WU 1 00,X 0 0 0,TRUSTEE,lilian,133297197,193654,The New School
STANLEY P SILVERSTEIN 1 00,X 0 0 0,TRUSTEE,stanley,133297197,193654,The New School
LEE SLAUGHTER 1 00,X 0 0 0,TRUSTEE,lee,133297197,193654,The New School
MALCOLM B SMITH 1 00,X 0 0 0,TRUSTEE,malcolm,133297197,193654,The New School
JULIEN J STUDLEY 1 00,X 0 0 0,TRUSTEE,julien,133297197,193654,The New School
JOHN LTISHMAN 1 00,X 0 0 0,TRUSTEE,john,133297197,193654,The New School
KAY UNGER 1 00,X 0 0 0,TRUSTEE,kay,133297197,193654,The New School
RANDALL S YANKER 1 00,X 0 0 0,TRUSTEE,randall,133297197,193654,The New School
WILLIAM D ZABEL 1 00,X 0 0 0,TRUSTEE,william,133297197,193654,The New School
JUDITH ZARIN 1 00,X 0 0 0,TRUSTEE,judith,133297197,193654,The New School
TIM MARSHALL 39 00,"X 491,614 0 45,980",PROVOST 1 00,tim,133297197,193654,The New School
ANN ADRIANCE 40 00,"x 67,589 0 7,644",VP CEA,ann,133297197,193654,The New School
VP CEA,ANDREW ATZERT 36 00,"X 211,309 0 45,111",cea,133297197,193654,The New School
ANDREW ATZERT 36 00,"X 211,309 0 45,111",VP GLOBAL EDUCATION 4 00,andrew,133297197,193654,The New School
FRANK BARLETI'A UNTIL 71413 40 00,"X 567,444 0 22,180",SVP FINANCE,frank,133297197,193654,The New School
PAMELA BESNARD UNTIL 72913 40 00,"X 156,466 0 25,871",SVP DEVELOPMENT,pamela,133297197,193654,The New School
CAROL CANTRELL 40 00,"X 265,032 0 50,774",SVP HR,carol,133297197,193654,The New School
LIA GARTNER 40 00,"x 244,054 0 47,060",VP FACILITIES,lia,133297197,193654,The New School
KERRY KRUNKEL FROM 1013 — 614 40 00,"x 109,000 0 1,697",SVP DEVELOPMENT,kerry,133297197,193654,The New School
ROY MOSKOWITZ 40 00,"X 349,209 0 52,590",VP LEGAL,roy,133297197,193654,The New School
ANAND PADMANABHAD FROM 114 40 00,X 0 0 0,SVP 1T,anand,133297197,193654,The New School
SHELLY REED 40 00,"X 568,738 0 20,809",SVP 1T UNTIL 2/14,shelly,133297197,193654,The New School
LINDA REIMER 40 00,"X 259,229 0 50,988",SVP STUDENT SERVICES,linda,133297197,193654,The New School
DONALD RESNICK 40 00,"X 415,062 0 39,009",SVP ENROLLMENT,donald,133297197,193654,The New School
MARY SANGER 40 00,"X 308,273 0 51,268",SVP ACADEMIC AFFAIRS,mary,133297197,193654,The New School
STEVE STABILE 40 00,"X 248,842 0 27,835",VP & TREASURER,steve,133297197,193654,The New School
PETER TABACK UNTIL 21114 40 00,"X 196,917 0 32,022",VICE PRESIDENT,peter,133297197,193654,The New School
STEPHANIE BROWNER 40 00,"X 389,980 0 36,740",DEAN,stephanie,133297197,193654,The New School
RICHARD KESSLER 40 00,"X 247,949 0 52,677",DEAN,richard,133297197,193654,The New School
WILLIAM MILBERG 40 00,"X 232,189 0 40,501",DEAN,william,133297197,193654,The New School
PIPPIN PARKER 40 00,"X 176,814 0 40,072",DEAN,pippin,133297197,193654,The New School
MICHAEL SCHOBER 40 00,"X 251,743 0 47,074",DEAN,michael,133297197,193654,The New School
DAVID SCOBEY 40 00,"X 319,680 0 29,462",DEAN,david,133297197,193654,The New School
JOEL TOWERS 40 00,"X 318,959 0 52,623",DEAN 0 00,joel,133297197,193654,The New School
SIMON COLLINS 40 00,"X 211,009 0 44,002",PROFESSOR,simon,133297197,193654,The New School
SHELLY FOX 40 00,"X 215,269 0 40,478",PROFESSOR,shelly,133297197,193654,The New School
PAUL GOLDBERGER 40 00,"X 211,263 0 33,153",JOSEPH URBAN PROFESSOR,paul,133297197,193654,The New School
JOSEPH URBAN PROFESSOR,WILLIAM MORRISH 40 00,"X 219,060 0 46,040",joseph,133297197,193654,The New School
WILLIAM MORRISH 40 00,"X 219,060 0 46,040",PROFESSOR,william,133297197,193654,The New School
ANN STOLER 40 00,"X 264,725 0 43,212",PROFESSOR,ann,133297197,193654,The New School
STEFANIA DE KENESSEY 40 00,"X 128,785 0 35,517","FORMER DEAN, CURRENT PROFESSOR",stefania,133297197,193654,The New School
"FORMER DEAN, CURRENT PROFESSOR",J ROBERT KERREY 40 00,"x 223,359 0 3,337",current,133297197,193654,The New School
J ROBERT KERREY 40 00,"x 223,359 0 3,337",PRESIDENT EMERITUS,robert,133297197,193654,The New School
BENJAMIN LEE 40 00,"X 329,344 0 47,072","FORMER VP, CURRENT PROFESSOR",benjamin,133297197,193654,The New School
"FORMER VP, CURRENT PROFESSOR",JOEL LESTER 40 00,"X 209,591 0 46,411",current,133297197,193654,The New School
JOEL LESTER 40 00,"X 209,591 0 46,411","FORMER DEAN,WAS PROFESSOR UNTIL 6/14",joel,133297197,193654,The New School
LISA SERVON 40 00,"X 187,862 0 24,793","FORMER DEAN, CURRENT PROFESSOR",lisa,133297197,193654,The New School
