line1,line2,line3,key,fein,unitid,institutionname
(1) RONALD D. ABRAMSON 2.00,"TRUSTEE x 0 . 0 . 0 ,",(2) KHALDOON KHALIFA AL M'UBARAK 2.00,ronald,135562308,193900,New York University
(2) KHALDOON KHALIFA AL M'UBARAK 2.00,TRUSTEE x 0 . 0 . 0 .,(3) RALPH ALEXANDER 2. 00,khalifa,135562308,193900,New York University
(3) RALPH ALEXANDER 2. 00,TRUSTEE x 0 _ 0 . 0 .,"(4) PHYLLIS PUTTER BARASCH 2 , 00",ralph,135562308,193900,New York University
"(4) PHYLLIS PUTTER BARASCH 2 , 00","VICE CHAIR x 0 , 0 , 0 ,",(5) MARIA BARTIROMO 2 . 00,phyllis,135562308,193900,New York University
(5) MARIA BARTIROMO 2 . 00,"TRUSTEE x 0 , 0 , 0 ,","(6) MARC H, BELL 2.00",maria,135562308,193900,New York University
"(6) MARC H, BELL 2.00","TRUSTEE x o , 0 . 0 _",(7) WILLIAM R. BERKLEY 4.00,marc,135562308,193900,New York University
(7) WILLIAM R. BERKLEY 4.00,"CHAIR DESIGNEE x x 0 . 0 , 0 .",(B) CASEY BOX 2.00,william,135562308,193900,New York University
(B) CASEY BOX 2.00,"TRUSTEE x 0 . 0 , 0 .",(9) BILL BREWER 2.00,casey,135562308,193900,New York University
(9) BILL BREWER 2.00,"TRUSTEE x 0 . 0 . o ,",(10) HEATHER CANNADY 2.00,bill,135562308,193900,New York University
(10) HEATHER CANNADY 2.00,TRUSTEE x o . 0 . 0 .,(11) SHARON CHANG 2.00,heather,135562308,193900,New York University
(11) SHARON CHANG 2.00,"TRUSTEE x 0 , 0 , 0,",(12) EVAN R. CHESLER 2.00,sharon,135562308,193900,New York University
(12) EVAN R. CHESLER 2.00,TRUSTEE x 0 . 0 . o .,"(13) STEVEN M. COHEN 2,00",evan,135562308,193900,New York University
"(13) STEVEN M. COHEN 2,00",TRUSTEE x o . 0 . 0 .,"(14) WILLIAM T. COMFORT, III 2.00",steven,135562308,193900,New York University
