line1,line2,line3,key,fein,unitid,institutionname
WARREN PROCCI 1 0,X X 0 0 0,TRUSTEE AND CHAIR,warren,135604699,197197,Wagner College
JEFFREY D FORCHELLI 1 0,X X,TRUSTEE AND VICE CHAIR,jeffrey,135604699,197197,Wagner College
ALETI'A KIPP DIAMOND 1 0,X X,TRUSTEE AND SECRETARY,kipp,135604699,197197,Wagner College
DAVID FRIEDMAN 1 0,X,TRUSTEE,david,135604699,197197,Wagner College
PAUL HADDAD 1 0,X,TRUSTEE,paul,135604699,197197,Wagner College
NANCI Z KAUFFMAN 1 0,X,TRUSTEE,nanci,135604699,197197,Wagner College
MARC LEBOVITZ 1 0,X,TRUSTEE,marc,135604699,197197,Wagner College
POLLY PECK—MOLES 1 0,X,TRUSTEE,polly,135604699,197197,Wagner College
DIANNE M POWERS 1 0,X X,TRUSTEE AND TREASURER,dianne,135604699,197197,Wagner College
WILLIAM RENSHAW 1 0,X,TRUSTEE,william,135604699,197197,Wagner College
BISHOP ROBERT RIMBO 1 0,X,TRUSTEE,bishop,135604699,197197,Wagner College
MAUREEN ROBINSON 1 0,X,TRUSTEE,maureen,135604699,197197,Wagner College
KIMBERLY H SPIRO 1 0,X,TRUSTEE,kimberly,135604699,197197,Wagner College
ANDREW CORTESE 1 0,X,TRUSTEE,andrew,135604699,197197,Wagner College
RICHARD GRASSO 1 0,X,TRUSTEE,richard,135604699,197197,Wagner College
JOHN H MYERS 1 0,X,TRUSTEE,john,135604699,197197,Wagner College
LORRAINE MCNEILL POPPER 1 0,X,TRUSTEE,lorraine,135604699,197197,Wagner College
RICHARD GUARASCI 60 0,"X X 347,865 99,509",PRESIDENT AND TRUSTEE,richard,135604699,197197,Wagner College
RICHARD MORGAN 1 0,X,TRUSTEE,richard,135604699,197197,Wagner College
MARY CARACAPPA—HURTADO 1 0,X,TRUSTEE,mary,135604699,197197,Wagner College
ALEX FOX 1 0,X,TRUSTEE,alex,135604699,197197,Wagner College
LOUISE KAUFMAN 1 0,X,TRUSTEE,louise,135604699,197197,Wagner College
LAURA GRAHAM 1 0,X 0 0 0,TRUSTEE,laura,135604699,197197,Wagner College
ANGELO G ARAIMO 50 0,"x 173,632 36,884",VP ENROLLMENT AND PLANNING,angelo,135604699,197197,Wagner College
WILLIAM E MEA 50 0,"x 199,381 79,559",VP FINANCE AND BUSINESS,william,135604699,197197,Wagner College
JOSEPH F ROMANO 50 0,"x 134,750 18,819",VP AND CHIEF OF STAFF,joseph,135604699,197197,Wagner College
LILY D MCNAIR 50 0,"x 178,503 72,383",PROVOST & VP ACADEMIC AFFAIRS,lily,135604699,197197,Wagner College
RUTA SHAH—GORDON 50 0,"x 101,754 29,718",ASSISTANT VP CAMPUS LIFE,ruta,135604699,197197,Wagner College
DAVID J MARTIN 50 0,"x 139,135 13,590",VP ADMINISTRATION,david,135604699,197197,Wagner College
FRANKLIN W YOUNG 50 0,"x 141,418 20,211",INTERIM VP INSTITUTIONAL ADVAN,franklin,135604699,197197,Wagner College
BASHIR MASON 50 0,"x 210,226 22,552",HEAD MEN'S BASKETBALL COACH,bashir,135604699,197197,Wagner College
WALTER C HAMELINE 50 0,"x 206,501 44,439",DIRECTOR OF ATHLETICS,walter,135604699,197197,Wagner College
JOHN A CARRESCIA 50 0,"X 128,664 0 33,138",ASSISTANT VP AND CONTROLLER,john,135604699,197197,Wagner College
THOMAS MASELLA 50 0,"x 124,928 30,829",ASSOCIATE HEAD FOOTBALL COACH,thomas,135604699,197197,Wagner College
GARY SULLIVAN 50 0,"x 117,666 10,486",PROFESSOR,gary,135604699,197197,Wagner College
