line1,line2,line3,key,fein,unitid,institutionname
ROBERT R DYSON 1 0,X 0 0 0,TRUSTEE,robert,141442493,192819,Marist College
ELLEN M HANCOCK 1 0,X X 0 0,CHAIR,ellen,141442493,192819,Marist College
THOMASJ WARD 1 0,X X 0 0,TREASURER,ward,141442493,192819,Marist College
R055 A MAURI 1 0,X X 0 0,VICE CHAIR,mauri,141442493,192819,Marist College
ELIZABETH M WOLF 1 0,X X 0 0,ASSISTANT SECRETARY,elizabeth,141442493,192819,Marist College
JAMES A CANNAVINO 1 0,X,TRUSTEE,james,141442493,192819,Marist College
JAMES M BARNES 1 0,X,TRUSTEE,james,141442493,192819,Marist College
JAMES R BARNES 1 0,X X,SECRETARY,james,141442493,192819,Marist College
TIMOTHY G BRIER 1 0,X,TRUSTEE,timothy,141442493,192819,Marist College
BRENDAN T BURKE 1 0,X,TRUSTEE,brendan,141442493,192819,Marist College
GERARD E DAHOWSKI 1 0,X,TRUSTEE,gerard,141442493,192819,Marist College
MARK V DENNIS 1 0,X,TRUSTEE,mark,141442493,192819,Marist College
MICHAELC DUFFY 1 0,X,TRUSTEE,duffy,141442493,192819,Marist College
STEVEN EFFRON 1 0,X,TRUSTEE,steven,141442493,192819,Marist College
MICHAEL G GARTLAND 1 0,X,TRUSTEE,michael,141442493,192819,Marist College
DR STANLEY E HARRIS 1 0,X,TRUSTEE,stanley,141442493,192819,Marist College
DANIEL G HICKEYSR 1 0,X,TRUSTEE,daniel,141442493,192819,Marist College
JAMES P HONAN 1 0,X,TRUSTEE,james,141442493,192819,Marist College
PATRICK M LAVELLE 1 0,X,TRUSTEE,patrick,141442493,192819,Marist College
CHRISTOPHER G MCCANN 1 0,X,TRUSTEE,christopher,141442493,192819,Marist College
GENINE MCCORMICK 1 0,X,TRUSTEE,mccormick,141442493,192819,Marist College
JOHN P O'SHEA 1 0,X,TRUSTEE,john,141442493,192819,Marist College
PATRICE M CONNOLLY PANTELLO 1 0,X,TRUSTEE,patrice,141442493,192819,Marist College
BRO SEAN SAMMON 1 0,X,TRUSTEE,bro,141442493,192819,Marist College
TIM TENNEY 1 0,X,TRUSTEE,tim,141442493,192819,Marist College
DR DENNISJ MURRAY 50 0,"X X 730,253 152,658",PRESIDENT,murray,141442493,192819,Marist College
LISA CATHIE 1 0,X,TRUSTEE,lisa,141442493,192819,Marist College
SUSAN COHEN 1 0,X,TRUSTEE,susan,141442493,192819,Marist College
LAURI DEJONG 1 0,X,TRUSTEE,lauri,141442493,192819,Marist College
BRO JOHN KLEIN 1 0,X,TRUSTEE,bro,141442493,192819,Marist College
SURESH KOTHAPALLI 1 0,X,TRUSTEE,suresh,141442493,192819,Marist College
JOHN PECCHIA 50 0,"x 253,598 27,267",VP BUSINESS AFFAIRS/CFO 1 0,john,141442493,192819,Marist College
SEAN P KAYLOR 50 0,"x 245,446 49,249",VP ADMISSION & ENROLLMENT,sean,141442493,192819,Marist College
DR THOMAS WERMUTH 50 0,"x 264,766 38,040",VP ACAD AFFAIR DEAN OF FACULTY,thomas,141442493,192819,Marist College
DEBORAH A DICAPRIO 50 0,"x 213,291 45,911",VP/DEAN OF STUDENT AFFAIRS,deborah,141442493,192819,Marist College
WILLIAM T THIRSK 50 0,"x 222,966 32,538",VP & CHIEF INFORMATION OFFICER,william,141442493,192819,Marist College
CHRISTOPHER DELGIORNO 50 0,"x 218,233 37,443",VP COLLEGE ADVANCEMENT,christopher,141442493,192819,Marist College
DR JOHN RITSCHDORFF 50 0,"x 188,341 38,129",ASSOC VP OF ACADEMIC AFFAIRS,john,141442493,192819,Marist College
JOSE MARTIN 50 0,"x 219,693 38,480",MEN'S BASKETBALL COACH,jose,141442493,192819,Marist College
DR ROGER NORTON 50 0,"x 224,367 41,947","DEAN, SCHOOL OF SCIENCE & MATH",roger,141442493,192819,Marist College
"DEAN, SCHOOL OF SCIENCE & MATH",brian giorgis 50 0,"x 186,299 50,961",math,141442493,192819,Marist College
brian giorgis 50 0,"x 186,299 50,961",women's basketball coach,brian,141442493,192819,Marist College
DR LEE MIRINGHOFF 50 0,"x 263,639 39,825",DIRECTOR OF MIPO,lee,141442493,192819,Marist College
DR BARBARA CARVALHO 50 0,"x 215,265 24,648",DIRECTOR OF MARIST POLL,barbara,141442493,192819,Marist College
DIRECTOR OF MARIST POLL,DR ROY HMEROLLI 50 0,"x 175,462 22,482",poll,141442493,192819,Marist College
