line1,line2,line3,key,fein,unitid,institutionname
ALBERTJ GRUNER DMD 7 50,X X 0 0 0,CHAIRMAN,gruner,141468399,193353,Mount Saint Mary College
ANNA HALPINE 2 00,X 0 0 0,BOARD MEMBER,anna,141468399,193353,Mount Saint Mary College
CHARLES FRANK 5 00,X 0 0 0,BOARD MEMBER,charles,141468399,193353,Mount Saint Mary College
CHRISTOPHER J GAWLEY ESQ 5 00,X 0 0 0,BOARD MEMBER,christopher,141468399,193353,Mount Saint Mary College
DAVID W MELBY 1 00,X 0 0 0,BOARD MEMBER,david,141468399,193353,Mount Saint Mary College
DUNCAN MAXWELL ANDERSON 3 00,X 0 0 0,BOARD MEMBER,duncan,141468399,193353,Mount Saint Mary College
ELIZABETH AILES 1 50,X 0 0 0,BOARD MEMBER,elizabeth,141468399,193353,Mount Saint Mary College
FRANK A MARCHETI'I 1 50,X 0 0 0,BOARD MEMBER,frank,141468399,193353,Mount Saint Mary College
GREG M COOPER CPA CSEP 2 50,X 0 0 0,BOARD MEMBER,greg,141468399,193353,Mount Saint Mary College
HARRISON H BUXTON III 3 00,X 0 0 0,BOARD MEMBER,harrison,141468399,193353,Mount Saint Mary College
JONATHAN GATSIK 3 00,X 0 0 0,BOARD MEMBER,jonathan,141468399,193353,Mount Saint Mary College
JOSEPH A O'LOUGHLIN 1 00,X 0 0 0,BOARD MEMBER,joseph,141468399,193353,Mount Saint Mary College
MARIANNA R KENNEDY ESQ 2 00,X 0 0 0,BOARD MEMBER (PARTIAL YEAR),marianna,141468399,193353,Mount Saint Mary College
ROBERT MURPHY 5 00,X 0 0 0,BOARD MEMBER,robert,141468399,193353,Mount Saint Mary College
SISTER ANN P STANKIEWICZ OP 2 00,X 0 0 0,BOARD MEMBER,ann,141468399,193353,Mount Saint Mary College
SISTER LUCY POVILONIS OP 2 50,X 0 0 0,BOARD MEMBER,lucy,141468399,193353,Mount Saint Mary College
SISTER MADELEINE TACY OP 1 00,X 0 0 0,BOARD MEMBER,madeleine,141468399,193353,Mount Saint Mary College
SISTER MARGARET ANDERSON OP 1 50,X 0 0 0,BOARD MEMBER,margaret,141468399,193353,Mount Saint Mary College
SR LORELLE ELCOCK OP 1 50,X 0 0 0,BOARD MEMBER,elcock,141468399,193353,Mount Saint Mary College
SUSAN D NAJORK 3 50,X 0 0 0,BOARD MEMBER,susan,141468399,193353,Mount Saint Mary College
THOMAS C DONAHOE 2 00,X 0 0 0,BOARD MEMBER,thomas,141468399,193353,Mount Saint Mary College
VERY REVEREND JOHN A LANGLOIS OP 50,X 0 0 0,BOARD MEMBER,john,141468399,193353,Mount Saint Mary College
WENDY E LONG ESQ 2 25,X 0 0 0,BOARD MEMBER,wendy,141468399,193353,Mount Saint Mary College
CATHLEEN KENNY 35 00,"VICE PRESIDENT FOR FINANCE AND ADMINISTRATION, X 160’422 0 33’083",BOARD SECRETARY,cathleen,141468399,193353,Mount Saint Mary College
ELAINE A O'GRADY 35 00,"X 101,151 0 11,307",DEAN OF ADMINISSIONS,elaine,141468399,193353,Mount Saint Mary College
FATHER KEVIN MACKIN 35 00,"X 205,725 0 32,694",PRESIDENT,kevin,141468399,193353,Mount Saint Mary College
IRIS TURKENKOPF 35 00,"X 130,380 0 18,997",VICE PRESIDENT FOR ACADEMIC AFFAIRS,iris,141468399,193353,Mount Saint Mary College
JAMES RAIMO 35 00,"X 142,780 0 32,642",VICE PRESIDENT FOR FACILITIES AND OPERATIONS,james,141468399,193353,Mount Saint Mary College
JOSEPH VALENTI 35 00,"X 143,062 0 31,434",VICE PRESIDENT FOR COLLEGE ADVANCEMENT,joseph,141468399,193353,Mount Saint Mary College
KELLY YOUGH 35 00,"x 79,814 0 24,813",DEAN FOR STUDENT DEVELOPMENT,kelly,141468399,193353,Mount Saint Mary College
MARY HINTON 35 00,"X 142,249 0 30,320",VICE PRESIDENT OF STRATEGIC PLANNING,mary,141468399,193353,Mount Saint Mary College
ANDREW WEISS 35 00,"X 125,044 0 23,205",BUSINESS DIVISION CHAIR,andrew,141468399,193353,Mount Saint Mary College
JAMES COTTER 35 00,"X 121,320 0 19,393",FACULTY,james,141468399,193353,Mount Saint Mary College
JOAN MILLER 35 00,"X 120,165 0 23,324",FACULTY,joan,141468399,193353,Mount Saint Mary College
MARGARET BUSSIGEL 35 00,"X 112,517 0 18,806",FACULTY,margaret,141468399,193353,Mount Saint Mary College
PAUL SCHWARTZ 35 00,"X 113,135 0 19,410",FACULTY,paul,141468399,193353,Mount Saint Mary College
