line1,line2,line3,key,fein,unitid,institutionname
WIllIam Fox 40,"X X 359,610 107,029",PreSIdent 0,william,150532239,195216,St Lawrence University
Jeffery Boyd 2,X X 0,ChaInnan 0,jeffery,150532239,195216,St Lawrence University
Barry Phelps 2,X X 0,VIce ChaIr 0,barry,150532239,195216,St Lawrence University
Karen Bruett 2,X 0,Trustee 0,karen,150532239,195216,St Lawrence University
Jo Ann Campbell 2,X 0,Trustee 0,jo,150532239,195216,St Lawrence University
Johnathon CardInal 2,X 0,Trustee 0,johnathon,150532239,195216,St Lawrence University
MIchael Clark 2,X 0,Trustee 0,michael,150532239,195216,St Lawrence University
George Cochran 2,X 0,Trustee 0,george,150532239,195216,St Lawrence University
Joan Corey 2,X 0,Trustee 0,joan,150532239,195216,St Lawrence University
Andre Couture 2,X 0,Trustee 0,andre,150532239,195216,St Lawrence University
WIllIam CrombIe 2,X 0,Trustee 0,william,150532239,195216,St Lawrence University
JennIfer ReIchert 2,X 0,Trustee 0,jennifer,150532239,195216,St Lawrence University
Gregory Ferrero 2,X 0,Trustee 0,gregory,150532239,195216,St Lawrence University
Sharee Freeman 2,X 0,Trustee 0,sharee,150532239,195216,St Lawrence University
Cheryl Grandeeld 2,X 0,Trustee 0,cheryl,150532239,195216,St Lawrence University
Samantha Guerry 2,X 0,Trustee 0,samantha,150532239,195216,St Lawrence University
ErIc Hanson 2,X 0,Trustee 0,eric,150532239,195216,St Lawrence University
ZhIhong Huang 2,X 0,Trustee 0,zhihong,150532239,195216,St Lawrence University
Peter Hunt 2,X 0,Trustee 0,peter,150532239,195216,St Lawrence University
Jay Ireland 2,X 0,Trustee 0,jay,150532239,195216,St Lawrence University
Sarah Johnson 2,X 0,Trustee 0,sarah,150532239,195216,St Lawrence University
R Sheldon Johnson 2,X 0,Trustee 0,sheldon,150532239,195216,St Lawrence University
Charles Kellogg 2,X 0,Trustee 0,charles,150532239,195216,St Lawrence University
DaVId MacAllaster 2,X 0,Trustee 0,david,150532239,195216,St Lawrence University
Katy MacKay 2,X 0,Trustee 0,katy,150532239,195216,St Lawrence University
PatrIck MartIn 2,X 0 0 0,Trustee 0,patrick,150532239,195216,St Lawrence University
Heather McCauley 2,X 0 0 0,Trustee 0,heather,150532239,195216,St Lawrence University
S GeorgIa Nugent 2,X 0 0 0,Trustee 0,georgia,150532239,195216,St Lawrence University
DaVId Ofﬁcer 2,X 0 0 0,Trustee 0,david,150532239,195216,St Lawrence University
Amanda Pearson 2,X 0 0 0,Trustee 0,amanda,150532239,195216,St Lawrence University
DerrIck PItts 2,X 0 0 0,Trustee 0,derrick,150532239,195216,St Lawrence University
MIchael Ranger 2,X 0 0 0,Trustee 0,michael,150532239,195216,St Lawrence University
Thomas SaddlemIre 2,X 0 0 0,Trustee 0,thomas,150532239,195216,St Lawrence University
MarIon Roach SmIth 2,X 0 0 0,Trustee 0,marion,150532239,195216,St Lawrence University
ElInor Tatum 2,X 0 0 0,Trustee 0,elinor,150532239,195216,St Lawrence University
James Tyler 2,X 0 0 0,Trustee 0,james,150532239,195216,St Lawrence University
Donna WInston 2,X 0 0 0,Trustee 0,donna,150532239,195216,St Lawrence University
Kathryn Mullaney 40,"X 181,619 0 27,082","Treasurer, retIred 3/ 14 0",kathryn,150532239,195216,St Lawrence University
LIsa CanIa 40,"X 162,808 0 25,288",Secretary 0,lisa,150532239,195216,St Lawrence University
Joseph Manory 40,X 0 0 0,"Treasurer, appomted 3/ 14",joseph,150532239,195216,St Lawrence University
Laura EIIIs 40,"X 225,528 0 24,652",SenIorAdVIsor 0,laura,150532239,195216,St Lawrence University
Val Lehr 40,"X 193,513 0 27,459",VP AcademIc AffaIrs 0,val,150532239,195216,St Lawrence University
JustIn SIpher 40,"X 182,581 0 33,185",VP InformatIon Tech 0,justin,150532239,195216,St Lawrence University
Jeff RIckey 40,"X 165,985 0 54,285",VP AdmISSIOnS 0,jeff,150532239,195216,St Lawrence University
Joe TollIver 40,"X 163,470 0 50,387",VP Student AffaIrs 0,joe,150532239,195216,St Lawrence University
Thomas Evelyn 40,"X 153,510 0 31,873",VP UnIv Comm 0,thomas,150532239,195216,St Lawrence University
Tom Pynchon 40,"X 159,364 0 62,919",VP Advancement 0,tom,150532239,195216,St Lawrence University
Margaret StraIt 40,"X 155,275 0 31,918",AthletIcs DIrector 0,margaret,150532239,195216,St Lawrence University
DaVId Hornung 40,"X 156,166 0 22,599",Faculty 0,david,150532239,195216,St Lawrence University
Greg Carvel 40,"X 146,676 0 31,178",Hockey Coach 0,greg,150532239,195216,St Lawrence University
Hockey Coach 0,Carol Gable 40,"X 134,461 0 51,657",hockey,150532239,195216,St Lawrence University
Carol Gable 40,"X 134,461 0 51,657",Assoc VP FInance 0,carol,150532239,195216,St Lawrence University
