line1,line2,line3,key,fein,unitid,institutionname
(1) Rev Mike Sanders 1 00,X X 0 0 0,Chairperson,mike,156019050,194569,Davis College
(2) Daniel Campbell CPA 3 00,X X 0 0 0,Vice Chairperson,daniel,156019050,194569,Davis College
(3) Jeff Coghlan 3 00,X X 0 0 0,Treasurer,jeff,156019050,194569,Davis College
(4) Janice Chandler 1 00,X X 0 0 0,Secretary,janice,156019050,194569,Davis College
(5) Dan Babcock 1 00,X 0 0 0,Board Trustee,dan,156019050,194569,Davis College
(6) Kenneth Barber 1 00,X 0 0 0,Board Trustee,kenneth,156019050,194569,Davis College
(7) Keli Cooper 3 00,X 0 0 0,Board Trustee,keli,156019050,194569,Davis College
(8) Bill Dykes 1 00,X 0 0 0,Board Member,bill,156019050,194569,Davis College
(9) John Farrell 1 00,X 0 0 0,Board Trustee,john,156019050,194569,Davis College
(10) Larry Gurley 1 00,X 0 0 0,Board Trustee,larry,156019050,194569,Davis College
(11) Rev Michael Houlihan 1 00,X 0 0 0,Board Trustee,michael,156019050,194569,Davis College
(12) Barbara King—Anobile 1 00,X 0 0 0,Board Trustee,barbara,156019050,194569,Davis College
(13) Dr James Little 1 00,X 0 0 0,Board Trustee,james,156019050,194569,Davis College
(14) Solomon Massey 2 00,X 0 0 0,Board Trustee,solomon,156019050,194569,Davis College
(15) Larry Ressor 1 00,X 0 0 0,Board Trustee,larry,156019050,194569,Davis College
(16) Gary Smith 1 00,X 0 0 0,Board Trustee,gary,156019050,194569,Davis College
(17) Rev James Walter 1 00,X 0 0 0,Board Trustee,james,156019050,194569,Davis College
(18) Dino Pedrone 40 00,"x 97,989 0 57,443",PreSIdent,dino,156019050,194569,Davis College
(19) Larry Ellis 40 00,"x 42,370 0 12,978",Director of Finance,larry,156019050,194569,Davis College
