line1,line2,line3,key,fein,unitid,institutionname
Dr Gene M BernsteIn 1 5,X 0 0 0,Trustee 1,gene,160743900,188641,Alfred University
MIchael N ChrIstakIs 1 5,X 0 0 0,Trustee 1,michael,160743900,188641,Alfred University
Carolyn S Clark 1 5,X 0 0 0,Trustee 1,carolyn,160743900,188641,Alfred University
MIchele R Cohen 1 5,X 0 0 0,Trustee 1,michele,160743900,188641,Alfred University
Gregory R Connors 1 5,X X 0 0 0,VIce ChaIrman 1,gregory,160743900,188641,Alfred University
Peter Cuneo 1 5,X 0 0 0,Trustee 1,peter,160743900,188641,Alfred University
Robert B Daggett 1 5,X 0 0 0,Trustee 1,robert,160743900,188641,Alfred University
Dr John A Edmond 1 5,X 0 0 0,Trustee 1,john,160743900,188641,Alfred University
Terry 5 GalanIs Jr 1 5,X 0 0 0,Trustee 1,terry,160743900,188641,Alfred University
LeslIeJ Gelber 1 5,X X 0 0 0,ChaIrman 1,gelber,160743900,188641,Alfred University
FrederIck A George 1 5,X 0 0 0,Trustee 1,frederick,160743900,188641,Alfred University
FrederIck W GIbbs 1 5,X 0 0 0,Trustee 1,frederick,160743900,188641,Alfred University
John GIlbertson 1 5,X 0 0 0,Trustee 1,john,160743900,188641,Alfred University
Jay L Haberland 1 5,X 0 0 0,Trustee 1,jay,160743900,188641,Alfred University
Stephen K HeIne 1 5,X 0 0 0,Trustee 1,stephen,160743900,188641,Alfred University
Thomas R HInman 1 5,X 0 0 0,Trustee 1,thomas,160743900,188641,Alfred University
James M Jordan 1 5,X 0 0 0,Trustee 1,james,160743900,188641,Alfred University
Charles P Joyce 1 5,X 0 0 0,Trustee 1,charles,160743900,188641,Alfred University
KrIsten M KlabIn 1 5,X 0 0 0,Trustee 1,kristen,160743900,188641,Alfred University
ChrIstIne P Kulp 1 5,X 0 0 0,Trustee 1,christine,160743900,188641,Alfred University
KeVIn H LIVIngston 1 5,X 0 0 0,Trustee 1,kevin,160743900,188641,Alfred University
Jeffrey S Maurer 1 5,X 0 0 0,Trustee 1,jeffrey,160743900,188641,Alfred University
Dr Robert R McComsey 1 5,X 0 0 0,Trustee 1,robert,160743900,188641,Alfred University
Robert K Meltzer 1 5,X 0 0 0,Trustee 1,robert,160743900,188641,Alfred University
VIctorIa A Meyer 1 5,X 0 0 0,Trustee 1,victoria,160743900,188641,Alfred University
Terry A MIchalske 1 5,X 0 0 0,Trustee 1,terry,160743900,188641,Alfred University
Dr MarlIn MIller Jr 1 5,X 0 0 0,Trustee 1,marlin,160743900,188641,Alfred University
Dr Joel P MoskOWItz 1 5,X 0 0 0,Trustee 1,joel,160743900,188641,Alfred University
RIchard W Mott 1 5,X 0 0 0,Trustee 1,richard,160743900,188641,Alfred University
Dr Robert H Perlman 1 5,X 0 0 0,Trustee 1,robert,160743900,188641,Alfred University
WIllIam Pullman 1 5,X 0 0 0,Trustee 1,william,160743900,188641,Alfred University
Dr Kathleen A RIchardson 1 5,X 0 0 0,Trustee 1,kathleen,160743900,188641,Alfred University
Robert L Stephens Jr 1 5,X 0 0 0,Trustee 1,robert,160743900,188641,Alfred University
Robert K Welter Jr 1 5,X 0 0 0,Trustee 1,robert,160743900,188641,Alfred University
Charles M Edmondson 35,"X 346,089 0 80,340",PreSIdent 0,charles,160743900,188641,Alfred University
GIOVIna M Lloyd 35,"X 176,610 0 40,609",VP Busmess & FInance 0,lloyd,160743900,188641,Alfred University
RIchard Stephens 35,"x 78,827 0 18,661",Provost 0,richard,160743900,188641,Alfred University
Laura CraIn 35,"x 81,815 0 39,203",Secretary 0,laura,160743900,188641,Alfred University
Dr Scott MIsture 37 5,"X 179,705 0 35,253",InamorI Professor 0,scott,160743900,188641,Alfred University
LeslIe Bellavance 37 5,"X 176,549 0 21,186",Dean School of Art & DeSIgn 0,leslie,160743900,188641,Alfred University
LInda Jones 37 5,"X 191,609 0 32,046",VP Statutory AffaIrs 0,linda,160743900,188641,Alfred University
Doreen Edwards 37 5,"X 182,663 0 38,986",Dean School of EngIneerIng 0,doreen,160743900,188641,Alfred University
BIll Hall 35,"X 131,886 0 37,563",Provost 0,bill,160743900,188641,Alfred University
