line1,line2,line3,key,fein,unitid,institutionname
LARRY AIELLO JR 50,X 0 0 0,TRUSTEE 0 00,larry,160743942,189705,Canisius College
TERESA M AMABILE 50,X 0 0 0,TRUSTEE 0 00,teresa,160743942,189705,Canisius College
REV MICHAEL G BOUGHTON 50,X 0 0 0,TRUSTEE 0 00,michael,160743942,189705,Canisius College
CATHERINE BURZIK 50,X 0 0 0,TRUSTEE 0 00,catherine,160743942,189705,Canisius College
JOSEPH J CASTIGLIA 50,X 0 0 0,TRUSTEE 0 00,joseph,160743942,189705,Canisius College
EDWARD BURKE—CAREY 50,X 0 0 0,TRUSTEE 0 00,edward,160743942,189705,Canisius College
ANN E CELANI 50,X 0 0 0,TRUSTEE 0 00,ann,160743942,189705,Canisius College
NELSON D CIVELLO 50,X 0 0 0,TRUSTEE 0 00,nelson,160743942,189705,Canisius College
JOHN R CONNOLLY 50,X 0 0 0,TRUSTEE 0 00,john,160743942,189705,Canisius College
REV JOSEPH s COSTANTINO 50,X 0 0 0,TRUSTEE 0 00,joseph,160743942,189705,Canisius College
REV ROCCO C DANZI SJ 50,X 0 0 0,TRUSTEE 0 00,rocco,160743942,189705,Canisius College
HON MARY GRACE DIEHL 50,X 0 0 0,TRUSTEE 0 00,hon,160743942,189705,Canisius College
MICHAELA ERVOLINA JR 50,X 0 0 0,TRUSTEE 0 00,michaela,160743942,189705,Canisius College
JENNIFER s FARRELL 50,X 0 0 0,TRUSTEE 0 00,jennifer,160743942,189705,Canisius College
HON LENORA B FOOTE—BEAVERs 50,X 0 0 0,TRUSTEE 0 00,hon,160743942,189705,Canisius College
REV BRIAN B FRAIN SJ 50,X 0 0 0,TRUSTEE 0 00,brian,160743942,189705,Canisius College
REV LOUIS T GARAVENTA SJ 50,X 0 0 0,TRUSTEE 0 00,louis,160743942,189705,Canisius College
RICHARD N GILBERT JR 50,X 0 0 0,TRUSTEE 0 00,richard,160743942,189705,Canisius College
ANTHONY B HABIB 50,X 0 0 0,TRUSTEE 0 00,anthony,160743942,189705,Canisius College
JOSEPH M HASSETI' 50,X 0 0 0,TRUSTEE 0 00,joseph,160743942,189705,Canisius College
REV JOHN F LIBENs 50,X 0 0 0,TRUSTEE 0 00,john,160743942,189705,Canisius College
CHRISTINE M LICATA—CULHANE 50,X 0 0 0,TRUSTEE 0 00,christine,160743942,189705,Canisius College
ALFRED F LUHR III 50,X 0 0 0,TRUSTEE 0 00,alfred,160743942,189705,Canisius College
DONALD T LYNCH 50,X 0 0 0,TRUSTEE 0 00,donald,160743942,189705,Canisius College
ANTHONY M MASIELLO 50,X 0 0 0,TRUSTEE 0 00,anthony,160743942,189705,Canisius College
JOSEPH D MCDONALD 50,X 0 0 0,TRUSTEE 0 00,joseph,160743942,189705,Canisius College
REV JOSEPH M MCSHANE SJ 50,X 0 0 0,TRUSTEE 0 00,joseph,160743942,189705,Canisius College
MICHAELJ MONTANTE 50,X 0 0 0,TRUSTEE 0 00,montante,160743942,189705,Canisius College
ACEA M MOSEY 50,X 0 0 0,TRUSTEE 0 00,mosey,160743942,189705,Canisius College
KENNETH F MYSZKA 50,X 0 0 0,TRUSTEE 0 00,kenneth,160743942,189705,Canisius College
REV LEO J O'DONOVAN SJ 50,X 0 0 0,TRUSTEE 0 00,leo,160743942,189705,Canisius College
RONALD A RACCUIA 50,X 0 0 0,TRUSTEE 0 00,ronald,160743942,189705,Canisius College
JAMEs E SHERWOOD 50,X 0 0 0,TRUSTEE 0 00,james,160743942,189705,Canisius College
DENNIs F STRIGL 50,X 0 0 0,TRUSTEE 0 00,dennis,160743942,189705,Canisius College
REV MICHAEL F TUNNEY SJ 50,X 0 0 0,TRUSTEE 0 00,michael,160743942,189705,Canisius College
LAWRENCE J VILARDO 50,X 0 0 0,TRUSTEE 0 00,lawrence,160743942,189705,Canisius College
BEN K WELLs 50,X 0 0 0,TRUSTEE 0 00,ben,160743942,189705,Canisius College
MR JOHN J HURLEY 40 00,"X 296,422 0 42,693",PRESIDENT 0 00,john,160743942,189705,Canisius College
DR RICHARD WALL 40 00,"X 167,765 0 57,757",VP — ACADEMIC AFFAIRS 0 00,richard,160743942,189705,Canisius College
MR PATRICK RICHEY 40 00,"X 168,342 0 12,593",VP — BUs & FINANCE (THRU 12/31/13) 0 00,patrick,160743942,189705,Canisius College
DR ELLEN CONLEY 40 00,"x 77,565 0 8,744",VP — STUDENT AFFAIRS (THRU 6/30/13) 0 00,ellen,160743942,189705,Canisius College
MR MARCO F BENEDETTI 40 00,"X 20,805 0 971",VP — BUSINESS & FINANCE 0 00,marco,160743942,189705,Canisius College
Ms TERRI MANGIONE 40 00,"X 123,507 0 10,190",VP — STUDENT AFFAIRS 0 00,terri,160743942,189705,Canisius College
Ms DIANNA CIVELLO 40 00,"X 135,798 0 11,433",INTERIM VP — INST ADVANCEMENT 0 00,dianna,160743942,189705,Canisius College
DR JOSEPH O'DONNELL 40 00,"X 168,417 0 43,741",PROFESSOR 0 00,joseph,160743942,189705,Canisius College
DR IAN REDPATH 40 00,"X 166,216 0 25,034",PROFESSOR 0 00,ian,160743942,189705,Canisius College
MARGARET MCCARTHY 40 00,"X 162,224 0 54,283",ASSOC VP — ACADEMIC AFFAIRS 0 00,margaret,160743942,189705,Canisius College
DR GEORGE PALUMBO 40 00,"X 150,951 0 22,863",PROFESSOR 0 00,george,160743942,189705,Canisius College
