line1,line2,line3,key,fein,unitid,institutionname
ClaIre LArnold 1 00,X 0 0 0,Trustee,claire,160743996,190983,Elmira College
Robert S Basel 1 00,X 0 0 0,Trustee,robert,160743996,190983,Elmira College
LInda A FrItts Esq 1 00,X X 0 0 0,Secretary,linda,160743996,190983,Elmira College
Thomas] HIlfIger 1 00,X 0 0 0,Trustee,hilfiger,160743996,190983,Elmira College
DanIel J Burke 1 00,X 0 0 0,Trustee,daniel,160743996,190983,Elmira College
AIIce R Holmes 1 00,X 0 0 0,Trustee,holmes,160743996,190983,Elmira College
George L Howell 1 00,X X 0 0 0,VIce—ChaIr,george,160743996,190983,Elmira College
Thomas A Lesrca 1 00,X 0 0 0,Trustee,thomas,160743996,190983,Elmira College
DorIs F MalesardI 1 00,X 0 0 0,Trustee,doris,160743996,190983,Elmira College
Martha M MatIuk 1 00,X 0 0 0,Trustee,martha,160743996,190983,Elmira College
Ronald 0 Champagne 1 00,"X X 7,676 0 0",Presrdent,ronald,160743996,190983,Elmira College
Robert G Moms 1 00,X X 0 0 0,ChaIrman,robert,160743996,190983,Elmira College
TakashI 0| 1 00,X 0 0 0,Trustee,takashi,160743996,190983,Elmira College
Robert C O'Leary 1 00,X 0 0 0,Trustee,robert,160743996,190983,Elmira College
WhItney T PosrllIco 1 00,X 0 0 0,Trustee,whitney,160743996,190983,Elmira College
Nancy R Ruffner 1 00,X 0 0 0,Trustee,nancy,160743996,190983,Elmira College
Janet HIndsley 1 00,X 0 0 0,Trustee,janet,160743996,190983,Elmira College
George H WInner 1 00,X 0 0 0,Trustee,george,160743996,190983,Elmira College
WIIIIam H Waldorf 1 00,X 0 0 0,Trustee,waldorf,160743996,190983,Elmira College
Fran WIlson 1 00,X 0 0 0,Trustee,fran,160743996,190983,Elmira College
Clare Van—den BlInk 1 00,X 0 0 0,Trustee,clare,160743996,190983,Elmira College
Susanne T Grennell 1 00,X 0 0 0,Trustee,susanne,160743996,190983,Elmira College
KatherIne Metzger 1 00,X 0 0 0,Trustee,katherine,160743996,190983,Elmira College
Robert W Ruble 40 00,"X 174,364 0 10,501",VP of AdmIn & FInance,robert,160743996,190983,Elmira College
JulIanne Baumann 40 00,"X 159,586 0 27,897",VP and Dean of Student LIf,julianne,160743996,190983,Elmira College
PatrIcIa Thompson 40 00,"X 158,964 0 15,757",VP of AthletIcs and MedIca,patricia,160743996,190983,Elmira College
Stephen Coleman 40 00,"x 153,804 0 7,777",Assoc Dean of Faculty and,stephen,160743996,190983,Elmira College
Kathleen Cohen 40 00,"X 143,682 0 15,975",Dean of FInancIal AId,kathleen,160743996,190983,Elmira College
LInda Pratt 40 00,"x 132,872 0 7,935",ExecutIve DIrector of Educ,linda,160743996,190983,Elmira College
Charles LIndsay 40 00,"X 105,284 0 17,865",Assoc Dean of Faculty and,charles,160743996,190983,Elmira College
James SIconolfI 40 00,"X 102,468 0 25,888",DIrector of DInIng Servrces,james,160743996,190983,Elmira College
Thomas K MeIer 0 00,"x 273,129 0 6,316",Former Chancellor,thomas,160743996,190983,Elmira College
