line1,line2,line3,key,fein,unitid,institutionname
(1) SISTER JOANNE COURNEEN RSM 2 00,X 0 0 0,BOARD MEMBER,joanne,160909446,196653,Trocaire College
(2) SISTER DIANE MATJE RSM 2 00,X 0 0 0,BOARD MEMBER,diane,160909446,196653,Trocaire College
(3) THOMASJ GAMBLE PHD 2 00,X 0 0 0,BOARD MEMBER,gamble,160909446,196653,Trocaire College
(4) BRIAN GOULD 2 00,X 0 0 0,BOARD MEMBER,brian,160909446,196653,Trocaire College
(5) LISA KIRISITS CPA 2 00,X 0 0 0,BOARD MEMBER,lisa,160909446,196653,Trocaire College
(6) MICHELE LADOUCEUR 2 00,X 0 0 0,BOARD MEMBER,michele,160909446,196653,Trocaire College
(7) TERESA LAWRENCE PHD 2 00,X 0 0 0,BOARD MEMBER,teresa,160909446,196653,Trocaire College
(8) CINDY RICH 2 00,X 0 0 0,BOARD MEMBER,cindy,160909446,196653,Trocaire College
(9) SISTER EILEEN O'CONNOR RSM 2 00,X 0 0 0,BOARD MEMBER,eileen,160909446,196653,Trocaire College
(10) SHARON HANSON 2 00,X X 0 0 0,BOARD CHAIR,sharon,160909446,196653,Trocaire College
(11) ROBERT MCDOW 2 00,X X 0 0 0,TREASURER,robert,160909446,196653,Trocaire College
(12) SIOBHAN SMITH 2 00,X 0 0 0,BOARD MEMBER,siobhan,160909446,196653,Trocaire College
(13) WILLIAM PALADINO 2 00,X 0 0 0,BOARD MEMBER,william,160909446,196653,Trocaire College
(14) SISTER SALLY WALZ RSM 2 00,X 0 0 0,BOARD MEMBER,sally,160909446,196653,Trocaire College
(15) JONATHAN SWIATKOWSKI CPA 2 00,X X 0 0 0,BOARD VICE CHAIR,jonathan,160909446,196653,Trocaire College
(16) SISTER MARY JEANNE THOMAS DANAHY RS 2 00,X 0 0 0,BOARD MEMBER,mary,160909446,196653,Trocaire College
(17) JAMES NOTARO PHD 2 00,X 0 0 0,BOARD MEMBER,james,160909446,196653,Trocaire College
(18) THOMAS QUATROCHE PHD 2 00,X 0 0 0,BOARD MEMBER,thomas,160909446,196653,Trocaire College
(19) MAUREEN A WINNERT 2 00,X 0 0 0,BOARD MEMBER,maureen,160909446,196653,Trocaire College
(20) SHARON PRISE AZURIN ESQ 2 00,X 0 0 0,BOARD MEMBER,sharon,160909446,196653,Trocaire College
(21) NANCY SHEEHAN RN JD 2 00,X 0 0 0,BOARD MEMBER,nancy,160909446,196653,Trocaire College
(22) BASSAM M DEEB PHD 40 00,"X 178,651 0 26,844",PRESIDENT,bassam,160909446,196653,Trocaire College
(23) JOHN HUDACK 40 00,"x 76,407 0 24,998",CHIEF FINANCIAL OFFICER,john,160909446,196653,Trocaire College
(24) RICHARD BERNECKI 40 00,"x 116,982 0 8,333",FORMER VP OF FINANCE & ADMINISTRATION,richard,160909446,196653,Trocaire College
