line1,line2,line3,key,fein,unitid,institutionname
(1) DERRY CONNOLLY 40 00,X X 0 0 0,PreSIdent 0 00,derry,200471061,462354,John Paul the Great Catholic University
(2) ALAN LANE 1 00,X X 0 0 0,Chair 0 00,alan,200471061,462354,John Paul the Great Catholic University
(3) PAUL COLUCCI 0 00,X 0 0 0,Director 0 00,paul,200471061,462354,John Paul the Great Catholic University
(4) PAUL POLITO o 00,X 0 0 0,Director 0 00,paul,200471061,462354,John Paul the Great Catholic University
(5) DON REZ JD 0 00,X 0 0 0,Director 0 00,don,200471061,462354,John Paul the Great Catholic University
(6) PAUL BROCK 0 00,X 0 0 0,Director 0 00,paul,200471061,462354,John Paul the Great Catholic University
(7) BETSY KOMIVES 0 00,X 0 0 0,Director 0 00,betsy,200471061,462354,John Paul the Great Catholic University
(8) MIKE MURPHY o 00,X 0 0 0,Director 0 00,mike,200471061,462354,John Paul the Great Catholic University
(9) DOMINIC IOCCO 1 00,X X 0 0 0,Secretary 0 00,dominic,200471061,462354,John Paul the Great Catholic University
(10) MARGOT KYD o 00,X 0 0 0,Director 0 00,margot,200471061,462354,John Paul the Great Catholic University
