line1,line2,line3,key,fein,unitid,institutionname
Robert B Sculthorpe 1 0,X X 0 0 0,Trustee and Chairman,robert,210634584,185572,Monmouth University
Marcia Sue Clever 1 0,X X 0 0 0,Trustee and Vice Chairman,marcia,210634584,185572,Monmouth University
James S Vaccaro 1 0,X X 0 0 0,Trustee and Treasurer,james,210634584,185572,Monmouth University
Michael A PlodWIck 1 0,X X 0 0 0,Trustee and Secretary,michael,210634584,185572,Monmouth University
Jerome P Amedeo 1 0,X 0 0 0,Trustee,jerome,210634584,185572,Monmouth University
Virginia 5 Bauer 1 0,X 0 0 0,Trustee,virginia,210634584,185572,Monmouth University
Francis V Bonello 1 0,X 0 0 0,Trustee,francis,210634584,185572,Monmouth University
Thomas D Beyer 1 0,X 0 0 0,Trustee,thomas,210634584,185572,Monmouth University
Judith Cerciello 1 0,X 0 0 0,Trustee,judith,210634584,185572,Monmouth University
Dennis M Coleman 1 0,X 0 0 0,Trustee,dennis,210634584,185572,Monmouth University
John C Conover III 1 0,X 0 0 0,Trustee,john,210634584,185572,Monmouth University
William P Dioguardi Jr 1 0,X 0 0 0,Trustee,william,210634584,185572,Monmouth University
Marti S Egger 1 0,X 0 0 0,Trustee,marti,210634584,185572,Monmouth University
John R Garbarino 1 0,X 0 0 0,Trustee,john,210634584,185572,Monmouth University
Jan Greenwood 1 0,X 0 0 0,Trustee,jan,210634584,185572,Monmouth University
Marianne Hesse 1 0,X 0 0 0,Trustee,marianne,210634584,185572,Monmouth University
Kenneth W Hitchner III 1 0,X 0 0 0,Trustee,kenneth,210634584,185572,Monmouth University
Frederick J Kaeli Jr 1 0,X 0 0 0,Trustee,frederick,210634584,185572,Monmouth University
Henry D Mercer III 1 0,X 0 0 0,Trustee,henry,210634584,185572,Monmouth University
ThomasJ MIchellI 1 0,X 0 0 0,Trustee,michelli,210634584,185572,Monmouth University
TaVIt O NaJarIan 1 0,X 0 0 0,Trustee,najarian,210634584,185572,Monmouth University
Jeana M Piscatelli 1 0,X 0 0 0,Trustee,jeana,210634584,185572,Monmouth University
Thomas A PorskIeVIes 1 0,X 0 0 0,Trustee,thomas,210634584,185572,Monmouth University
Steven J Pozycki 1 0,X 0 0 0,Trustee,steven,210634584,185572,Monmouth University
DaVId A Reale 1 0,X 0 0 0,Trustee,david,210634584,185572,Monmouth University
Carol A Stillwell 1 0,X 0 0 0,Trustee,carol,210634584,185572,Monmouth University
Michelle Spicer Toto 1 0,X 0 0 0,Trustee,michelle,210634584,185572,Monmouth University
Webster B Trammell Jr 1 0,X 0 0 0,Trustee,webster,210634584,185572,Monmouth University
Paul W Corliss 1 0,X 0 0 0,Life Trustee,paul,210634584,185572,Monmouth University
Alan E DaVIs 1 0,X 0 0 0,Life Trustee,alan,210634584,185572,Monmouth University
Judith Ann Eisenberg 1 0,X 0 0 0,Life Trustee,judith,210634584,185572,Monmouth University
Alfred L Ferguson 1 0,X 0 0 0,Life Trustee,alfred,210634584,185572,Monmouth University
Harold L Hodes 1 0,X 0 0 0,Life Trustee,harold,210634584,185572,Monmouth University
John H Kessler 1 0,X 0 0 0,Life Trustee,john,210634584,185572,Monmouth University
Robert E McAllan 1 0,X 0 0 0,Life Trustee,robert,210634584,185572,Monmouth University
Stephen M Parks 1 0,X 0 0 0,Life Trustee,stephen,210634584,185572,Monmouth University
William B Roberts 1 0,X 0 0 0,Life Trustee,william,210634584,185572,Monmouth University
Alfred J Schiavetti Jr 1 0,X 0 0 0,Life Trustee,alfred,210634584,185572,Monmouth University
Paul Brown 70 0,"X 223,693 0 37,040",PreSIdent as of 8/1/13,paul,210634584,185572,Monmouth University
William Craig 55 0,"X 277,354 0 82,915",VP for Finance,william,210634584,185572,Monmouth University
Thomas Pearson 55 0,"X 272,221 0 41,344",Provost & VP Aca Aff,thomas,210634584,185572,Monmouth University
Patricia Swannack 55 0,"X 254,030 0 44,131",VP for Administrative SerVIces,patricia,210634584,185572,Monmouth University
Grey Dimenna 55 0,"X 248,591 0 21,255",VP & General Counsel,grey,210634584,185572,Monmouth University
Mary Anne Nagy 55 0,"X 250,446 0 21,383",VP for Student SerVIces,mary,210634584,185572,Monmouth University
Marilyn McNeil 55 0,"X 245,153 0 39,946",VP/Director Athletics,marilyn,210634584,185572,Monmouth University
Robert McCaIg 55 0,"X 216,936 0 18,723",VP Enrollment Mgmt,robert,210634584,185572,Monmouth University
Edward Christensen 55 0,"X 215,331 0 45,102",VP/Info Mgmt,edward,210634584,185572,Monmouth University
Jason Kroll 55 0,"x 87,788 0 6,362",VP for External Affairs,jason,210634584,185572,Monmouth University
Paul Gaffney 55 0,"X 625,113 0 26,333",PreSIdent thru 7/31/13,paul,210634584,185572,Monmouth University
Datta Naik 40 0,"X 216,478 0 28,680",Dean—Grdt School & Cont Ed,datta,210634584,185572,Monmouth University
Stanton Green 40 0,"X 191,837 0 72,543",Dean—Sch Humanities/Social Sci,stanton,210634584,185572,Monmouth University
Anthony MacDonald 40 0,"X 189,436 0 35,924",Director of Urban Coast Inst,anthony,210634584,185572,Monmouth University
Director of Urban Coast Inst,Donald Moliver 40 0,"X 243,696 0 64,916",urban,210634584,185572,Monmouth University
Donald Moliver 40 0,"X 243,696 0 64,916",Endowed Chair/Dir Real Estate,donald,210634584,185572,Monmouth University
Endowed Chair/Dir Real Estate,King D Rice 40 0,"X 201,238 0 44,509",real,210634584,185572,Monmouth University
King D Rice 40 0,"X 201,238 0 44,509",Head Basketball Coach,king,210634584,185572,Monmouth University
