line1,line2,line3,key,fein,unitid,institutionname
JUDITH E CAMPBELL 1 0,X 0 0,TRUSTEE BEG 10/2013 0 0,judith,221487164,184348,Drew University
FRANK J CARNABUCI III 1 0,X 0 0,TRUSTEE 0 0,frank,221487164,184348,Drew University
WILLIAM M CICCHINO 1 0,X 0 0,TRUSTEE BEG 10/2013 0 0,william,221487164,184348,Drew University
C RORY CORRIGAN 1 0,X 0 0,TRUSTEE 0 0,rory,221487164,184348,Drew University
JOHN H CRAWFORD III 1 0,X 0 0,TRUSTEE 0 0,john,221487164,184348,Drew University
HUGH A D'ANDRADE 1 0,X 0 0,TRUSTEE 0 0,hugh,221487164,184348,Drew University
DONALD L DRAKEMAN 1 0,X 0 0,TRUSTEE 0 0,donald,221487164,184348,Drew University
D STUART DUNNAN 1 0,X 0 0,TRUSTEE 0 0,stuart,221487164,184348,Drew University
J ANTHONY EHINGER 1 0,X 0 0,TRUSTEE 0 0,anthony,221487164,184348,Drew University
EMILIA A FABRICANT 1 0,X 0 0,TRUSTEE 0 0,emilia,221487164,184348,Drew University
MICHELE E FABRIZIO 1 0,X 0 0,TRUSTEE 0 0,michele,221487164,184348,Drew University
THOMAS FICARRA 1 0,X 0 0,TRUSTEE BEG 02/2014 0 0,thomas,221487164,184348,Drew University
GAYLE E FITZPATRICK 1 0,X 0 0,TRUSTEE 0 0,gayle,221487164,184348,Drew University
WILLIAM M FREEMAN 1 0,X X 0 0,VICE CHAIRMAN 0 0,william,221487164,184348,Drew University
FREDRICK FUEST 1 0,X X 0 0,VICE CHAIRMAN 0 0,fredrick,221487164,184348,Drew University
GATES H HAWN 1 0,X 0 0,TRUSTEE 0 0,gates,221487164,184348,Drew University
PEGGY A JOHNSON 1 0,X 0 0,TRUSTEE 0 0,peggy,221487164,184348,Drew University
WILLIAM T KNOX 1 0,X 0 0,TRUSTEE 0 0,william,221487164,184348,Drew University
WILLIAM W LANDIS III 1 0,X 0 0,TRUSTEE 0 0,william,221487164,184348,Drew University
HWAIN C LEE 1 0,X 0 0,TRUSTEE 0 0,lee,221487164,184348,Drew University
KEVIN H MARINO 1 0,X 0 0,TRUSTEE 0 0,kevin,221487164,184348,Drew University
MARTIN MCLEE 1 0,X 0 0,TRUSTEE 0 0,martin,221487164,184348,Drew University
BETSY S MICHEL 1 0,X 0 0,TRUSTEE 0 0,betsy,221487164,184348,Drew University
EDWARD MOED 1 0,X 0 0,TRUSTEE 0 0,edward,221487164,184348,Drew University
LAWRENCE G MORRIS 1 0,X 0 0 0,TRUSTEE 00,lawrence,221487164,184348,Drew University
JEFFREY B NOSS 1 0,X 0 0 0,TRUSTEE 00,jeffrey,221487164,184348,Drew University
SUZANNE MERTZ SPERO 1 0,X 0 0 0,TRUSTEE 00,suzanne,221487164,184348,Drew University
GARY S STEIN 1 0,X X 0 0 0,SECRETARY 00,gary,221487164,184348,Drew University
JENNIFER VELEZ 1 0,X 0 0 0,TRUSTEE 00,jennifer,221487164,184348,Drew University
PAULINE WARDELL—SANKOH 1 0,X 0 0 0,TRUSTEE 00,pauline,221487164,184348,Drew University
MHLUAM CLARK 1 0,X 0 0 0,TRUSTEE THROUGH 08/2013 0 0,clark,221487164,184348,Drew University
RICHARD DOLAN 1 0,X 0 0 0,TRUSTEE THROUGH 12/2013 0 0,richard,221487164,184348,Drew University
LAURA OVERDECK 1 0,X 0 0 0,TRUSTEE THROUGH 05/2014 0 0,laura,221487164,184348,Drew University
PHILIP H HASELTON SR 1 0,X 0 0 0,TRUSTEE THROUGH 03/2014 0 0,philip,221487164,184348,Drew University
R055 E TRAPHAGEN JR 1 0,X 0 0 0,TRUSTEE THROUGH 03/2014 0 0,traphagen,221487164,184348,Drew University
VIVIAN BULL 35 0,"X X 211,609 0 24,874",PRESIDENT 0 0,vivian,221487164,184348,Drew University
CHRISTOPHER TAYLOR 35 0,"X 118,185 0 32,608",INTERIM DEAN OF CLA 0 0,christopher,221487164,184348,Drew University
INTERIM DEAN OF CLA 0 0,VIRGINIA SAMUEL CETUK 35 0,"X 111,807 0 79,331",cla,221487164,184348,Drew University
VIRGINIA SAMUEL CETUK 35 0,"X 111,807 0 79,331",INTERIM DEAN OF THEO 0 0,virginia,221487164,184348,Drew University
INTERIM DEAN OF THEO 0 0,MARK KOPENSKI 350,"X 188,024 0 37,437",theo,221487164,184348,Drew University
MARK KOPENSKI 350,"X 188,024 0 37,437",VP ENROLLMENT MAN 0 0,mark,221487164,184348,Drew University
VP ENROLLMENT MAN 0 0,ANDREW SCRIMGEOUR 35 0,"X 133,262 0 10,488",man,221487164,184348,Drew University
ANDREW SCRIMGEOUR 35 0,"X 133,262 0 10,488",DEAN OF THE LIBRARIES 0 0,andrew,221487164,184348,Drew University
DAVID MUHA 35 0,"X 103,478 0 13,693",CHEFCOMMUNKAUONS 00,david,221487164,184348,Drew University
SARA WALDRON 35 0,"X 170,205 0 22,235",INTERIM VP STU LIFE 0 0,sara,221487164,184348,Drew University
ROBERT READY 35 0,"X 147,024 0 23,913",DEAN GRAD SCHOOL 0 0,robert,221487164,184348,Drew University
KENNETH ALEXO 35 0,"X 203,506 0 34,707",VPADVANCEMENT 00,kenneth,221487164,184348,Drew University
RENEE OLSON 35 0,"x 99,862 0 7,595",INTERIM CCO 0 0,renee,221487164,184348,Drew University
JOSEPH KELLY 35 0,"X 158,836 0 36,565",AVP FINANCE/TREASURER 1 0,joseph,221487164,184348,Drew University
PAOLO CUCCHI 35 0,"X 173,236 0 19,736",PROFESSOR 0 0,paolo,221487164,184348,Drew University
FRANK OCCHIOGROSSO 35 0,"X 162,099 0 20,132",PROFESSOR 0 0,frank,221487164,184348,Drew University
WILLIAM BROWN 35 0,"x 145,199 0 6,650",DIRECTOR OF LEGAL AFFAIRS 0 0,william,221487164,184348,Drew University
PAMELA GUNTER—SMITH 35 0,"X 119,521 0 38,451",PROVOST THROUGH 06/30/2013 0 0,pamela,221487164,184348,Drew University
