line1,line2,line3,key,fein,unitid,institutionname
THOMAS P MAC MAHON 1 0,X X 0 0 0,CHAIR — TRUSTEE,thomas,221508627,186432,Saint Peter's University
FRANCIS A MCGRAIL 1 0,X X 0 0 0,VICE CHAIR — TRUSTEE,francis,221508627,186432,Saint Peter's University
CAROL B BASTEK EDD 1 0,X 0 0 0,TRUSTEE,carol,221508627,186432,Saint Peter's University
GLORIA BONILLA—SANTIAGO PHD 1 0,X 0 0 0,TRUSTEE,gloria,221508627,186432,Saint Peter's University
THOMAS D CARVER ESQ 1 0,X 0 0 0,TRUSTEE,thomas,221508627,186432,Saint Peter's University
BERNARD W CICIRELLI JR 1 0,X 0 0 0,TRUSTEE,bernard,221508627,186432,Saint Peter's University
ANNETI'E D CORBIN 1 0,X 0 0 0,TRUSTEE,corbin,221508627,186432,Saint Peter's University
EUGENE J CORNACCHIA PHD 55 0,"X X 331,570 0 91,053",EX—OFFICIO TRUSTEE — PRESIDENT,eugene,221508627,186432,Saint Peter's University
ROBERT A CUTRO 1 0,X 0 0 0,TRUSTEE,robert,221508627,186432,Saint Peter's University
FRANCIS FEKETE CPA 1 0,X 0 0 0,TRUSTEE,francis,221508627,186432,Saint Peter's University
ROBERTJ GOLDSTEIN 1 0,X 0 0 0,TRUSTEE,goldstein,221508627,186432,Saint Peter's University
JOSEPH GROMEK 1 0,X 0 0 0,TRUSTEE,joseph,221508627,186432,Saint Peter's University
MARK G KAHRER 1 0,X 0 0 0,TRUSTEE,mark,221508627,186432,Saint Peter's University
ROBERT G LAHlTA MD PHD 1 0,X 0 0 0,TRUSTEE,robert,221508627,186432,Saint Peter's University
RICHARD P LIBRETI'I 1 0,X 0 0 0,TRUSTEE,richard,221508627,186432,Saint Peter's University
KATHLEEN M MCKENNA ESQ 1 0,X 0 0 0,TRUSTEE,kathleen,221508627,186432,Saint Peter's University
PAMELA T MILLER 1 0,X 0 0 0,TRUSTEE,pamela,221508627,186432,Saint Peter's University
SUSAN P MITCHELL—ABBATE 1 0,X 0 0 0,TRUSTEE,susan,221508627,186432,Saint Peter's University
FRED W NlTTING CPA 1 0,X 0 0 0,TRUSTEE,fred,221508627,186432,Saint Peter's University
JOSEPH A PANEPINTO ESQ 1 0,X 0 0 0,TRUSTEE,joseph,221508627,186432,Saint Peter's University
SHARON A PASTORE 1 0,X 0 0 0,TRUSTEE,sharon,221508627,186432,Saint Peter's University
ANTHONY O PERGOLA ESQ 1 0,X 0 0 0,TRUSTEE,anthony,221508627,186432,Saint Peter's University
MADELINE ROMEU OD 1 0,X 0 0 0,TRUSTEE,madeline,221508627,186432,Saint Peter's University
FAUSTO ROTUNDO CPA 1 0,X 0 0 0,TRUSTEE,fausto,221508627,186432,Saint Peter's University
RALPH R RUSSO 1 0,X 0 0 0,TRUSTEE,ralph,221508627,186432,Saint Peter's University
VINCENTJ SULLIVAN SJ 55 0,X X 0 0 0,TRUSTEE (SEE SCHEDULE 0),sullivan,221508627,186432,Saint Peter's University
KATHLEEN A TYRRELL ESQ 1 0,X 0 0 0,TRUSTEE,kathleen,221508627,186432,Saint Peter's University
ELNARDOJ WEBSTER EDD 55 0,"x 100,008 0 1,629",TRUSTEE — GRANT PROJECT DIR,webster,221508627,186432,Saint Peter's University
TRUSTEE — GRANT PROJECT DIR,DENTON L STARGEL 55 0,"X 185,285 0 17,280",grant,221508627,186432,Saint Peter's University
DENTON L STARGEL 55 0,"X 185,285 0 17,280",VP OF FINANCE & BUSINESS,denton,221508627,186432,Saint Peter's University
MICHAELA FAZIO 55 0,"x 174,324 0 5,573",VP FOR ADVANCE & EXT AFFAIRS,michaela,221508627,186432,Saint Peter's University
JEFFREY HANDLER 55 0,"X 169,613 0 16,599",VP ENROLLMENT MGMT & MARKETING,jeffrey,221508627,186432,Saint Peter's University
MARYLOU YAM 55 0,"X 157,463 0 15,993",PROVOST/VP FOR ACADEMIC AFF,marylou,221508627,186432,Saint Peter's University
MICHAEL BRADEN SJ SEE SCH O 55 0,X 0 0 0,VP FOR MISSION & MINISTRY,michael,221508627,186432,Saint Peter's University
VIRGINIA BENDER 55 0,"x 133,971 0 8,266",SEC/SPECIAL ASST TO PRES,virginia,221508627,186432,Saint Peter's University
JOHN E DUNNE 55 0,"X 207,073 0 13,382",MENS' BASKETBALL COACH,john,221508627,186432,Saint Peter's University
SCHUH PROFESSOR,GERARD PROTOMASTRO 55 0,"x 138,034 0 6,045",schuh,221508627,186432,Saint Peter's University
GERARD PROTOMASTRO 55 0,"x 138,034 0 6,045",PROFESSOR OF MATHEMATICS,gerard,221508627,186432,Saint Peter's University
JAMES P JACOBSON 55 0,"x 134,537 0 8,266",ASSOC PROFESSOR OF EDUCATION,james,221508627,186432,Saint Peter's University
