line1,line2,line3,key,fein,unitid,institutionname
(1) Dr Peter Eden 40,"X 338,479 0 0",PreSIdent and voting Trustee 0,peter,222586208,247649,Landmark College
(2) Robert LeWIs 2 00,X 0 0 0,Trustee 0,robert,222586208,247649,Landmark College
(3) Robert Banta 1 00,X 0 0 0,Trustee 0,robert,222586208,247649,Landmark College
(4) Donna Baron 1 00,X 0 0 0,Trustee 0,donna,222586208,247649,Landmark College
(5) Francis Fairman 1 00,X 0 0 0,Trustee 0,francis,222586208,247649,Landmark College
(6) Jane Garzrlli 1 00,X 0 0 0,Trustee 0,jane,222586208,247649,Landmark College
(7) Linda Kaboolian 1 00,X 0 0 0,Trustee 0,linda,222586208,247649,Landmark College
(8) John D Lobrano 1 00,X 0 0 0,Trustee 0,john,222586208,247649,Landmark College
(9) Jon Moran 1 00,X 0 0 0,Trustee 0,jon,222586208,247649,Landmark College
(10) Steven Moschetta 1 00,X 0 0 0,Trustee 0,steven,222586208,247649,Landmark College
(11) Robert Munley III 1 00,X 0 0 0,Trustee 0,robert,222586208,247649,Landmark College
(12) Belle Brooks O'Brien 1 00,X 0 0 0,Trustee 0,belle,222586208,247649,Landmark College
(13) Nan Strauch 1 00,X 0 0 0,Trustee 0,nan,222586208,247649,Landmark College
(14) Diane Tarbell—Littman 1 00,X 0 0 0,Trustee 0,diane,222586208,247649,Landmark College
(15) Dr Brent Betit 40 00,"X 212,390 0 0",Senior Executive Vice PreSIdent 0,brent,222586208,247649,Landmark College
(16) Jon A MacClaren 40,"X 157,680 0 0",Treasurer 0,jon,222586208,247649,Landmark College
(17) Carol Nardino 40,"X 70,766 0 0",Secretery 0,carol,222586208,247649,Landmark College
(18) Corinne Bell 40,"X 103,713 0 0",Chief Technology Officer 0,corinne,222586208,247649,Landmark College
(19) Manju Banner]ee 40,"X 108,899 0 0",Vice PreSIdent and Director of LCIRT 0,manju,222586208,247649,Landmark College
(20) Tom Brown 40,"X 100,744 0 0",Director of Human Rescources 0,tom,222586208,247649,Landmark College
(21) William Cotter 1 00,X 0 0 0,Trustee 0,william,222586208,247649,Landmark College
(22) Dr Pola Rosen 1 00,X 0 0 0,Trustee 0,pola,222586208,247649,Landmark College
(23) Holly Hayes 1 00,X 0 0 0,Trustee 0,holly,222586208,247649,Landmark College
(25) Dale Herold 40,"X X 102,430 0 0",Vice PreSIdent of Enrollment Management 0,dale,222586208,247649,Landmark College
(26) Chelsea Gwyther 40,"X 111,662 0 0",Vice PreSIdent of Advancement 0,chelsea,222586208,247649,Landmark College
"Chartwell's PO Box 91337 Chicago IL60693 Food serVIce provrder 1,952,343","GPI Construction 436 Canal St Surte 101 Brattleboro VT 05301 Construction 488,007","Green Mountain Power PO Box 1611 Brattleboro VT05302 Electical serVIce 356,304",service,222586208,247649,Landmark College
"Green Mountain Power PO Box 1611 Brattleboro VT05302 Electical serVIce 356,304","Bread Loaf Corp 1293 Route 7 South Middlebury VT05753 Construction 318,930","Fuel Oil servrces 306,014",mountain,222586208,247649,Landmark College
