line1,line2,line3,key,fein,unitid,institutionname
WESLEY T DELLINGER 1 00,X X 0 0 0,CHAIR,wesley,231352354,213507,Lebanon Valley College
KATHERINE ] BISHOP 1 00,X X 0 0 0,VICE CHAIR,katherine,231352354,213507,Lebanon Valley College
GEORGE ] KING 1 00,X X 0 0 0,ASST TREASURER,george,231352354,213507,Lebanon Valley College
KRISTEN R ANGSTADT 1 00,X 0 0 0,TRUSTEE,kristen,231352354,213507,Lebanon Valley College
JEANNE D ARNOLD 1 00,X 0 0 0,TRUSTEE,jeanne,231352354,213507,Lebanon Valley College
JEFFREY BATES 1 00,X 520 0 0,STUDENT TRUSTEE (BEGINNING 5/1/14),jeffrey,231352354,213507,Lebanon Valley College
PHILIP BENESCH 40 00,"x 54,670 0 22,653",FACULTY TRUSTEE (BEGINNING 5/1/14),philip,231352354,213507,Lebanon Valley College
EDWARD D BREEN 1 00,X 0 0 0,TRUSTEE,edward,231352354,213507,Lebanon Valley College
TERENCE C BROWN 1 00,X 0 0 0,TRUSTEE,terence,231352354,213507,Lebanon Valley College
DAVID A CASS 1 00,X 0 0 0,TRUSTEE (BEGINNING 5/1/14),david,231352354,213507,Lebanon Valley College
SUSAN M CORBETI' 1 00,X 0 0 0,TRUSTEE,susan,231352354,213507,Lebanon Valley College
REV ALFRED T DAY III 1 00,X 0 0 0,TRUSTEE,alfred,231352354,213507,Lebanon Valley College
SUSANNE HARLEY DOMBROWSKI 1 00,X 0 0 0,TRUSTEE,susanne,231352354,213507,Lebanon Valley College
RONALD ] DRNEVICH 1 00,X 0 0 0,TRUSTEE (UNTIL 5/3/14),ronald,231352354,213507,Lebanon Valley College
JAMES G GLASGOW 1 00,X 0 0 0,TRUSTEE,james,231352354,213507,Lebanon Valley College
M LOUISE HESS 1 00,X 0 0 0,TRUSTEE,louise,231352354,213507,Lebanon Valley College
GREGORY ] HESSINGER 1 00,X 0 0 0,TRUSTEE (BEGINNING 5/1/14),gregory,231352354,213507,Lebanon Valley College
WENDIE DIMATTEO HOLSINGER 1 00,X 0 0 0,TRUSTEE,wendie,231352354,213507,Lebanon Valley College
MALCOLM L LAZIN 1 00,X 0 0 0,TRUSTEE (UNTIL 5/3/14),malcolm,231352354,213507,Lebanon Valley College
SETH MENDELSOHN 1 00,"X 9,000 0 0",TRUSTEE — ADJUNCT FACULTY,seth,231352354,213507,Lebanon Valley College
CARROLL SKIP MISSIMER 1 00,X 0 0 0,TRUSTEE,carroll,231352354,213507,Lebanon Valley College
CHESTER Q MOSTELLER 1 00,X 0 0 0,TRUSTEE,chester,231352354,213507,Lebanon Valley College
STEPHEN M NELSON 1 00,X 0 0 0,TRUSTEE,stephen,231352354,213507,Lebanon Valley College
KAT O'HARA 1 00,"X 1,927 0 0",STUDENT TRUSTEE,o'hara,231352354,213507,Lebanon Valley College
LYNN G PHILLIPS 1 00,X 0 0 0,TRUSTEE,lynn,231352354,213507,Lebanon Valley College
MICHAEL PITTARI 40 00,"x 58,333 0 21,022",FACULTY TRUSTEE,michael,231352354,213507,Lebanon Valley College
JEFFREY W ROBBINS 40 00,"x 69,694 0 21,121",FACULTY TRUSTEE,jeffrey,231352354,213507,Lebanon Valley College
ELLIOTT ROBINSON 1 00,X 0 0 0,TRUSTEE,elliott,231352354,213507,Lebanon Valley College
ELYSE E ROGERS 1 00,X 0 0 0,TRUSTEE,elyse,231352354,213507,Lebanon Valley College
KAREN A SCHMITI' 1 00,X 0 0 0,TRUSTEE,karen,231352354,213507,Lebanon Valley College
TRACEY A STOVER 1 00,X 0 0 0,TRUSTEE,tracey,231352354,213507,Lebanon Valley College
ALAN A SYMONETTE 1 00,X 0 0 0,TRUSTEE (UNTIL 5/3/14),alan,231352354,213507,Lebanon Valley College
RYAN H TWEEDIE 1 00,X 0 0 0,TRUSTEE,ryan,231352354,213507,Lebanon Valley College
ELIZABETH R UNGER 1 00,X 0 0 0,TRUSTEE,elizabeth,231352354,213507,Lebanon Valley College
ROBERT M VALDES 1 00,"X 8,768 0 0",STUDENT TRUSTEE (UNTIL 5/3/ 14),robert,231352354,213507,Lebanon Valley College
