line1,line2,line3,key,fein,unitid,institutionname
Reed D Auerbach 2 0,X 0 0 0,Trustee 0 0,reed,231352635,212577,Franklin and Marshall College
Lawrence 1 Bonchek 14 0,X X 0 0 0,Trustee 0 0,lawrence,231352635,212577,Franklin and Marshall College
Lawrence G Braitman 2 0,X 0 0 0,Trustee 0 0,lawrence,231352635,212577,Franklin and Marshall College
Stanley M Brand Esq 2 0,X 0 0 0,Trustee 0 0,stanley,231352635,212577,Franklin and Marshall College
Robert] Brooks Sr 3 0,X 0 0 0,Trustee 0 0,brooks,231352635,212577,Franklin and Marshall College
John Burness 3 0,X 0 0 0,Trustee 0 0,john,231352635,212577,Franklin and Marshall College
Douglas H Evans Esq 2 0,X 0 0 0,Trustee 0 0,douglas,231352635,212577,Franklin and Marshall College
Robert L Freedman 2 0,X 0 0 0,Trustee 0 0,robert,231352635,212577,Franklin and Marshall College
Richard M Fuller 2 0,X 0 0 0,Trustee 0 0,richard,231352635,212577,Franklin and Marshall College
Brian Hard 3 0,X 0 0 0,Trustee 0 0,brian,231352635,212577,Franklin and Marshall College
Patricia E Harris 2 0,X 0 0 0,Trustee 0 0,patricia,231352635,212577,Franklin and Marshall College
Brett 5 HanNood 2 0,X 0 0 0,Trustee 0 0,brett,231352635,212577,Franklin and Marshall College
Susan Kline Klehr 2 0,X 0 0 0,Trustee 0 0,susan,231352635,212577,Franklin and Marshall College
Barry 5 Lafer Esq 2 0,X 0 0 0,Trustee 0 0,barry,231352635,212577,Franklin and Marshall College
DaVId Lehman 2 0,X 0 0 0,Trustee 0 0,david,231352635,212577,Franklin and Marshall College
Stanley L LeVIn 2 0,X 0 0 0,Trustee 0 0,stanley,231352635,212577,Franklin and Marshall College
ErIc W Noll 2 0,X 0 0 0,Trustee 0 0,eric,231352635,212577,Franklin and Marshall College
Eric C Rackow 2 0,X 0 0 0,Trustee 0 0,eric,231352635,212577,Franklin and Marshall College
John L Rosenthal 3 0,X 0 0 0,Trustee 0 0,john,231352635,212577,Franklin and Marshall College
Raymond A Sanseverino Esq 2 0,X 0 0 0,Trustee 0 0,raymond,231352635,212577,Franklin and Marshall College
Mary L Schapiro 3 0,X 0 0 0,Trustee 0 0,mary,231352635,212577,Franklin and Marshall College
Henry B duP Smith 2 0,X 0 0 0,Trustee 0 0,henry,231352635,212577,Franklin and Marshall College
Robert H Smith 2 0,X 0 0 0,Trustee 0 0,robert,231352635,212577,Franklin and Marshall College
Beverly R Steinman 2 0,X 0 0 0,Trustee 0 0,beverly,231352635,212577,Franklin and Marshall College
H Art Taylor Esq 2 0,X 0 0 0,Trustee 0 0,taylor,231352635,212577,Franklin and Marshall College
Susan L Washburn 4 0,X X 0 0 0,Trustee 0 0,susan,231352635,212577,Franklin and Marshall College
Colleen R WeIs 2 0,X 0 0 0,Trustee 0 0,colleen,231352635,212577,Franklin and Marshall College
Benjamin] Winter 4 0,X X 0 0 0,Trustee 0 0,winter,231352635,212577,Franklin and Marshall College
Frances D Wolf 4 0,X X 0 0 0,Trustee 0 0,frances,231352635,212577,Franklin and Marshall College
Linda Yarden Esq 2 0,X 0 0 0,Trustee 0 0,linda,231352635,212577,Franklin and Marshall College
Daniel R Porterer|d 60 0,"X X 453,972 0 155,990",PreSIdent 0 0,daniel,231352635,212577,Franklin and Marshall College
Casundra Amundson 60 0,"X 157,515 0 43,793",VP for College Communications 0 0,amundson,231352635,212577,Franklin and Marshall College
Matthew K Eynon 50 0,"X 281,281 0 76,789",VP For College Advancement 0 0,matthew,231352635,212577,Franklin and Marshall College
Margaret L Hazlett 60 0,"X 100,426 0 55,032",Dean of the College 0 0,margaret,231352635,212577,Franklin and Marshall College
] Samual Houser 60 0,"X 163,325 0 53,869",Chief of Staff & Secretary 0 0,samual,231352635,212577,Franklin and Marshall College
Daniel G Lugo 60 0,"X 209,615 0 65,193",VP & Dean of AdmlSSlon & Finan 0 0,daniel,231352635,212577,Franklin and Marshall College
VP & Dean of AdmlSSlon & Finan 0 0,DaVId Proulx 60 0,"X 314,295 0 78,122",finan,231352635,212577,Franklin and Marshall College
DaVId Proulx 60 0,"X 314,295 0 78,122",VP for Finance & Administratio 0 0,david,231352635,212577,Franklin and Marshall College
Ann Steiner 60 0,"X 236,781 0 47,345",Former Provost & Dean of the F 0 0,ann,231352635,212577,Franklin and Marshall College
Alan Caniglia 40 0,"X 163,405 0 41,435",Sr Assoc Dean & VP 0 0,alan,231352635,212577,Franklin and Marshall College
Elizabeth Krapp 40 0,"X 157,346 0 69,890",Investment Office & Treasurer 0 0,elizabeth,231352635,212577,Franklin and Marshall College
D Grier Stephenson 40 0,"X 167,565 0 41,041",Professor Government 0 0,grier,231352635,212577,Franklin and Marshall College
Beth Throne 40 0,"X 170,649 0 32,219",AVP STUDENT & post grad devel 0 0,beth,231352635,212577,Franklin and Marshall College
AVP STUDENT & post grad devel 0 0,Kent Trachte 60 0,"X 111,061 0 22,262",post,231352635,212577,Franklin and Marshall College
Kent Trachte 60 0,"X 111,061 0 22,262",Dean of the College 0 0,kent,231352635,212577,Franklin and Marshall College
