line1,line2,line3,key,fein,unitid,institutionname
SUSAN E HUDGINS 20 00,X X 0 0 0,CHAIR,susan,231365953,211468,Cedar Crest College
JANE ISSACS LOWE 1 50,X X 0 0 0,VICE CHAIR,jane,231365953,211468,Cedar Crest College
CARMEN TWILLIE AMBAR ESQ 40 00,"X X 423,257 0 48,178",PRESIDENT,carmen,231365953,211468,Cedar Crest College
JOHN BASSLER JR 1 00,X 0 0 0,TRUSTEE,john,231365953,211468,Cedar Crest College
JONIJ BERNER 1 00,X 0 0 0,TRUSTEE,berner,231365953,211468,Cedar Crest College
TERRY CAPUANO 1 00,X 0 0 0,TRUSTEE,terry,231365953,211468,Cedar Crest College
DR JOHN A CIGLIANO 1 00,X 0 0 0,TRUSTEE,john,231365953,211468,Cedar Crest College
SOCKNA MOMIE CISSE 1 00,X 0 0 0,TRUSTEE,cisse,231365953,211468,Cedar Crest College
DR RONALD FELDMAN 1 00,X 0 0 0,TRUSTEE,ronald,231365953,211468,Cedar Crest College
SYLVIA BETZ GARDNER 1 00,X 0 0 0,TRUSTEE,sylvia,231365953,211468,Cedar Crest College
PHYLLIS GRUBE 1 00,X 0 0 0,TRUSTEE,phyllis,231365953,211468,Cedar Crest College
SUSAN A HELLER 1 00,X 0 0 0,TRUSTEE,susan,231365953,211468,Cedar Crest College
DAVID P KELLER 1 00,X 0 0 0,TRUSTEE,david,231365953,211468,Cedar Crest College
LUCIE LAPOVSKY PHD 1 00,X 0 0 0,TRUSTEE,lucie,231365953,211468,Cedar Crest College
VIRGINIA PITYO MIHALIK 1 00,X 0 0 0,TRUSTEE,virginia,231365953,211468,Cedar Crest College
SAMUEL MIRANDAJR 1 00,X 0 0 0,TRUSTEE,samuel,231365953,211468,Cedar Crest College
HERBERT MOREY 1 00,X 0 0 0,TRUSTEE,herbert,231365953,211468,Cedar Crest College
CYNTHIA D NEWMAN 1 00,X 0 0 0,TRUSTEE,newman,231365953,211468,Cedar Crest College
DR LORRAINE SOISSON 1 00,X 0 0 0,TRUSTEE,lorraine,231365953,211468,Cedar Crest College
MICHAEL STOUDT JR 1 00,X 0 0 0,TRUSTEE,michael,231365953,211468,Cedar Crest College
JENNIFER KROEBER TSE 1 00,X 0 0 0,TRUSTEE,jennifer,231365953,211468,Cedar Crest College
KAREN WAGNER 1 00,X 0 0 0,TRUSTEE,karen,231365953,211468,Cedar Crest College
HELENE M WHITAKER 1 00,X 0 0 0,TRUSTEE,helene,231365953,211468,Cedar Crest College
DR BLENDAJ WILSON 1 00,X 0 0 0,TRUSTEE,wilson,231365953,211468,Cedar Crest College
LINDA OLEKSIAK ZEMBRON 1 00,X 0 0 0,TRUSTEE,linda,231365953,211468,Cedar Crest College
DAVID FINN 1 00,X 0 0 0,UFETRUSTEE,david,231365953,211468,Cedar Crest College
DR ALICE ANNE MILLER 1 00,X 0 0 0,UFETRUSTEE,alice,231365953,211468,Cedar Crest College
DR ROLAND L SIGAL 1 00,X 0 0 0,UFETRUSTEE,roland,231365953,211468,Cedar Crest College
DR ANNE OKAL WINKLER 1 00,X 0 0 0,UFETRUSTEE,anne,231365953,211468,Cedar Crest College
MARY ALICE OZECHOSKI 40 00,"x 71,925 0 3,522",VP STUDENT AFFAIRS,mary,231365953,211468,Cedar Crest College
SUSAN ARNOLD 40 00,"x 103,391 0 6,170",VPINSTHTHIONALADVANCEMENT,susan,231365953,211468,Cedar Crest College
ELIZABETH MEADE 40 00,"x 123,915 0 8,020",PROVOST,elizabeth,231365953,211468,Cedar Crest College
GAETAN GLANNINI 40 00,"x 100,294 0 6,509",DEAN OF SAGE,gaetan,231365953,211468,Cedar Crest College
DEAN OF SAGE,MAYNARD CRESSMAN 40 00,"x 120,997 0 8,745",sage,231365953,211468,Cedar Crest College
MAYNARD CRESSMAN 40 00,"x 120,997 0 8,745",ASSOCIATE PROFESSOR OF POL,maynard,231365953,211468,Cedar Crest College
ASSOCIATE PROFESSOR OF POL,WENDY ROBB 40 00,"X 114,028 0 12,857",pol,231365953,211468,Cedar Crest College
WENDY ROBB 40 00,"X 114,028 0 12,857",CHAIR/DIRECTOR OF GRADUATE,wendy,231365953,211468,Cedar Crest College
ROXANNE AMICO 40 00,"X 100,738 0 12,962",PROFESSOR,roxanne,231365953,211468,Cedar Crest College
SANDRA LEH 40 00,"X 102,182 0 10,907",PROFESSOR,sandra,231365953,211468,Cedar Crest College
