line1,line2,line3,key,fein,unitid,institutionname
RICHARD GESCHKE ESQ 5 00,X X 0 0 0,CHAIR,richard,231365966,215691,Rosemont College
DAVID J LOGAN 1 00,X X 0 0 0,VICE CHAIR,david,231365966,215691,Rosemont College
SHARON CLARK 1 00,X X 0 0 0,SECRETARY,sharon,231365966,215691,Rosemont College
PATRICIA PHILLIPS SHCJ 1 00,X X 0 0 0,TREASURER,patricia,231365966,215691,Rosemont College
SHARON LATCHAW HIRSH PHD 50 00,"X X 236,578 0 19,855",PRESIDENT,sharon,231365966,215691,Rosemont College
MARY ANN BUCKLEY SHCJ 1 00,X 0 0 0,TRUSTEE,mary,231365966,215691,Rosemont College
CATHIE COLEMAN—DICKSON 1 00,X 0 0 0,TRUSTEE,cathie,231365966,215691,Rosemont College
GERARD P CUDDY 1 00,X 0 0 0,TRUSTEE,gerard,231365966,215691,Rosemont College
CHARLES] CURRIE SJ 1 00,X 0 0 0,TRUSTEE,currie,231365966,215691,Rosemont College
MARGARET DOYLE SHCJ 1 00,X 0 0 0,TRUSTEE,margaret,231365966,215691,Rosemont College
MARIA A FEELEY ESQ 1 00,X 0 0 0,TRUSTEE,maria,231365966,215691,Rosemont College
STEPHEN P FERA 1 00,X 0 0 0,TRUSTEE,stephen,231365966,215691,Rosemont College
SEAN H FITZPATRICK 1 00,X 0 0 0,TRUSTEE,sean,231365966,215691,Rosemont College
JOHN GILLEN 1 00,X 0 0 0,TRUSTEE,john,231365966,215691,Rosemont College
WILLIAM J GREEN 1 00,X 0 0 0,TRUSTEE,william,231365966,215691,Rosemont College
SANDRA LINCOLN SHCJ PHD 1 00,X 0 0 0,TRUSTEE,sandra,231365966,215691,Rosemont College
CLARE F MACKIE 1 00,X 0 0 0,TRUSTEE,clare,231365966,215691,Rosemont College
ANN MARSHALL 1 00,X 0 0 0,TRUSTEE,ann,231365966,215691,Rosemont College
ROBERT] MASSA ED D 1 00,X 0 0 0,TRUSTEE,massa,231365966,215691,Rosemont College
EILEEN MCDEVITT SHCJ 1 00,X 0 0 0,TRUSTEE,eileen,231365966,215691,Rosemont College
MARIANNE MCGONIGLE 1 00,X 0 0 0,TRUSTEE,marianne,231365966,215691,Rosemont College
MARK NICOLETTI 1 00,X 0 0 0,TRUSTEE,mark,231365966,215691,Rosemont College
PATRICIA A PILIA PHD 1 00,X 0 0 0,TRUSTEE,patricia,231365966,215691,Rosemont College
MARGO B POLETT 1 00,X 0 0 0,TRUSTEE,margo,231365966,215691,Rosemont College
SCOTT R REIDENBACH ESQ 1 00,X 0 0 0,TRUSTEE,scott,231365966,215691,Rosemont College
RONALD R REMICK PHD MBA 1 00,X 0 0 0,TRUSTEE,ronald,231365966,215691,Rosemont College
KATHLEEN M ROTONDARO 1 00,X 0 0 0,TRUSTEE,kathleen,231365966,215691,Rosemont College
JUDITH WILKINSON 1 00,X 0 0 0,TRUSTEE,judith,231365966,215691,Rosemont College
VERONICA AHERN ESQ 1 00,X 0 0 0,HONORARY TRUSTEE (NON—VOTING),veronica,231365966,215691,Rosemont College
MARION L DAILEY 1 00,X 0 0 0,HONORARY TRUSTEE (NON—VOTING),marion,231365966,215691,Rosemont College
ELIZABETH FITZMAURICE SHCJ 1 00,X 0 0 0,HONORARY TRUSTEE (NON—VOTING),elizabeth,231365966,215691,Rosemont College
MARGARET SACHS HEALEY 1 00,X 0 0 0,HONORARY TRUSTEE (NON—VOTING),margaret,231365966,215691,Rosemont College
PAULINE M MCSHAIN SHCJ 1 00,X 0 0 0,HONORARY TRUSTEE (NON—VOTING),pauline,231365966,215691,Rosemont College
MARGARET MARY SHERRY 1 00,X 0 0 0,HONORARY TRUSTEE (NON—VOTING),margaret,231365966,215691,Rosemont College
RANDY L ELDRIDGE DBA CPA 50 00,"X 101,916 0 13,315",CFO,randy,231365966,215691,Rosemont College
KEVIN MCINTYRE 40 00,"X 119,841 0 15,300",VP ENROLLMENT MANAGEMENT/ADMISSIONS,kevin,231365966,215691,Rosemont College
B CHRISTOPHER DOUGHERTY PHD 40 00,"X 115,617 0 25,740",PROVOST/VP ACADEMIC AFFAIRS,christopher,231365966,215691,Rosemont College
CHRISTYN MORAN 40 00,"x 88,224 0 24,733",VP COLLEGE RELATIONS,moran,231365966,215691,Rosemont College
