line1,line2,line3,key,fein,unitid,institutionname
JAMES T HARRIS 60 00,"X X 454,678 0 252,683",PRESIDENT 30,james,231386178,216852,Widener University-Main Campus
NICHOLAS TRAINOR 2 00,X X 0 0 0,CHAIRMAN OF THE BOARD 0 00,nicholas,231386178,216852,Widener University-Main Campus
JOHN H TILELLI JR 2 00,X X 0 0 0,VICE CHAIR OF THE BOARD 0 00,john,231386178,216852,Widener University-Main Campus
PAUL BEIDEMAN 2 00,X X 0 0 0,TREASURER OF THE BOARD 0 00,paul,231386178,216852,Widener University-Main Campus
EUGENE MCGURK JR 2 00,X X 0 0 0,SECRETARY OF THE BOARD 0 00,eugene,231386178,216852,Widener University-Main Campus
DANIEL BORISLOW 2 00,X 0 0 0,TRUSTEE 0 00,daniel,231386178,216852,Widener University-Main Campus
THOMAS BOWN II 2 00,X 0 0 0,TRUSTEE 0 00,thomas,231386178,216852,Widener University-Main Campus
ANTHONY BRI'I'I'ON JR 2 00,X 0 0 0,TRUSTEE 0 00,anthony,231386178,216852,Widener University-Main Campus
LESLIE A BRUN 2 00,X 0 0 0,TRUSTEE 0 00,leslie,231386178,216852,Widener University-Main Campus
LEANNE CARET 2 00,X 0 0 0,TRUSTEE 0 00,leanne,231386178,216852,Widener University-Main Campus
BARBARA CHAMBERLAIN 2 00,X 0 0 0,TRUSTEE 0 00,barbara,231386178,216852,Widener University-Main Campus
CHRISTINA DELVA 2 00,X 0 0 0,TRUSTEE 0 00,christina,231386178,216852,Widener University-Main Campus
JEFFERY FLYNN 2 00,X 0 0 0,TRUSTEE 0 00,jeffery,231386178,216852,Widener University-Main Campus
JAMES HARGADON 2 00,X 0 0 0,TRUSTEE 0 00,james,231386178,216852,Widener University-Main Campus
IRA HARKAW 2 00,X 0 0 0,TRUSTEE 0 00,ira,231386178,216852,Widener University-Main Campus
DANIEL HARTNEY 2 00,X 0 0 0,TRUSTEE 0 00,daniel,231386178,216852,Widener University-Main Campus
JAMES HIRSCHMANN III 2 00,X 0 0 0,TRUSTEE 0 00,james,231386178,216852,Widener University-Main Campus
JAMES MACK III 2 00,X 0 0 0,TRUSTEE 0 00,james,231386178,216852,Widener University-Main Campus
KATHLEEN MCNICHOLAS 2 00,X 0 0 0,TRUSTEE 0 00,kathleen,231386178,216852,Widener University-Main Campus
DAVID OSKIN 2 00,X 0 0 0,HONORARY CHAIR 0 00,david,231386178,216852,Widener University-Main Campus
THOMAS SAGER 2 00,X 0 0 0,TRUSTEE 0 00,thomas,231386178,216852,Widener University-Main Campus
JOHN SCHMUTZ 2 00,X 0 0 0,TRUSTEE 0 00,john,231386178,216852,Widener University-Main Campus
RONALD STEAD 2 00,X 0 0 0,TRUSTEE 0 00,ronald,231386178,216852,Widener University-Main Campus
MIN SUH ESQ 2 00,X 0 0 0,TRUSTEE 0 00,min,231386178,216852,Widener University-Main Campus
VITO VERNI 2 00,X 0 0 0,TRUSTEE 0 00,vito,231386178,216852,Widener University-Main Campus
RICHARD TAN 2 00,X 0 0 0,TRUSTEE 0 00,richard,231386178,216852,Widener University-Main Campus
BRIAN TIERNEY 2 00,X 0 0 0,TRUSTEE 0 00,brian,231386178,216852,Widener University-Main Campus
SOPHIA WISNIESKA 2 00,X 0 0 0,TRUSTEE 0 00,sophia,231386178,216852,Widener University-Main Campus
STEPHEN WYNNE 2 00,X 0 0 0,TRUSTEE 0 00,stephen,231386178,216852,Widener University-Main Campus
PETER ZACHARKIW 2 00,X 0 0 0,TRUSTEE 0 00,peter,231386178,216852,Widener University-Main Campus
JOSEPH J BAKER 60 00,"X 303,713 0 81,947",SR VP FINANCE & ADMIN 1 30,joseph,231386178,216852,Widener University-Main Campus
STEVE WILHITE 60 00,"X 291,633 0 78,995",SR VP PROVOST 0 00,steve,231386178,216852,Widener University-Main Campus
LINDA S DURANT 60 00,"X 257,670 0 64,991",SR VP ADVANCEMENT 0 00,linda,231386178,216852,Widener University-Main Campus
LINDA L AMMONS 60 00,"X 347,074 0 34,899",DEAN SCHOOL OF LAW 0 00,linda,231386178,216852,Widener University-Main Campus
J PATRICK KELLY 40 00,"X 305,969 0 35,606",PROFESSOR OF LAW 0 00,patrick,231386178,216852,Widener University-Main Campus
MICHAEL COZZILLIO 40 00,"X 274,945 0 37,438",PROFESSOR OF LAW 0 00,michael,231386178,216852,Widener University-Main Campus
JOHN L GEDID 40 00,"X 272,671 0 35,913",PROFESSOR OF LAW 0 00,john,231386178,216852,Widener University-Main Campus
ROBERT L HAYMAN 40 00,"X 241,590 0 27,684",PROFESSOR OF LAW 0 00,robert,231386178,216852,Widener University-Main Campus
