line1,line2,line3,key,fein,unitid,institutionname
Robert Duffett 40 00,"X X 48,192 0 141,361",PreSIdent,robert,231409675,212133,Eastern University
ArthurW HIll 1 00,X X 0 0 0,Board Chair,hill,231409675,212133,Eastern University
W Donald Gough 1 00,X X 0 0 0,Treasurer,donald,231409675,212133,Eastern University
Ronald B Evans 1 00,X X 0 0 0,Secretary,ronald,231409675,212133,Eastern University
Michael Mandalino 1 00,X 0 0 0,Board Member,michael,231409675,212133,Eastern University
Mar]ean B Brauch 1 00,X 0 0 0,Board Member,brauch,231409675,212133,Eastern University
Delores Brisbon 1 00,X 0 0 0,Board Member,delores,231409675,212133,Eastern University
Jacob Chatman 1 00,X 0 0 0,Board Member,jacob,231409675,212133,Eastern University
Steve Clemens 1 00,X 0 0 0,Board Member,steve,231409675,212133,Eastern University
Rev Danny Cortes 1 00,X 0 0 0,Board Member,danny,231409675,212133,Eastern University
Rev Albert G DaVIs Jr 1 00,X 0 0 0,Board Member,albert,231409675,212133,Eastern University
Dr Rev Richard A Dent 1 00,X 0 0 0,Board Member,richard,231409675,212133,Eastern University
E Shepard Farrar 1 00,X 0 0 0,Board Member,shepard,231409675,212133,Eastern University
Rev Dr W Wilson Goode Sr 1 00,X 0 0 0,Board Member,wilson,231409675,212133,Eastern University
John C Honor Jr part year 1 00,X 0 0 0,Board Member,john,231409675,212133,Eastern University
Lucy Huff 1 00,X 0 0 0,Board Member,lucy,231409675,212133,Eastern University
Teresa Klaassen part year 1 00,X 0 0 0,Board Member,teresa,231409675,212133,Eastern University
Richardson T Merriman 1 00,X 0 0 0,Board Member,richardson,231409675,212133,Eastern University
Steve O'Hearn 1 00,X 0 0 0,Board Member,steve,231409675,212133,Eastern University
Charles A Olson III 1 00,X 0 0 0,Board Member,charles,231409675,212133,Eastern University
Thomas M Petro 1 00,X 0 0 0,Board Member,thomas,231409675,212133,Eastern University
Janis Plostnieks 1 00,X 0 0 0,Board Member,janis,231409675,212133,Eastern University
James H Rogers part year 1 00,X 0 0 0,Board Member,james,231409675,212133,Eastern University
Dr Richard E Rusbuldt 1 00,X 0 0 0,Board Member,richard,231409675,212133,Eastern University
George Torggler part year 1 00,X 0 0 0,Board Member,george,231409675,212133,Eastern University
Malcolm Street part year 1 00,X 0 0 0,Board Member,malcolm,231409675,212133,Eastern University
John SunquIst 1 00,X 0 0 0,Board Member,john,231409675,212133,Eastern University
Dennis Tanner PhD 1 00,X 0 0 0,Board Member,dennis,231409675,212133,Eastern University
John M Templeton Jr MD 1 00,X 0 0 0,Board Member,john,231409675,212133,Eastern University
F Ardell Thomas MD 1 00,X 0 0 0,Board Member,ardell,231409675,212133,Eastern University
Rev Dr Alyn E Waller 1 00,X 0 0 0,Board Member,waller,231409675,212133,Eastern University
Kelly WIIbraham 1 00,X 0 0 0,Board Member,kelly,231409675,212133,Eastern University
Algit Joy 1 00,X 0 0 0,Board Member,joy,231409675,212133,Eastern University
Kenton Sparks 40 00,"x 94,245 0 73,104",Provost,kenton,231409675,212133,Eastern University
Thomas Ridington 40 00,"X 141,843 0 31,215",Senior VP,thomas,231409675,212133,Eastern University
Derek Ritchie 40 00,"x 90,877 0 20,129",VP for Development,derek,231409675,212133,Eastern University
Diana Bach 40 00,"X 121,920 0 20,473",VP — Registrar,diana,231409675,212133,Eastern University
Betty Ann Brigham 40 00,"x 124,824 0 9,938",VP Student Development,betty,231409675,212133,Eastern University
J Pernell Jones 40 00,"X 144,686 0 30,986",VP — Finance & Operations,pernell,231409675,212133,Eastern University
Debra Heath—Thornton 40 00,"X 122,886 0 16,592",Dean of Graduate Studies,debra,231409675,212133,Eastern University
Beth Doriani 40 00,"X 103,559 0 28,940",Dean of Arts and Science,beth,231409675,212133,Eastern University
