line1,line2,line3,key,fein,unitid,institutionname
Mr HF Lenfest 1 00,X X 0,Chainnan/Trustee 50,lenfest,231585611,211893,Curtis Institute of Music
Mr Edward A Montgomery Jr 1 00,X X 0,Vice Chairman/Trustee,edward,231585611,211893,Curtis Institute of Music
Mr Alan R HIrSIg 1 00,X X 0,Secretary/Trustee,alan,231585611,211893,Curtis Institute of Music
Ms Deborah M Fretz 1 00,X X 0,Treasurer/Trustee,deborah,231585611,211893,Curtis Institute of Music
Ms Nina Albert 1 00,X 0,Trustee,nina,231585611,211893,Curtis Institute of Music
Mr Frank S Bayley 1 00,X 0,Trustee,frank,231585611,211893,Curtis Institute of Music
Mr Peter A Benoliel 1 00,X 0,Trustee Emeritus,peter,231585611,211893,Curtis Institute of Music
Mrs Carey William Bok 1 00,X 0,Honorary Trustee 50,carey,231585611,211893,Curtis Institute of Music
Ms Victoria Bok 1 00,X 0,Trustee,victoria,231585611,211893,Curtis Institute of Music
Mr Sheldon M BonOVItz EquIre 1 00,X 0,Trustee,sheldon,231585611,211893,Curtis Institute of Music
Dr Luther W Brady 1 00,X 0,Trustee Emeritus,luther,231585611,211893,Curtis Institute of Music
Mrs Carolyn 5 Burger 1 00,X 0,Trustee Emerita,carolyn,231585611,211893,Curtis Institute of Music
Trustee Emerita,Mr Jonathan Coopersmith 35 00,"x 104,755 24,615",emerita,231585611,211893,Curtis Institute of Music
Mr Jonathan Coopersmith 35 00,"x 104,755 24,615",Trustee/ Mu5Ical Studies Faculty,jonathan,231585611,211893,Curtis Institute of Music
Mr Anthony B Creamer III 1 00,X 0,Trustee,anthony,231585611,211893,Curtis Institute of Music
Mr Roberto Diaz 35 00,"X X 383,837 57,575",PreSIdent/Trustee,roberto,231585611,211893,Curtis Institute of Music
MrJoseph M Field 1 00,X 0,Trustee Emeritus 50,field,231585611,211893,Curtis Institute of Music
Mr Gordon B Fowler 1 00,X 0,Trustee,gordon,231585611,211893,Curtis Institute of Music
Dr Bruce Jay Gould 1 00,X 0,Trustee,bruce,231585611,211893,Curtis Institute of Music
Ms Marsha Hunter 1 00,X 0,Alumni Trustee,marsha,231585611,211893,Curtis Institute of Music
Mr Scott M Jenkins 1 00,X 0,Trustee Emeritus,scott,231585611,211893,Curtis Institute of Music
Ms Ida Kavafian 35 00,"x 139,419 32,765",Trustee/Violin Faculty,ida,231585611,211893,Curtis Institute of Music
Ms Bobby Ellen Kimbel Phd 1 00,X 0,Trustee Emerita,bobby,231585611,211893,Curtis Institute of Music
Trustee Emerita,MrJames R LedWIth 1 00,X 0,emerita,231585611,211893,Curtis Institute of Music
MrJames R LedWIth 1 00,X 0,Trustee Emeritus 50,ledwith,231585611,211893,Curtis Institute of Music
Dr Bong S Lee 1 00,X 0,Trustee Emeritus,bong,231585611,211893,Curtis Institute of Music
Mrs Sueyun P Locks 1 00,X 0 0 0,Trustee,locks,231585611,211893,Curtis Institute of Music
Mrs Christina Weiss Lurie 1 00,X 0 0 0,Trustee,christina,231585611,211893,Curtis Institute of Music
Mrs Betty H Matarese 1 00,X 0 0 0,Trustee,betty,231585611,211893,Curtis Institute of Music
Mr Daniel Matsukawa 35 00,"x 54,660 0 12,845",Trustee/MUSIcal Faculty,daniel,231585611,211893,Curtis Institute of Music
MrJohn H McFadden 1 00,X 0 0 0,Trustee,mcfadden,231585611,211893,Curtis Institute of Music
Dr Christopher B Merritt 1 00,X 0 0 0,Friends Trustee,christopher,231585611,211893,Curtis Institute of Music
Friends Trustee,Mr Thomas W Morris 1 00,X 0 0 0,friends,231585611,211893,Curtis Institute of Music
Mr Thomas W Morris 1 00,X 0 0 0,Overseers Trustee,thomas,231585611,211893,Curtis Institute of Music
Mr Robert H Mundheim 1 00,X 0 0 0,Trustee,robert,231585611,211893,Curtis Institute of Music
Mr John A Nyheim 1 00,X 0 0 0,Trustee Emeritus,john,231585611,211893,Curtis Institute of Music
Mr Shaun F O'Malley 1 00,X 0 0 0,Trustee,shaun,231585611,211893,Curtis Institute of Music
Mr Albert E Piscopo 1 00,X 0 0 0,Trustee,albert,231585611,211893,Curtis Institute of Music
Mr Robert Pollack 1 00,X 0 0 0,Trustee,robert,231585611,211893,Curtis Institute of Music
Mr William H Roberts 1 00,X 0 0 0,Trustee,william,231585611,211893,Curtis Institute of Music
Dr Milton L Rock 1 00,X 0 0 0,Honorary Trustee 50,milton,231585611,211893,Curtis Institute of Music
Mr Robert H Rock 1 00,X 0 0 0,Trustee,robert,231585611,211893,Curtis Institute of Music
Mr Mark E Rubenstein 1 00,X 0 0 0,Trustee,mark,231585611,211893,Curtis Institute of Music
Mr Brett Rubinson 1 00,X 0 0 0,Trustee,brett,231585611,211893,Curtis Institute of Music
Samuel R Shipley 1 00,X 0 0 0,Trustee 50,samuel,231585611,211893,Curtis Institute of Music
Mrs Amanda W Smoot 1 00,X 0 0 0,Trustee Emerita,amanda,231585611,211893,Curtis Institute of Music
Trustee Emerita,Mr Jay H Tolson 1 00,X 0 0 0,emerita,231585611,211893,Curtis Institute of Music
Mr Jay H Tolson 1 00,X 0 0 0,Trustee,jay,231585611,211893,Curtis Institute of Music
Mr William R Towcimak 1 00,X 0 0 0,Crescendo Club Trustee,william,231585611,211893,Curtis Institute of Music
Mrs Elizabeth Vale 1 00,X 0 0 0,Trustee,elizabeth,231585611,211893,Curtis Institute of Music
Nina Baroness von Maltzahn 1 00,X 0 0 0,Trustee,nina,231585611,211893,Curtis Institute of Music
Mrs Penelope P Watkins 1 00,X 0 0 0,Trustee,penelope,231585611,211893,Curtis Institute of Music
Ms Elizabeth B Warshawer 35 00,"X 342,022 0 51,305",Executive Vice PreSIdent,elizabeth,231585611,211893,Curtis Institute of Music
Paul J Bryan 35 00,"X 139,612 0 32,810",Dean ofFacuRy and Students,paul,231585611,211893,Curtis Institute of Music
DaVId A LudWIg 35 00,"X 131,484 0 30,890",Chair of Performance Studies/Dean of Artistic Programs,david,231585611,211893,Curtis Institute of Music
Charles Sterne 35 00,"X 129,818 0 30,510",Director of Principal Gifts and Planned GIVIng,charles,231585611,211893,Curtis Institute of Music
Joseph M Sbter 35 00,"X 115,618 0 27,170",Senior Director of Finance,joseph,231585611,211893,Curtis Institute of Music
