line1,line2,line3,key,fein,unitid,institutionname
SEAN BUFFINGTON 40 00,"X X 297,293 0 46,124",PRESIDENT & CEO,sean,231639911,215105,The University of the Arts
ADOLF A PAIER 1 00,X 0 0 0,TRUSTEE,adolf,231639911,215105,The University of the Arts
ALAN I RUBIN 1 00,X 0 0 0,TRUSTEE,alan,231639911,215105,The University of the Arts
BRIAN EFFRON 1 00,X X 0 0 0,VICE CHAIR,brian,231639911,215105,The University of the Arts
DEANNA DECHERNEY 1 00,X 0 0 0,TRUSTEE,deanna,231639911,215105,The University of the Arts
DORRANCE H HAMILTON 1 00,X 0 0 0,LIFE TRUSTEE,dorrance,231639911,215105,The University of the Arts
DR NOEL MAYO 1 00,X 0 0 0,TRUSTEE,noel,231639911,215105,The University of the Arts
ELAINE C LEVITT 1 00,X 0 0 0,TRUSTEE,elaine,231639911,215105,The University of the Arts
ELEANOR L DAVIS 1 00,X 0 0 0,TRUSTEE,eleanor,231639911,215105,The University of the Arts
GAIL KASS 1 00,X 0 0 0,TRUSTEE,gail,231639911,215105,The University of the Arts
HARRIET G WEISS 1 00,X 0 0 0,TRUSTEE,harriet,231639911,215105,The University of the Arts
HOWARD BELK 1 00,X 0 0 0,TRUSTEE,howard,231639911,215105,The University of the Arts
IRA BRIND 1 00,X 0 0 0,TRUSTEE,ira,231639911,215105,The University of the Arts
JAMES P VESEY 1 00,X 0 0 0,TRUSTEE,james,231639911,215105,The University of the Arts
JEFFREY A LUTSKY 1 00,X X 0 0 0,SECRETARY/TRUSTEE,jeffrey,231639911,215105,The University of the Arts
JEFFREY SELIGSOHN 1 00,X 0 0 0,TRUSTEE,jeffrey,231639911,215105,The University of the Arts
JOSEPH F CORADINO 1 00,X 0 0 0,TRUSTEE,joseph,231639911,215105,The University of the Arts
KAREN LOTMAN 1 00,X 0 0 0,TRUSTEE,karen,231639911,215105,The University of the Arts
LAURIE WAGMAN 1 00,X 0 0 0,TRUSTEE,laurie,231639911,215105,The University of the Arts
LAWRENCE S REICHLIN 1 00,X 0 0 0,TRUSTEE,lawrence,231639911,215105,The University of the Arts
MARK DONNOLO 1 00,X 0 0 0,TRUSTEE,mark,231639911,215105,The University of the Arts
MELISSA HELLER 1 00,X 0 0 0,TRUSTEE,melissa,231639911,215105,The University of the Arts
MICHAELC FORMAN 1 00,X 0 0 0,TRUSTEE,forman,231639911,215105,The University of the Arts
RICHARD P JAFFE 1 00,X 0 0 0,TRUSTEE,richard,231639911,215105,The University of the Arts
RONALD CAPLAN 1 00,X 0 0 0,TRUSTEE,ronald,231639911,215105,The University of the Arts
RONALD J NAPLES 1 00,X X 0 0 0,CHAIRMAN,ronald,231639911,215105,The University of the Arts
SAM S MCKEEL 1 00,X 0 0 0,LIFE TRUSTEE,sam,231639911,215105,The University of the Arts
SCOTT M JENKINS 1 00,X X 0 0 0,TREASURER/VICE CHAIR,scott,231639911,215105,The University of the Arts
SEYMOUR G MANDELL 1 00,X 0 0 0,TRUSTEE,seymour,231639911,215105,The University of the Arts
THOMAS M MILES 1 00,X 0 0 0,TRUSTEE,thomas,231639911,215105,The University of the Arts
WILLIAM R GAST 1 00,X 0 0 0,TRUSTEE,william,231639911,215105,The University of the Arts
MEGAN STORTI 40 00,EXECUTIVE ASSISTANT/ASSISTANT SECRETARY TO THE X 46’657 0 12’635,BOA,megan,231639911,215105,The University of the Arts
BOA,PAMELA SHROPSHIRE 40 00,EXECUTIVE ASSISTANT/ASSISTANT SECRETARY TO THE X 39’181 0 12’406,boa,231639911,215105,The University of the Arts
PAMELA SHROPSHIRE 40 00,EXECUTIVE ASSISTANT/ASSISTANT SECRETARY TO THE X 39’181 0 12’406,BOA,pamela,231639911,215105,The University of the Arts
BOA,STEPHEN LIGHTCAP 40 00,"X 190,700 0 32,131",boa,231639911,215105,The University of the Arts
STEPHEN LIGHTCAP 40 00,"X 190,700 0 32,131",VP FOR FINANCE AND ADMINIS,stephen,231639911,215105,The University of the Arts
KIRK PILLOW 40 00,"X 207,481 0 34,596",PROVOST,kirk,231639911,215105,The University of the Arts
LUCILLE HUGHES 40 00,"X 174,372 0 35,691",VP OF ADVANCEMENT,lucille,231639911,215105,The University of the Arts
PAULA MARINCOLA 40 00,"X 216,979 0 45,037",EXECUTIVE DIRECTOR,paula,231639911,215105,The University of the Arts
CATHERINE KODAT 40 00,"X 139,658 0 27,204",DEAN FOR DIVISION OF LIBERAL ARTS,catherine,231639911,215105,The University of the Arts
DEAN FOR DIVISION OF LIBERAL ARTS,CHRISTOPHER SHARROCK 40 00,"X 136,845 0 37,124",liberal,231639911,215105,The University of the Arts
CHRISTOPHER SHARROCK 40 00,"X 136,845 0 37,124",DEAN OF CAMD,christopher,231639911,215105,The University of the Arts
FRANCIS KUMIN 40 00,"X 155,815 0 34,596",DIRECTOR,francis,231639911,215105,The University of the Arts
KAY WILLIAMS 40 00,"X 147,597 0 32,294",DEAN OF CPA,kay,231639911,215105,The University of the Arts
MELISSA FRANKLIN 40 00,"X 130,317 0 41,639",DIRECTOR,melissa,231639911,215105,The University of the Arts
THOMAS CARNWATH 40 00,"X 148,871 0 36,446",VP OF TECHNOLOGY & INFO,thomas,231639911,215105,The University of the Arts
