line1,line2,line3,key,fein,unitid,institutionname
James L Boyer 2,X 0 0 0,Board of Managers 0,james,236002304,212911,Haverford College
Jonathan Wood Evans 2,X 0 0 0,Board of Managers 0,jonathan,236002304,212911,Haverford College
Amy Taylor Brooks 2,X 0 0 0,Board of Managers 0,amy,236002304,212911,Haverford College
MIchael B Km 2,X 0 0 0,Board of Managers 0,michael,236002304,212911,Haverford College
CatherIne P Koshland 2,X 0 0 0,Board of Managers 0,catherine,236002304,212911,Haverford College
Howard W LutnIck 2,X 0 0 0,Board of Managers 0,howard,236002304,212911,Haverford College
Irene E McHenry 2,X 0 0 0,Board of Managers 0,irene,236002304,212911,Haverford College
John M Morse 2,X 0 0 0,Board of Managers 0,john,236002304,212911,Haverford College
ChrIstopher K Norton 2,X 0 0 0,Board of Managers 0,christopher,236002304,212911,Haverford College
ChrIstopherT Gant 2,X 0 0 0,Board of Managers 0,gant,236002304,212911,Haverford College
SheIla K Sachs 2,X 0 0 0,Board of Managers 0,sheila,236002304,212911,Haverford College
Allan RIchard WhIte III 2,X 0 0 0,Board of Managers 0,allan,236002304,212911,Haverford College
Sydney N Herman 2,X 0 0 0,Board of Managers 0,sydney,236002304,212911,Haverford College
Steven M JaharIs 2,X 0 0 0,Board of Managers 0,steven,236002304,212911,Haverford College
Garry W JenkIns 2,X 0 0 0,Board of Managers 0,garry,236002304,212911,Haverford College
JennIfer S PerkIns 2,X 0 0 0,Board of Managers 0,jennifer,236002304,212911,Haverford College
Roger B Kafker 2,X 0 0 0,Board of Managers 0,roger,236002304,212911,Haverford College
JacquelIne V Brady 2,X 0 0 0,Board of Managers 0,jacqueline,236002304,212911,Haverford College
Dana Shanler Ladden 2,X 0 0 0,Board of Managers 0,dana,236002304,212911,Haverford College
ElIzabeth Enloe 2,X 0 0 0,Board of Managers 0,elizabeth,236002304,212911,Haverford College
Ann V SatterthwaIte 2,X 0 0 0,Board of Managers 0,ann,236002304,212911,Haverford College
Elon E Spar 2,X 0 0 0,Board of Managers 0,spar,236002304,212911,Haverford College
Charles G Beever 2,X 0 0 0,Board of Managers 0,charles,236002304,212911,Haverford College
John R Taylor 2,X 0 0 0,Board of Managers 0,john,236002304,212911,Haverford College
Seth P BernsteIn 2,X 0 0 0,Board of Managers 0,seth,236002304,212911,Haverford College
WIllIam J Marsden 2,X 0 0 0,Board of Managers 0,william,236002304,212911,Haverford College
Paul G ZOIdIs II 2,X 0 0 0,Board of Mangers 0,paul,236002304,212911,Haverford College
Sarah WIllIe—LeBreton 2,X 0 0 0,Board of Managers 0,sarah,236002304,212911,Haverford College
TImur F Galen 2,X 0 0 0,Board of Managers 0,timur,236002304,212911,Haverford College
Henry J RItchotte 2,X 0 0 0,Board of Managers 0,henry,236002304,212911,Haverford College
DanIel WeIss 60,"X X 208,333 0 62,658",PreSIdent 0,daniel,236002304,212911,Haverford College
Joanne CreIghton 60,"X 245,000 0 75,170",InterIm PreSIdent 0,joanne,236002304,212911,Haverford College
G RIchard Wynn 60,"X 253,683 0 44,806",VP for FInance & AdmInIstratIon 0,richard,236002304,212911,Haverford College
Jess Lord 60,"X 147,200 0 36,175",Dean of AdmISSIOnS & FInanCIal AId 0,jess,236002304,212911,Haverford College
MIchael KIefer 60,"X 245,242 0 32,474",VP of InstItutIonal Advancement 0,michael,236002304,212911,Haverford College
Martha Denney 60,"X 154,392 0 42,726",Dean of the College 0,martha,236002304,212911,Haverford College
Joseph Spadaro 60,"X 184,642 0 40,005",ChIef InfonnatIon Ofﬁcer 0,joseph,236002304,212911,Haverford College
KImberly Benston 60,"X 227,083 0 41,678",InterIm Provost and Professor 0,kimberly,236002304,212911,Haverford College
MIchael H Casel 60,"X 227,275 0 44,215",Assoaate VP FInance and ChIef Investment Ofﬁcer 0,michael,236002304,212911,Haverford College
LInda GersteIn 60,"X 155,519 0 25,910",Professor 0,linda,236002304,212911,Haverford College
CurtIs Greene 60,"X 174,408 0 28,132",Professor 0,curtis,236002304,212911,Haverford College
Ashok Gangadean 60,"X 150,564 0 32,679",Professor 0,ashok,236002304,212911,Haverford College
Mark Gould 50,"X 143,032 0 38,977",Professor 0,mark,236002304,212911,Haverford College
Steven Kavanaugh 60,"X 142,937 0 41,562",DIrector of GIft PlannIng 0,steven,236002304,212911,Haverford College
