line1,line2,line3,key,fein,unitid,institutionname
TONY Aretz 48 0,"X X 247,850 0 79,577",Pre5ident,tony,237179567,204200,Mount Saint Joseph University
Linda Antus 1 0,X 0 0 0,Trustee,linda,237179567,204200,Mount Saint Joseph University
Joanne M Burrows SC 1 0,X 0 0 0,Trustee,joanne,237179567,204200,Mount Saint Joseph University
Barbara DaVIs SC 1 0,X 0 0 0,Trustee,barbara,237179567,204200,Mount Saint Joseph University
George S Elliot 1 0,X 0 0 0,Trustee,george,237179567,204200,Mount Saint Joseph University
Michael] Habel 1 0,X 0 0 0,Trustee,habel,237179567,204200,Mount Saint Joseph University
Mary E Ivers 1 0,X 0 0 0,Trustee,mary,237179567,204200,Mount Saint Joseph University
Frank G Julian 1 0,X 0 0 0,Trustee,frank,237179567,204200,Mount Saint Joseph University
Michael T LaRosa 1 0,X 0 0 0,Trustee,michael,237179567,204200,Mount Saint Joseph University
Timothy A Massa 1 0,X 0 0 0,Trustee,timothy,237179567,204200,Mount Saint Joseph University
Judith Metz SC 1 0,X 0 0 0,Trustee,judith,237179567,204200,Mount Saint Joseph University
Jason P Niehaus 1 0,X X 0 0 0,VICE—CHAIRMAN,jason,237179567,204200,Mount Saint Joseph University
E Richard Oberschmidt Esq 1 0,X 0 0 0,Trustee,richard,237179567,204200,Mount Saint Joseph University
Bernadette L Plair 1 0,X 0 0 0,Trustee,bernadette,237179567,204200,Mount Saint Joseph University
John S Prout 1 0,X 0 0 0,Trustee,john,237179567,204200,Mount Saint Joseph University
Toby P Rau 1 0,X 0 0 0,Trustee,toby,237179567,204200,Mount Saint Joseph University
Lisa Sanger 1 0,X 0 0 0,Trustee,lisa,237179567,204200,Mount Saint Joseph University
Thomas] Schiller 1 0,X 0 0 0,Trustee,schiller,237179567,204200,Mount Saint Joseph University
Mary Delores Schneider SC 1 0,X 0 0 0,Trustee,mary,237179567,204200,Mount Saint Joseph University
Timothy J Schroeder 1 0,X 0 0 0,Trustee,timothy,237179567,204200,Mount Saint Joseph University
Mark Weadick 1 0,X 0 0 0,"Trustee, Finance Chair",mark,237179567,204200,Mount Saint Joseph University
PatrICIa Wittberg SC 1 0,X 0 0 0,Trustee,patricia,237179567,204200,Mount Saint Joseph University
Donald B Bush 1 0,X 0 0 0,Trustee,donald,237179567,204200,Mount Saint Joseph University
Kenneth W Stecher 3 0,X X 0 0 0,CHAIRMAN OF THE BOARD,kenneth,237179567,204200,Mount Saint Joseph University
MARTIN F HOLLENBECK 1 0,X 0 0 0,TRUSTEE,martin,237179567,204200,Mount Saint Joseph University
CATHERINE KIRBY SC 1 0,X 0 0 0,TRUSTEE,catherine,237179567,204200,Mount Saint Joseph University
JOHN J YOUNG 1 0,X 0 0 0,TRUSTEE,john,237179567,204200,Mount Saint Joseph University
CAROLINE K PRATT 1 0,X 0 0 0,TRUSTEE (EFF 9/17/13),caroline,237179567,204200,Mount Saint Joseph University
JANIS C ROSS 1 0,X 0 0 0,TRUSTEE,janis,237179567,204200,Mount Saint Joseph University
KENNETH J RYAN 1 0,X 0 0 0,TRUSTEE (EFF 9/17/13),kenneth,237179567,204200,Mount Saint Joseph University
BERNARD P SUER 1 0,X 0 0 0,TRUSTEE,bernard,237179567,204200,Mount Saint Joseph University
MARY DENISE KUPRIONIS 1 0,X,TRUSTEE (THRU 9/16/13),mary,237179567,204200,Mount Saint Joseph University
Anne Mane Wagner 48 0,"X 138,540 0 19,762",Treasurer & CFO,anne,237179567,204200,Mount Saint Joseph University
LINDA PANZECA 48 0,"X 102,494 0 16,450",SCRTRY/CHIEF CMPLNC/RISK OFF,linda,237179567,204200,Mount Saint Joseph University
SCRTRY/CHIEF CMPLNC/RISK OFF,Alan Decourcy 48 0,"X 122,582 0 29,731",off,237179567,204200,Mount Saint Joseph University
Alan Decourcy 48 0,"X 122,582 0 29,731",VP — Academlc Affalrs,alan,237179567,204200,Mount Saint Joseph University
Darla Vale 48 0,"X 123,731 0 23,265",Dean of ADULt & Grad Studles,darla,237179567,204200,Mount Saint Joseph University
Kelth Weber 48 0,"X 108,684 0 21,926",VP 1T & STRATEGIC PLANNING,weber,237179567,204200,Mount Saint Joseph University
PATRICIA RAGIO 48 0,"X 125,022 0 29,876",VP — Instltutlonal Advancement,patricia,237179567,204200,Mount Saint Joseph University
ROSANNE THOMAS 48 0,"X 115,491 0 25,826",DEPT CHAIRPERSON PT,rosanne,237179567,204200,Mount Saint Joseph University
