line1,line2,line3,key,fein,unitid,institutionname
ALEXANDER R SHIKHMAN 3 00,X 0 0 0,TRUSTEE,alexander,237421224,234915,City University of Seattle
CARLOS RODRIGUEZ 3 00,X 0 0 0,TRUSTEE,carlos,237421224,234915,City University of Seattle
CHERYL KENDRICK 3 00,X 0 0 0,TRUSTEE,cheryl,237421224,234915,City University of Seattle
DR DONALD KRIPKE 3 00,X 0 0 0,TRUSTEE,donald,237421224,234915,City University of Seattle
DR E LEE RICE 3 00,X 0 0 0,TRUSTEE,lee,237421224,234915,City University of Seattle
DR JERRY LEE 30,X 0 0 0,"CHANCELLOR EMERITUS, TRUSTEE",jerry,237421224,234915,City University of Seattle
FELIPE BECERRA THROUGH 813 3 00,X 0 0 0,TRUSTEE,felipe,237421224,234915,City University of Seattle
GERALD CZARNECKI 3 00,X 0 0 0,TRUSTEE,gerald,237421224,234915,City University of Seattle
HERBERT MEITSTRICH 10 00,X X 0 0 0,"CHAIR, BOARD OF TRUSTEES",herbert,237421224,234915,City University of Seattle
HIEP QUACH 3 00,X 0 0 0,TRUSTEE,quach,237421224,234915,City University of Seattle
JACQUELINE TOWNSEND KONSTANTUROS 3 00,X X 0 0 0,TRUSTEE,jacqueline,237421224,234915,City University of Seattle
JAY STONE 3 00,X 0 0 0,TRUSTEE,jay,237421224,234915,City University of Seattle
JEAN LEONARD 3 00,X 0 0 0,TRUSTEE,jean,237421224,234915,City University of Seattle
JEANNE CONNELLY 3 00,X 0 0 0,TRUSTEE,jeanne,237421224,234915,City University of Seattle
JOHN BUCHER 3 00,X 0 0 0,TRUSTEE,john,237421224,234915,City University of Seattle
MICHAEL R MCGILL 3 00,X 0 0 0,TRUSTEE,michael,237421224,234915,City University of Seattle
RANDY ALIMENT 3 00,X 0 0 0,TRUSTEE,randy,237421224,234915,City University of Seattle
RICHARD CHISHOLM 5 00,X 0 0 0,SECRETARY/TRUSTEE,richard,237421224,234915,City University of Seattle
ROBERT FREELEN 3 00,X 0 0 0,TRUSTEE,robert,237421224,234915,City University of Seattle
RUTHANN HEINRICH 5 00,X 0 0 0,"VICE CHAIR, TRUSTEE",ruthann,237421224,234915,City University of Seattle
STACY ALLISON 3 00,X 0 0 0,TRUSTEE,stacy,237421224,234915,City University of Seattle
THOMAS TOPUZES 3 00,X X 0 0 0,TRUSTEE,thomas,237421224,234915,City University of Seattle
WH KNIGHT JR 3 00,X 0 0 0,TRUSTEE,knight,237421224,234915,City University of Seattle
BRUCE BRYANT 50 00,"X 187,569 0 16,333","CFO, VP FINANCE AND ADMINISTRATION 1 00",bruce,237421224,234915,City University of Seattle
RICHARD E CARTER 50 00,"X 369,507 0 36,253",PRESIDENT,richard,237421224,234915,City University of Seattle
STEVEN OLSWANG 50 00,"x 226,707 0 8,355",PROVOST 1 00,steven,237421224,234915,City University of Seattle
MARIANNE FINGADO 50 00,"X 168,736 0 34,293","VP, ENROLLMENT SERVICES",marianne,237421224,234915,City University of Seattle
CHRISTOPHER R055 50 00,"x 116,237 0 9,929","VP, UNIVERSITY ADVANCEMENT 1 00",christopher,237421224,234915,City University of Seattle
CRAIG SCHEIBER 50 00,"DEAN, SCHOOL OF EDUCATION/DIVISION OF ARTS AND X 104’104 0 18’433",SCI,craig,237421224,234915,City University of Seattle
KEVIN BROWN 50 00,"X 116,549 0 19,083","DIRECTOR, INFORMATION TECHNOLOGY",kevin,237421224,234915,City University of Seattle
KURT KIRSTEIN 50 00,"X 137,560 0 14,199","DEAN, SCHOOL OF MANAGEMENT",kurt,237421224,234915,City University of Seattle
MELISSA MECHAM 50 00,"X 127,449 0 14,290","VP , STUDENT SERVICES/REGISTRAR",melissa,237421224,234915,City University of Seattle
EDWARD L GORSUCH 50 00,"x 200,508 0 5,714",PRESIDENT 1 00,edward,237421224,234915,City University of Seattle
