line1,line2,line3,key,fein,unitid,institutionname
MICHAEL AMORY 20,X 0 0 0,TRUSTEE,michael,240795406,214069,Misericordia University
STUART M BELL 20,X 0 0 0,TRUSTEE,stuart,240795406,214069,Misericordia University
MSGR JOHN J BENDIK 20,X 0 0 0,TRUSTEE,john,240795406,214069,Misericordia University
CHRISTOPHER L BORTON 20,X X 0 0 0,VICE CHAIRMAN,christopher,240795406,214069,Misericordia University
JONATHAN BRASSINGTON 20,X 0 0 0,TRUSTEE,jonathan,240795406,214069,Misericordia University
R GREGORY COLLINS 20,X 0 0 0,TRUSTEE,gregory,240795406,214069,Misericordia University
DR RUTH A CONNOLLY 20,X 0 0 0,TRUSTEE,ruth,240795406,214069,Misericordia University
SCOTT DAGENAIS 20,X 0 0 0,TRUSTEE,scott,240795406,214069,Misericordia University
DR MARY ANN DILLON RSM 20,X 0 0 0,TRUSTEE,mary,240795406,214069,Misericordia University
MARY ERWINE 20,X 0 0 0,TRUSTEE,mary,240795406,214069,Misericordia University
PATRICIA FINAN—CASTELLANO 20,X 0 0 0,TRUSTEE,patricia,240795406,214069,Misericordia University
HAROLD E FLACK II 20,X 0 0 0,TRUSTEE,harold,240795406,214069,Misericordia University
ROBERT FRIEDMAN 20,X 0 0 0,TRUSTEE (RESIGNED 6—14),robert,240795406,214069,Misericordia University
DR MARTHA HANLON RSM 20,X 0 0 0,TRUSTEE,martha,240795406,214069,Misericordia University
ROGER HOWELL 20,X 0 0 0,TRUSTEE,roger,240795406,214069,Misericordia University
SANDY INSALACO SR 20,X 0 0 0,TRUSTEE (RETIRED 6—14),sandy,240795406,214069,Misericordia University
KRISTOPHER JONES 20,X 0 0,TRUSTEE,kristopher,240795406,214069,Misericordia University
SCOTT LYNETI' 20,X 0 0,TRUSTEE,scott,240795406,214069,Misericordia University
SHERRY A MANETTA 20,X 0 0,TRUSTEE,sherry,240795406,214069,Misericordia University
MARJORIE MARQUART 20,X 0 0,TRUSTEE,marjorie,240795406,214069,Misericordia University
SR CATHERINE MCGROARTY RSM 20,X 0 0,TRUSTEE,catherine,240795406,214069,Misericordia University
JOHN C METZ 20,X X 0 0,CHAIRMAN,john,240795406,214069,Misericordia University
DANIEL MEUSER 20,X 0 0,TRUSTEE,daniel,240795406,214069,Misericordia University
DR MARY HELEN NUGENT RSM 20,X 0 0,TRUSTEE,mary,240795406,214069,Misericordia University
DR CAROL RITI'NER RSM 20,X 0 0,TRUSTEE,carol,240795406,214069,Misericordia University
PAUL SIEGEL 20,X 0 0 0,TRUSTEE,paul,240795406,214069,Misericordia University
ROSEMARY SIGMOND 20,X 0 0 0,TRUSTEE,rosemary,240795406,214069,Misericordia University
DR DEBORAH SMITH—MILESKI 20,X 0 0 0,TRUSTEE,deborah,240795406,214069,Misericordia University
ROBERTJ SOPER 20,X 0 0 0,TRUSTEE,soper,240795406,214069,Misericordia University
MARY BETH SULLIVAN 20,X 0 0 0,TRUSTEE,mary,240795406,214069,Misericordia University
DR MAYON SYLVAIN RSM 20,X 0 0 0,TRUSTEE,mayon,240795406,214069,Misericordia University
MURRAY UFBERG ESQ 20,X 0 0 0,TRUSTEE,murray,240795406,214069,Misericordia University
WILLIAM C WILLIAMS 20,X 0 0 0,TRUSTEE,william,240795406,214069,Misericordia University
PAUL WOELKERS 20,X 0 0 0,TRUSTEE,paul,240795406,214069,Misericordia University
DR MICHAEL MACDOWELL 40 00,"X 285,255 0 51,101",PRESIDENT (RET 6/13),michael,240795406,214069,Misericordia University
ERIC NELSON 40 00,"X 152,317 0 19,025",VP — FIN AND ADMIN/TREASURER,eric,240795406,214069,Misericordia University
MARI KING LEFT POSITION 614 40 00,"X 145,429 0 27,866",VP — ACADEMIC AFFAIRS,mari,240795406,214069,Misericordia University
SISTER JEAN MESSAROS 40 00,"X 0 0 15,196","VICE PRESIDENT, MISSION INTEGRATION",jean,240795406,214069,Misericordia University
CAROL FAHNESTOCK 40 00,"x 49,726 0 17,151","ADMIN ASST , PRES/ SECRETARY",carol,240795406,214069,Misericordia University
SUSAN HELWIG 40 00,"X 144,441 0 23,776",VP — UNIV ADVANCEMENT,susan,240795406,214069,Misericordia University
BARBARA LOFTUS 40 00,"X 129,037 0 20,797","VP — PLANNING, ASSESSMENT, RESEARCH",barbara,240795406,214069,Misericordia University
GLEN TELLIS 40 00,"X 161,312 0 15,332",INTERIM DEAN — COLL HEALTH,glen,240795406,214069,Misericordia University
INTERIM DEAN — COLL HEALTH,SUSAN BARKER 40 00,"X 127,243 0 16,512",coll,240795406,214069,Misericordia University
SUSAN BARKER 40 00,"X 127,243 0 16,512",PROFESSOR,susan,240795406,214069,Misericordia University
