line1,line2,line3,key,fein,unitid,institutionname
MR THOMAS R SMITH 1 00,X X 0 0 0,CHAIRMAN,thomas,240804602,213321,King's College
MR MARK DECESARIS 1 00,X X 0 0 0,VICE—CHAIRMAN,mark,240804602,213321,King's College
MRS KAREN KEEFER 1 00,X X 0 0 0,SECRETARY,karen,240804602,213321,King's College
MR RICHARD A ALLEY MD 1 00,X 0 0 0,DIRECTOR,richard,240804602,213321,King's College
BRO RICHARD DALY CSC 1 00,X 0 0 0,DIRECTOR,bro,240804602,213321,King's College
REV JOHN F DENNING 1 00,X 0 0 0,DIRECTOR,john,240804602,213321,King's College
MR BRENDAN P DOUGHER 1 00,X 0 0 0,DIRECTOR,brendan,240804602,213321,King's College
MRS JANE B FEINSTEIN 1 00,X 0 0 0,DIRECTOR,jane,240804602,213321,King's College
MR SCOTT HENRY 1 00,X 0 0 0,DIRECTOR,scott,240804602,213321,King's College
DR JONATHAN P HOSEY 1 00,X 0 0 0,DIRECTOR,jonathan,240804602,213321,King's College
JOSEPH E KLUGER ESQ 1 00,X 0 0 0,DIRECTOR,joseph,240804602,213321,King's College
MS KATHLEEN MCCARTHY LAMBERT 1 00,X 0 0 0,DIRECTOR,kathleen,240804602,213321,King's College
GERTRUDE C MCGOWAN ESQ 1 00,X 0 0 0,DIRECTOR,gertrude,240804602,213321,King's College
MR MICHAEL D MOLEWSKI 1 00,X 0 0 0,DIRECTOR,michael,240804602,213321,King's College
MR TIMOTHY J MORRIS 1 00,X 0 0 0,DIRECTOR,timothy,240804602,213321,King's College
MR JOHN G NACKLEY 1 00,X 0 0 0,DIRECTOR,john,240804602,213321,King's College
MR JOHN D O'BRIEN 1 00,X 0 0 0,DIRECTOR,john,240804602,213321,King's College
MR JAMES T O'HARA ESQ 1 00,X 0 0 0,DIRECTOR,james,240804602,213321,King's College
REV THOMAS J O'HARA CSC 1 00,X 0 0 0,DIRECTOR,thomas,240804602,213321,King's College
REV GERARD J OLIGNER CSC 1 00,X 0 0 0,DIRECTOR,gerard,240804602,213321,King's College
MR CHARLES E PARENTE 1 00,X 0 0 0,DIRECTOR,charles,240804602,213321,King's College
REV MARK L POORMAN CSC PHD 1 00,X 0 0 0,DIRECTOR,mark,240804602,213321,King's College
MR DONALD B POPE—DAVIS PHD 1 00,X 0 0 0,DIRECTOR,donald,240804602,213321,King's College
REV JAMES L REBETA CSC 1 00,X 0 0 0,DIRECTOR,james,240804602,213321,King's College
MRS VIRGINIA S ROSE 1 00,X 0 0 0,DIRECTOR,virginia,240804602,213321,King's College
MR DAVID SCHANKWEILER 1 00,X 0 0 0,DIRECTOR,david,240804602,213321,King's College
MR JAMES V SCHNEIDER 1 00,X 0 0 0,DIRECTOR,james,240804602,213321,King's College
MR DAVID J SELINGO ESQ 1 00,X 0 0 0,DIRECTOR,david,240804602,213321,King's College
MS CATHERINE J SERAFIN ESQ 1 00,X 0 0 0,DIRECTOR,catherine,240804602,213321,King's College
MS PATRICIA E SINEX 1 00,X 0 0 0,DIRECTOR,patricia,240804602,213321,King's College
REV KEVIN P SPICER CSC PHD 1 00,X 0 0 0,DIRECTOR,kevin,240804602,213321,King's College
BRO DONALD STABROWSKI CSC 1 00,X 0 0 0,DIRECTOR,bro,240804602,213321,King's College
MR WALTER TISCHER 1 00,X 0 0 0,DIRECTOR,walter,240804602,213321,King's College
MR GLENN W TYRANSKI 1 00,X 0 0 0,DIRECTOR,glenn,240804602,213321,King's College
MS SUSAN E UNVARSKY 1 00,X 0 0 0,DIRECTOR,susan,240804602,213321,King's College
REV OLIVER F WILLIAMS CSC 1 00,X 0 0 0,DIRECTOR,oliver,240804602,213321,King's College
REV JOHN LYOUNG CSC MD 1 00,X 0 0 0,DIRECTOR,john,240804602,213321,King's College
MR EBERHARD FABER 1 00,X 0 0 0,DIRECTOR,eberhard,240804602,213321,King's College
MR JOSEPH A FRANK SR 1 00,X 0 0 0,DIRECTOR EMERITUS,joseph,240804602,213321,King's College
MR ALLAN M KLUGER ESQ 1 00,X 0 0 0,DIRECTOR EMERITUS,allan,240804602,213321,King's College
MR JAMES L PURCELL ESQ 1 00,X 0 0 0,DIRECTOR EMERITUS,james,240804602,213321,King's College
MR JOHN M RANDOLPH JR 1 00,X 0 0 0,DIRECTOR EMERITUS,john,240804602,213321,King's College
MR Y JUDD SHOVAL 1 00,X 0 0 0,DIRECTOR EMERITUS,judd,240804602,213321,King's College
MR JESSE J WATKINS 1 00,X 0 0 0,DIRECTOR EMERITUS,jesse,240804602,213321,King's College
REV JOHN J RYAN CSC 40 00,"X 0 0 8,189",PRESIDENT,john,240804602,213321,King's College
JOHN LOYACK 40 00,"X 150,079 0 26,281",VP BUSINESS AFFAIRS/CFO,john,240804602,213321,King's College
FREDERICK PETTIT 40 00,"X 152,522 0 26,239",VP — INSTUTIONAL ADVANCEMENT,frederick,240804602,213321,King's College
DR BERNARD HEALEY 40 00,"X 128,435 0 21,299",PROFESSOR,bernard,240804602,213321,King's College
NICHOLAS HOLODICK EDD 40 00,"X 147,951 0 25,782",VP — ACADEMIC AFFAIRS,nicholas,240804602,213321,King's College
BARRY WILLIAMS CPA JD 40 00,"X 123,990 0 26,479",DEAN — BUSINESS SCHOOL,barry,240804602,213321,King's College
MS JANET MERCINCAVAGE 40 00,"X 122,240 0 27,290",VP OF STUDENT AFFAIRS,janet,240804602,213321,King's College
MARC MARCHESE 40 00,"X 118,077 0 34,739",PROFESSOR,marc,240804602,213321,King's College
