line1,line2,line3,key,fein,unitid,institutionname
(1) MELVILLE W ADAMS 90,X 0 0 0,TRUSTEE 0 00,melville,250965376,212656,Geneva College
(2) VIRGINIA H BADGER 90,X 0 0 0,TRUSTEE 0 00,virginia,250965376,212656,Geneva College
(3) ANDREW M BERNARD JR 90,X 0 0 0,TRUSTEE 0 00,andrew,250965376,212656,Geneva College
(4) G REYNOLDS CLARK 90,X 0 0 0,TRUSTEE 0 00,reynolds,250965376,212656,Geneva College
(5) ROBERT T CLARKE 90,X 0 0 0,TRUSTEE 0 00,robert,250965376,212656,Geneva College
(6) KATHARINE L DENNIS 90,X 0 0 0,TRUSTEE 0 00,katharine,250965376,212656,Geneva College
(7) PHILLIP DUGUID 90,X 0 0 0,TRUSTEE/CORPORATOR 90,phillip,250965376,212656,Geneva College
(8) DR WILLIAM J EDGAR 90,X 0 0 0,TRUSTEE/CORPORATOR 90,william,250965376,212656,Geneva College
(9) JOHN P EDGAR ESQ 90,X 0 0 0,TRUSTEE 0 00,john,250965376,212656,Geneva College
(10) MATTHEW FILBERT 90,"X 0 59,678 0",TRUSTEE/CORPORATOR 90,matthew,250965376,212656,Geneva College
(11) WILLIAM C KRINER ESQ 90,X 0 0 0,TRUSTEE 0 00,william,250965376,212656,Geneva College
(12) CHARLES H POCKRAS 90,X 0 0 0,TRUSTEE 0 00,charles,250965376,212656,Geneva College
(13) DONALD W PIPER 90,X 0 0 0,TRUSTEE/CORPORATOR 90,donald,250965376,212656,Geneva College
(14) JAMES D ROY 90,X 0 0 0,TRUSTEE 0 00,james,250965376,212656,Geneva College
(15) DR SIARHEI SPIRYDOVICH 90,X 0 0 0,TRUSTEE 0 00,siarhei,250965376,212656,Geneva College
(16) DR CALVIN LTROUP 90,"X 0 1,950 0",TRUSTEE/CORPORATOR 90,calvin,250965376,212656,Geneva College
(17) KEITH M WING 90,X 0 0 0,TRUSTEE 0 00,keith,250965376,212656,Geneva College
(18) JOYE H HUSTON 90,X X 0 0 0,CHAIR 0 00,joye,250965376,212656,Geneva College
(19) STEVEN C MCMAHAN 90,X X 0 0 0,VICE—CHAIRMAN/CORPORATOR 90,steven,250965376,212656,Geneva College
(20) REV BRUCE R BACKENSTO 90,"X X 0 7,097 0",SECRETARY 0 00,bruce,250965376,212656,Geneva College
(21) KENNETH A SMITH 40 00,"X 192,646 0 51,666",PRESIDENT 0 00,kenneth,250965376,212656,Geneva College
(22) KENNETH P CARSON 40 00,"X 152,661 0 23,942",PROVOST 0 00,kenneth,250965376,212656,Geneva College
(23) LARRY K GRIFFITH 40 00,"X 164,000 0 23,994",EXECUTIVE VICE PRESIDENT 0 00,larry,250965376,212656,Geneva College
(24) JONATHAN WATT 40 00,"x 124,198 6,883 19,733",PROFESSOR OF BIBLICAL STUD 10 00,jonathan,250965376,212656,Geneva College
"PIONEER COLLEGE CATERERSINC 12351 W 96TH TERRACE SUITE 204—W LENEXA KS 66215 FOOD SERVICE 2,247,261","BD&E INC 681 ANDERSEN DRIVE PII'TSBURGH PA 15220 ADVERTISING 752,498","JENZABAR 1450 TECHNOLOGY DRIVE HARRISONBURG VA 22802 COMPUTER SERVICE 417,815",terrace,250965376,212656,Geneva College
"BD&E INC 681 ANDERSEN DRIVE PII'TSBURGH PA 15220 ADVERTISING 752,498","JENZABAR 1450 TECHNOLOGY DRIVE HARRISONBURG VA 22802 COMPUTER SERVICE 417,815","ARAMARK FACILITY SERVICES C/O GENEVA COLLEGE PHYSICAL PLANT BEAVER FALLS PA 15010 PHYSICAL PLANT SERVICES 375,391",andersen,250965376,212656,Geneva College
"JENZABAR 1450 TECHNOLOGY DRIVE HARRISONBURG VA 22802 COMPUTER SERVICE 417,815","ARAMARK FACILITY SERVICES C/O GENEVA COLLEGE PHYSICAL PLANT BEAVER FALLS PA 15010 PHYSICAL PLANT SERVICES 375,391","FERRANTE UPHOLSTERING & CARPET 3384 STATE RT 18 WAMPUM PA 16157 UPHOLSTERING/ FLOORING / 208,332",service,250965376,212656,Geneva College
