line1,line2,line3,key,fein,unitid,institutionname
ROBERT M BEAVERS 1 00,X 0 0 0,TRUSTEE 0 00,robert,250965601,216667,Washington & Jefferson College
SUSAN COHEN 1 00,X 0 0 0,TRUSTEE 0 00,susan,250965601,216667,Washington & Jefferson College
PATRICK A CORRENTY 1 00,X 0 0 0,TRUSTEE 0 00,patrick,250965601,216667,Washington & Jefferson College
DANA GRAHAM DEVEREUX 1 00,X 0 0 0,TRUSTEE 0 00,dana,250965601,216667,Washington & Jefferson College
JONATHAN M CONRAD 1 00,X 0 0 0,TRUSTEE 0 00,jonathan,250965601,216667,Washington & Jefferson College
WALTER FLAMENBAUM 1 00,X 0 0 0,TRUSTEE 0 00,walter,250965601,216667,Washington & Jefferson College
DONNA HALEY GRIER 1 00,X 0 0 0,TRUSTEE 0 00,donna,250965601,216667,Washington & Jefferson College
COLEMAN HUGHLEY 1 00,X 0 0 0,TRUSTEE 0 00,coleman,250965601,216667,Washington & Jefferson College
BETSEY HURWlTZ—SCHWAB 1 00,X 0 0 0,TRUSTEE 0 00,betsey,250965601,216667,Washington & Jefferson College
CLYDE B JONES III 1 00,X 0 0 0,TRUSTEE (ENTERED 1/2014) 0 00,clyde,250965601,216667,Washington & Jefferson College
VICTOR LAZZARO 1 00,X 0 0 0,TRUSTEE 0 00,victor,250965601,216667,Washington & Jefferson College
JAMES] MCCAFFREY 1 00,X 0 0 0,TRUSTEE 0 00,mccaffrey,250965601,216667,Washington & Jefferson College
REYNOLD MOONEY 1 00,X 0 0 0,TRUSTEE (ENTERED 9/2013) 0 00,reynold,250965601,216667,Washington & Jefferson College
CHARLES T NASON 1 00,X 0 0 0,TRUSTEE 0 00,charles,250965601,216667,Washington & Jefferson College
ALBERT G NICKEL 1 00,X 0 0 0,TRUSTEE 0 00,albert,250965601,216667,Washington & Jefferson College
PEGGY NORTHROP 1 00,X 0 0 0,TRUSTEE (ENTERED 9/2013) 0 00,peggy,250965601,216667,Washington & Jefferson College
DONNA LUCAS PELLEGRINI 1 00,X 0 0 0,TRUSTEE 0 00,donna,250965601,216667,Washington & Jefferson College
B JOHN PENDLETON 1 00,X 0 0 0,TRUSTEE 0 00,john,250965601,216667,Washington & Jefferson College
A MICHAEL PRATT 1 00,X 0 0 0,TRUSTEE 0 00,michael,250965601,216667,Washington & Jefferson College
DIANA L REED 1 00,X 0 0 0,TRUSTEE 0 00,diana,250965601,216667,Washington & Jefferson College
FRANCES SMITH ROHRICH 1 00,X 0 0 0,TRUSTEE 0 00,frances,250965601,216667,Washington & Jefferson College
LOUISE K R055 1 00,X 0 0 0,TRUSTEE 0 00,louise,250965601,216667,Washington & Jefferson College
STEPHEN R055 1 00,X 0 0 0,TRUSTEE 0 00,stephen,250965601,216667,Washington & Jefferson College
E RONALD SALVI III 1 00,X 0 0 0,TRUSTEE 0 00,ronald,250965601,216667,Washington & Jefferson College
JOHN D SIMON 1 00,X 0 0 0,TRUSTEE 0 00,john,250965601,216667,Washington & Jefferson College
DAVID A STEINBERG 1 00,X 0 0 0,TRUSTEE 0 00,david,250965601,216667,Washington & Jefferson College
LEANNE TRACHOK 1 00,X 0 0 0,TRUSTEE 0 00,leanne,250965601,216667,Washington & Jefferson College
RICHARD T CLARK 5 00,X X 0 0 0,CHAIRMAN 0 00,richard,250965601,216667,Washington & Jefferson College
LYN M DRYSTER 2 50,X X 0 0 0,15T VICE CHAIR 0 00,lyn,250965601,216667,Washington & Jefferson College
KEITH GHEZZI 2 50,X X 0 0 0,VICE CHAIR 0 00,keith,250965601,216667,Washington & Jefferson College
DAVID R055 2 50,X X 0 0 0,VICE CHAIR 0 00,david,250965601,216667,Washington & Jefferson College
CRAIG A VARGA ESQ 2 50,X X 0 0 0,SECRETARY 0 00,craig,250965601,216667,Washington & Jefferson College
CHARLES F MARCY 2 50,X X 0 0 0,TREASURER 0 00,charles,250965601,216667,Washington & Jefferson College
DR TORI HARING—SMITH 55 00,"X X 360,377 0 143,265",PRESIDENT 0 00,tori,250965601,216667,Washington & Jefferson College
DENNIS MCMASTER 50 00,"X 178,300 0 26,326",VP FOR BUSINESS & FINANCE 0 00,dennis,250965601,216667,Washington & Jefferson College
ALTON NEWELL 50 00,"X 171,740 0 24,315",VP FOR ENROLLMENT 0 00,alton,250965601,216667,Washington & Jefferson College
MICHAEL GRZESIAK 50 00,"X 157,896 0 23,603",VP FOR DEVELOPMENT 0 00,michael,250965601,216667,Washington & Jefferson College
TIMOTHY MURPHY 40 00,"X 146,095 0 27,671",ASSOCIATE PROFESSOR 0 00,timothy,250965601,216667,Washington & Jefferson College
ROBERT DODGE 40 00,"X 119,217 0 25,111",PROFESSOR 0 00,robert,250965601,216667,Washington & Jefferson College
CHARLIE HANNON 40 00,"X 114,810 0 23,664",PROFESSOR 0 00,charlie,250965601,216667,Washington & Jefferson College
JOHN ZIMMERMAN 50 00,"X 137,284 0 21,470",VICE PRESIDENT AA 0 00,john,250965601,216667,Washington & Jefferson College
ROBERT VANDE KAPPELLE 35 00,"X 108,435 0 19,130",PROFESSOR 0 00,robert,250965601,216667,Washington & Jefferson College
