line1,line2,line3,key,fein,unitid,institutionname
JOHN R BERTUCCI 2 00,X 0 0 0,LIFE TRUSTEE 2 00,john,250969449,211440,Carnegie Mellon University
FRANK BRUNCKHORST 2 00,X 0 0 0,LIFE TRUSTEE 0 00,frank,250969449,211440,Carnegie Mellon University
ERROLL B DAVIS JR 2 00,X 0 0 0,LIFE TRUSTEE 0 00,davis,250969449,211440,Carnegie Mellon University
LINDA A DICKERSON 50,X 0 0 0,LIFE TRUSTEE 0 00,linda,250969449,211440,Carnegie Mellon University
PHILIP L DOWD 1 00,X 0 0 0,LIFE TRUSTEE 0 00,philip,250969449,211440,Carnegie Mellon University
DINA DUBLON 1 50,X 0 0 0,LIFE TRUSTEE 50,dina,250969449,211440,Carnegie Mellon University
HOWARD L ELLIN 10 00,X 0 0 0,LIFE TRUSTEE 0 00,howard,250969449,211440,Carnegie Mellon University
EDWARD H FRANK 2 00,X 0 0 0,LIFE TRUSTEE 0 00,edward,250969449,211440,Carnegie Mellon University
TERESA HEINZ 50,X 0 0 0,LIFE TRUSTEE 0 00,teresa,250969449,211440,Carnegie Mellon University
TORRENCE M HUNT JR 2 00,X 0 0 0,LIFE TRUSTEE 0 00,torrence,250969449,211440,Carnegie Mellon University
TOD S JOHNSON 1 00,X 0 0 0,LIFE TRUSTEE 0 00,tod,250969449,211440,Carnegie Mellon University
BRUCE M MCWILLIAMS 2 00,X 0 0 0,LIFE TRUSTEE 0 00,bruce,250969449,211440,Carnegie Mellon University
AMBAR PAUL 1 00,X 0 0 0,LIFE TRUSTEE 0 00,ambar,250969449,211440,Carnegie Mellon University
JONATHAN M ROTHBERG 1 00,X 0 0 0,LIFE TRUSTEE 0 00,jonathan,250969449,211440,Carnegie Mellon University
DAVID S SHAPIRA 2 00,X 0 0 0,LIFE TRUSTEE 0 00,david,250969449,211440,Carnegie Mellon University
J LEA HILLMAN SIMONDS 1 50,X 0 0 0,LIFE TRUSTEE 0 00,lea,250969449,211440,Carnegie Mellon University
MANOJ P SINGH 2 00,X 0 0 0,LIFE TRUSTEE 0 00,manoj,250969449,211440,Carnegie Mellon University
JAMES c STALDER 4 00,X 0 0 0,LIFE TRUSTEE 0 00,james,250969449,211440,Carnegie Mellon University
DONALD E STlTZENBERG 4 00,X 0 0 0,LIFE TRUSTEE 0 00,donald,250969449,211440,Carnegie Mellon University
DAVID A TEPPER 3 00,X 0 0 0,LIFE TRUSTEE 0 00,david,250969449,211440,Carnegie Mellon University
MARY ANN ULISHNEY 1 00,X 0 0 0,LIFE TRUSTEE 0 00,mary,250969449,211440,Carnegie Mellon University
SUNIL WADHWANI 2 00,X 0 0 0,LIFE TRUSTEE 0 00,sunil,250969449,211440,Carnegie Mellon University
PAULA KAUFFMAN WAGNER 50,X 0 0 0,LIFE TRUSTEE 0 00,paula,250969449,211440,Carnegie Mellon University
JOEL P ADAMS 1 50,X 0 0 0,TERM TRUSTEE 2014 0 00,joel,250969449,211440,Carnegie Mellon University
JEANNE CUNICELLI 1 00,X 0 0 0,TERM TRUSTEE 2014 0 00,jeanne,250969449,211440,Carnegie Mellon University
FRANCISCO B D'SOUZA 3 00,X 0 0 0,TERM TRUSTEE 2014 0 00,francisco,250969449,211440,Carnegie Mellon University
JAMES GIANOPULOS 30,X 0 0 0,TERM TRUSTEE 2014 50,james,250969449,211440,Carnegie Mellon University
LARRY E JENNINGS JR 50,X 0 0 0,TERM TRUSTEE 2014 0 00,larry,250969449,211440,Carnegie Mellon University
CANDACE MATTHEWS 1 00,X 0 0 0,TERM TRUSTEE 2014 0 00,candace,250969449,211440,Carnegie Mellon University
DAVID MCCORMICK 2 00,X 0 0 0,TERM TRUSTEE 2014 0 00,david,250969449,211440,Carnegie Mellon University
WILLIAM L MEANEY 1 00,X 0 0 0,TERM TRUSTEE 2014 0 00,william,250969449,211440,Carnegie Mellon University
ROY SHANKER 2 00,X 0 0 0,TERM TRUSTEE 2014 0 00,roy,250969449,211440,Carnegie Mellon University
LIP—BU TAN 1 00,X 0 0 0,TERM TRUSTEE 2014 0 00,tan,250969449,211440,Carnegie Mellon University
THOMAS TULL 1 00,X 0 0 0,TERM TRUSTEE 2014 0 00,thomas,250969449,211440,Carnegie Mellon University
LUIS H BALL 1 00,X 0 0 0,TERM TRUSTEE 2015 0 00,luis,250969449,211440,Carnegie Mellon University
EVAN S FRAZIER 1 00,X 0 0 0,TERM TRUSTEE 2015 1 00,evan,250969449,211440,Carnegie Mellon University
ROY W HALEY 1 00,X 0 0 0,TERM TRUSTEE 2015 0 00,roy,250969449,211440,Carnegie Mellon University
OSCAR HARRIS JR 2 00,X 0 0 0,TERM TRUSTEE 2015 0 00,oscar,250969449,211440,Carnegie Mellon University
ERREN LESTER 1 00,X 0 0 0,TERM TRUSTEE 2015 0 00,lester,250969449,211440,Carnegie Mellon University
J MICHAEL MCQUADE 50,X 0 0 0,TERM TRUSTEE 2015 0 00,michael,250969449,211440,Carnegie Mellon University
ANNE M MOLLOY 1 60,X 0 0 0,TERM TRUSTEE 2015 0 00,anne,250969449,211440,Carnegie Mellon University
DAVID L PORGES 1 00,X 0 0 0,TERM TRUSTEE 2015 0 00,david,250969449,211440,Carnegie Mellon University
LUKE SKURMAN 4 00,X 0 0 0,TERM TRUSTEE 2015 0 00,luke,250969449,211440,Carnegie Mellon University
CAROL A WILLIAMS 1 00,X 0 0 0,TERM TRUSTEE 2015 0 00,carol,250969449,211440,Carnegie Mellon University
KUSHAGRA BAJAJ 10,X 0 0 0,TERM TRUSTEE 2016 0 00,bajaj,250969449,211440,Carnegie Mellon University
RONALD BIANCHINI 1 00,X 0 0 0,TERM TRUSTEE 2016 0 00,ronald,250969449,211440,Carnegie Mellon University
ARISTIDES S CANDRIS 3 00,X 0 0 0,TERM TRUSTEE 2016 0 00,aristides,250969449,211440,Carnegie Mellon University
ERIC COOPER 10,X 0 0 0,TERM TRUSTEE 2016 0 00,eric,250969449,211440,Carnegie Mellon University
DAVID COULTER 1 00,X 0 0 0,TERM TRUSTEE 2016 0 00,david,250969449,211440,Carnegie Mellon University
RUSSELL CROCKETT 2 00,X 0 0 0,TERM TRUSTEE 2016 0 00,russell,250969449,211440,Carnegie Mellon University
