line1,line2,line3,key,fein,unitid,institutionname
GARY R CLAUS 5 00,X 0 0 0,CHAIRMAN,gary,251120678,215655,Robert Morris University
RICHARDJ HARSHMAN 2 00,X 0 0 0,VICE CHAIR,harshman,251120678,215655,Robert Morris University
STEPHEN W KLEMASH 2 00,X 0 0 0,VICE CHAIR,stephen,251120678,215655,Robert Morris University
MICHAEL BARBARITA 2 00,X 0 0 0,TRUSTEE,michael,251120678,215655,Robert Morris University
JEFF D BERGMAN 2 00,X 0 0 0,TRUSTEE,jeff,251120678,215655,Robert Morris University
JEFFREY S BROADHURST 2 00,X 0 0 0,TRUSTEE,jeffrey,251120678,215655,Robert Morris University
CARRIE COGHILL 2 00,X 0 0 0,TRUSTEE,carrie,251120678,215655,Robert Morris University
KEVIN COLBERT 2 00,X 0 0 0,TRUSTEE,kevin,251120678,215655,Robert Morris University
WILLIAM COPELAND 2 00,X 0 0 0,EMERITUS TRUSTEE,william,251120678,215655,Robert Morris University
DEBORAH A CUNNINGHAM 2 00,X 0 0 0,TRUSTEE,deborah,251120678,215655,Robert Morris University
JOSEPH DIANGELO 2 00,X 0 0 0,TRUSTEE,joseph,251120678,215655,Robert Morris University
MARGARET DICUCCIO 2 00,X 0 0 0,TRUSTEE,margaret,251120678,215655,Robert Morris University
ELIZABETH DICKEY 2 00,X 0 0 0,EMERITUS TRUSTEE (THRU NOV 2013),elizabeth,251120678,215655,Robert Morris University
WELLING FRAUEHAUF 2 00,X 0 0 0,EMERITUS TRUSTEE,welling,251120678,215655,Robert Morris University
VICTOR GREGOVITS 2 00,X 0 0 0,TRUSTEE,victor,251120678,215655,Robert Morris University
CHARLES HOMAN 2 00,X 0 0 0,TRUSTEE,charles,251120678,215655,Robert Morris University
THOMAS HUNLEY 2 00,X 0 0 0,TRUSTEE,thomas,251120678,215655,Robert Morris University
ALEX JOHNSON 2 00,X 0 0 0,TRUSTEE,alex,251120678,215655,Robert Morris University
DAVID LANCIA 2 00,X 0 0 0,TRUSTEE,david,251120678,215655,Robert Morris University
MARGARET LARKINS—PETTIGREW 2 00,X 0 0 0,TRUSTEE,margaret,251120678,215655,Robert Morris University
KAREN L LARRIMER 2 00,X 0 0 0,TRUSTEE,karen,251120678,215655,Robert Morris University
DAVID J MALONE 2 00,X 0 0 0,TRUSTEE,david,251120678,215655,Robert Morris University
RALPH MARTIN 2 00,X 0 0 0,TRUSTEE,ralph,251120678,215655,Robert Morris University
BARBARA A MCNEES 2 00,X 0 0 0,EMERITUS TRUSTEE (THRU 7/18/13),barbara,251120678,215655,Robert Morris University
NORMAN MITRY 2 00,X 0 0 0,TRUSTEE,norman,251120678,215655,Robert Morris University
FRANK MOLINERO 2 00,X 0 0 0,TRUSTEE,frank,251120678,215655,Robert Morris University
GERD D MUELLER 2 00,X 0 0 0,EMERITUS TRUSTEE,gerd,251120678,215655,Robert Morris University
JOSEPH W NOCITO 2 00,X 0 0 0,TRUSTEE,joseph,251120678,215655,Robert Morris University
KOLIA O'CONNOR 2 00,X 0 0 0,TRUSTEE,o'connor,251120678,215655,Robert Morris University
NICK PRATER 2 00,X 0 0 0,EMERITUS TRUSTEE,nick,251120678,215655,Robert Morris University
ROBERT W ROGERS 2 00,X 0 0 0,EMERITUS TRUSTEE,robert,251120678,215655,Robert Morris University
PATRICIA R ROONEY 2 00,X 0 0 0,EMERITUS TRUSTEE (THRU 9/13/13),patricia,251120678,215655,Robert Morris University
JAMES RUDOLPH 2 00,X 0 0 0,EMERITUS TRUSTEE,james,251120678,215655,Robert Morris University
ROBIN SANDERS 2 00,X 0 0 0,TRUSTEE,robin,251120678,215655,Robert Morris University
THERESA SCHEETZ 2 00,X 0 0 0,EMERITUS TRUSTEE,theresa,251120678,215655,Robert Morris University
MICHAEL SMITH 2 00,X 0 0 0,TRUSTEE,michael,251120678,215655,Robert Morris University
GARY SOKULSKI 2 00,X 0 0 0,TRUSTEE,gary,251120678,215655,Robert Morris University
