line1,line2,line3,key,fein,unitid,institutionname
(18) KNIGHT SASKIA 40 0,"X 352,417 0 47,881",Exe V C of Enroll/Stud Affairs 0 0,knight,260152908,262086,Brandman University
Exe V C of Enroll/Stud Affairs 0 0,(19) DOOLITTLE PHILIP 40 0,"X 125,986 0 14,728",exe,260152908,262086,Brandman University
(19) DOOLITTLE PHILIP 40 0,"X 125,986 0 14,728",EXEC V C CFO/TREASURER 0 0,doolittle,260152908,262086,Brandman University
(20) DODGE LAURIE 40 0,"X 188,599 0 33,281",ASSOC V CHANCELLOR—INSTRUCT 0 0,dodge,260152908,262086,Brandman University
(21) MCLEOD RENEE 40 0,"X 157,812 0 13,953","DEAN,School of NurSIng & Healh 0 0",mcleod,260152908,262086,Brandman University
(22) SALZMAN NANCY 40 0,"X 173,049 0 13,021","DEAN, Extended Education 0 0",salzman,260152908,262086,Brandman University
(23) SINGH RAMENDRA 40 0,"X 219,392 0 31,918",VICE CHANCELLOR OF MARKETING 0 0,singh,260152908,262086,Brandman University
(24) BRESSLER SAM 40 0,"X 176,968 0 37,965",ASSOC V CHANCELLOR OF HR/L&D 0 0,bressler,260152908,262086,Brandman University
(25) LEGOZA JANICE 40 0,"x 129,054 0 2,390",VICE CHANCELLOR/CFO/TREASURER 0 0,janice,260152908,262086,Brandman University
"ID MEDIA, 100 W 33RD STRET NEW YORK NY 10001 MARKETING CONSULTANT 2,953,984","EDUCATIONAL SALES MARKETING LLC, 8740 LUCENT BLVD SUITE 300 HIGHLANDS RANCH CO 80129 ENROLL CONSULTANT 2,401,753","US INTERACTIVE MEDIA, 1201 ALTMA LOMA ROAD LOS ANGELES CA 90069 MARKETING CONSULTANT 2,051,979",york,260152908,262086,Brandman University
"EDUCATIONAL SALES MARKETING LLC, 8740 LUCENT BLVD SUITE 300 HIGHLANDS RANCH CO 80129 ENROLL CONSULTANT 2,401,753","US INTERACTIVE MEDIA, 1201 ALTMA LOMA ROAD LOS ANGELES CA 90069 MARKETING CONSULTANT 2,051,979","SILTANEN PARTNERS ADVERTISING, 353 CORAL ROAD EL SEGUNDO CA 90245 ADVERT CONSULTANT 1,415,303",sales,260152908,262086,Brandman University
"US INTERACTIVE MEDIA, 1201 ALTMA LOMA ROAD LOS ANGELES CA 90069 MARKETING CONSULTANT 2,051,979","SILTANEN PARTNERS ADVERTISING, 353 CORAL ROAD EL SEGUNDO CA 90245 ADVERT CONSULTANT 1,415,303","MILNER BUTCHER MEDIA GROUP LLC, 11150 W OLYMPIC BLVD LOS ANGELES CA 90064 ADVERT CONSULTANT 1,335,433",loma,260152908,262086,Brandman University
"SILTANEN PARTNERS ADVERTISING, 353 CORAL ROAD EL SEGUNDO CA 90245 ADVERT CONSULTANT 1,415,303","MILNER BUTCHER MEDIA GROUP LLC, 11150 W OLYMPIC BLVD LOS ANGELES CA 90064 ADVERT CONSULTANT 1,335,433",2 Total number of independent contractors (including but not limited to those listed above) who received more than,coral,260152908,262086,Brandman University
"MILNER BUTCHER MEDIA GROUP LLC, 11150 W OLYMPIC BLVD LOS ANGELES CA 90064 ADVERT CONSULTANT 1,335,433",2 Total number of independent contractors (including but not limited to those listed above) who received more than,"$100,000 ofcompensation from the organization F27",milner,260152908,262086,Brandman University
